run_accession	experiment_alias	experiment_title	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp
SRR10471251	GSM4164041	Illumina NovaSeq 6000 sequencing: GSM4164041: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G8_AD001_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/051/SRR10471251/SRR10471251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/051/SRR10471251/SRR10471251_2.fastq.gz	0651da25e9450131afc26b89d544bc91;a928dbcd638fa2af2d39fbd45e00b039	88901266;95928698	
SRR10471540	GSM4167972	Illumina HiSeq 4000 sequencing: GSM4167972: 170508_NDARKD326LNK_hs_58yr_BA10_pool_1952_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/040/SRR10471540/SRR10471540_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/040/SRR10471540/SRR10471540_2.fastq.gz	30d7508a933c227956323f39251444b4;44a12655f300b44f28a818d32b855a29	243589036;263503931	
SRR10472734	GSM4166502	Illumina NovaSeq 6000 sequencing: GSM4166502: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B6_AD010_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/034/SRR10472734/SRR10472734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/034/SRR10472734/SRR10472734_2.fastq.gz	e595f9671ec6a5cd177e9fd63aa8372f;c17223726713b429a7275f8b119c2d46	89966964;97014033	
SRR10472735	GSM4166503	Illumina NovaSeq 6000 sequencing: GSM4166503: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B6_AD012_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/035/SRR10472735/SRR10472735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/035/SRR10472735/SRR10472735_2.fastq.gz	38c81348bb7896e3036fd77ee235b80d;47131c46364ecdae2c8bf0c6e8e05561	92534169;99106995	
SRR10471554	GSM4167986	Illumina HiSeq 4000 sequencing: GSM4167986: 170508_NDARKD326LNK_hs_58yr_BA10_pool_1961_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/054/SRR10471554/SRR10471554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/054/SRR10471554/SRR10471554_2.fastq.gz	e377cf68067759ece78e69d576815b38;834f6e6ac44be44bf567ee78fc10be16	59711598;65504928	
SRR10471254	GSM4164044	Illumina NovaSeq 6000 sequencing: GSM4164044: 190305_mCTseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_G8_AD006_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/054/SRR10471254/SRR10471254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/054/SRR10471254/SRR10471254_2.fastq.gz	e75241ce20b9f141768b1ddb694a776b;581aec57d2fa579501d1498ce191d163	107354539;115109912	
SRR10472737	GSM4166505	Illumina NovaSeq 6000 sequencing: GSM4166505: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B7_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/037/SRR10472737/SRR10472737_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/037/SRR10472737/SRR10472737_2.fastq.gz	8393cedcde40e34c49fca8379f4dfbf4;398873ed33399d7ff872746212307974	119011160;127927138	
SRR10471556	GSM4167988	Illumina HiSeq 4000 sequencing: GSM4167988: 170508_NDARKD326LNK_hs_58yr_BA10_pool_1962_AD002_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/056/SRR10471556/SRR10471556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/056/SRR10471556/SRR10471556_2.fastq.gz	e807b504407fc615473e54f6890d23e2;2cb223ac9df4c66a7a512b21dc21c275	226144642;252558472	
SRR10472738	GSM4166506	Illumina NovaSeq 6000 sequencing: GSM4166506: 190321_mCTseq_hs_29yr_BA10_UMB5580_3_UMB5580_4_B7_AD004_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/038/SRR10472738/SRR10472738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/038/SRR10472738/SRR10472738_2.fastq.gz	91e15388de7884cd014807aace3c2035;88eb4b3c094d4c285fe036a6ded911b9	127881271;136759532	
SRR10471561	GSM4167993	Illumina HiSeq 4000 sequencing: GSM4167993: 170508_NDARKD326LNK_hs_58yr_BA10_pool_1964_AD008_indexed Homo sapiens OTHER	ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/061/SRR10471561/SRR10471561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR104/061/SRR10471561/SRR10471561_2.fastq.gz	853eb0a80794e9d46fc9aa60f961230b;56cd850b63ec920e9ee4842c2402446c	186147932;205010288	
