CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9872	3637	73.08	13509
2	10137	3614	73.72	13751
3	9963	3533	73.82	13496
4	10124	3594	73.80	13718
5	10588	3622	74.51	14210
6	11097	3878	74.10	14975
7	10609	3473	75.34	14082
8	11504	3725	75.54	15229
9	12563	3825	76.66	16388
10	10766	3649	74.69	14415
11	11441	3798	75.08	15239
12	13425	3971	77.17	17396
13	13581	3983	77.32	17564
14	13146	3865	77.28	17011
15	12804	3858	76.85	16662
16	11773	3673	76.22	15446
17	12052	3731	76.36	15783
18	12298	3803	76.38	16101
19	12124	3703	76.60	15827
20	12014	3810	75.92	15824
21	11447	3663	75.76	15110
22	13312	3817	77.72	17129
23	11844	3689	76.25	15533
24	14026	4079	77.47	18105
25	12784	3765	77.25	16549
26	11516	3777	75.30	15293
27	11846	3831	75.56	15677
28	12542	3749	76.99	16291
29	11969	3679	76.49	15648
30	11541	3625	76.10	15166
31	11436	3559	76.27	14995
32	11934	3620	76.73	15554
33	10883	3571	75.29	14454
34	11229	3544	76.01	14773
35	10840	3619	74.97	14459
36	12004	3635	76.76	15639
37	11798	3756	75.85	15554
38	11890	3702	76.26	15592
39	10884	3512	75.60	14396
40	10758	3452	75.71	14210
41	11578	3598	76.29	15176
42	11196	3568	75.83	14764
43	10543	3363	75.82	13906
44	11052	3576	75.55	14628
45	10537	3452	75.32	13989
46	11628	3395	77.40	15023
47	9941	3361	74.73	13302
48	10856	3416	76.07	14272
49	11345	3431	76.78	14776
50	10595	3274	76.39	13869
51	10283	3424	75.02	13707
52	10590	3234	76.61	13824
53	10808	3251	76.88	14059
54	10795	3281	76.69	14076
55	10291	3295	75.75	13586
56	10301	3350	75.46	13651
57	10416	3270	76.11	13686
58	9733	3063	76.06	12796
59	9244	2961	75.74	12205
60	9732	3143	75.59	12875
61	9467	2997	75.95	12464
62	9917	2930	77.19	12847
63	9466	2975	76.09	12441
64	9213	2995	75.47	12208
65	9060	2989	75.19	12049
66	9063	2924	75.61	11987
67	8837	2898	75.30	11735
68	8706	2976	74.52	11682
69	9139	2913	75.83	12052
70	9002	2780	76.40	11782
71	8775	2739	76.21	11514
72	8386	2715	75.54	11101
73	8438	2709	75.70	11147
74	8179	2638	75.61	10817
75	7851	2428	76.38	10279
76	7777	2547	75.33	10324
77	7697	2534	75.23	10231
78	7487	2488	75.06	9975
79	7434	2400	75.59	9834
80	7197	2523	74.04	9720
81	7266	2411	75.09	9677
82	7254	2388	75.23	9642
83	6696	2261	74.76	8957
84	6866	2279	75.08	9145
