CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	27500	40670	40.34	68170
2	28701	37935	43.07	66636
3	29049	39007	42.68	68056
4	28856	40481	41.62	69337
5	30634	41452	42.50	72086
6	32210	45038	41.70	77248
7	31028	39019	44.30	70047
8	31677	43450	42.16	75127
9	32107	45788	41.22	77895
10	29015	41559	41.11	70574
11	31348	43119	42.10	74467
12	35807	45795	43.88	81602
13	39840	47467	45.63	87307
14	36137	43055	45.63	79192
15	34941	43728	44.42	78669
16	31669	42096	42.93	73765
17	30646	42129	42.11	72775
18	33322	43647	43.29	76969
19	32780	42452	43.57	75232
20	31642	43116	42.33	74758
21	33207	43502	43.29	76709
22	37458	45204	45.31	82662
23	33120	40334	45.09	73454
24	39568	46790	45.82	86358
25	36743	44000	45.51	80743
26	31147	41984	42.59	73131
27	30778	42526	41.99	73304
28	34742	41243	45.72	75985
29	34426	43444	44.21	77870
30	31710	40701	43.79	72411
31	30130	41076	42.31	71206
32	31841	40582	43.97	72423
33	30943	39353	44.02	70296
34	30539	38787	44.05	69326
35	28922	39105	42.52	68027
36	32421	42196	43.45	74617
37	33841	44403	43.25	78244
38	33245	40388	45.15	73633
39	30044	39442	43.24	69486
40	30506	39207	43.76	69713
41	33579	40018	45.63	73597
42	31000	40543	43.33	71543
43	30863	37786	44.96	68649
44	31158	40041	43.76	71199
45	31375	41094	43.29	72469
46	30325	39303	43.55	69628
47	26661	37272	41.70	63933
48	30991	41316	42.86	72307
49	32699	39685	45.17	72384
50	28020	38300	42.25	66320
51	30822	36648	45.68	67470
52	30302	39395	43.48	69697
53	32725	39905	45.06	72630
54	31014	37976	44.95	68990
55	29530	36188	44.93	65718
56	29969	37581	44.37	67550
57	30861	37485	45.15	68346
58	26382	36301	42.09	62683
59	27073	36040	42.90	63113
60	27816	35960	43.62	63776
61	26536	36196	42.30	62732
62	27894	34605	44.63	62499
63	24821	34645	41.74	59466
64	27240	34957	43.80	62197
65	25187	32769	43.46	57956
66	26494	33869	43.89	60363
67	25279	33394	43.08	58673
68	26287	35012	42.88	61299
69	28088	35316	44.30	63404
70	27675	34777	44.31	62452
71	27539	35218	43.88	62757
72	25514	33916	42.93	59430
73	25797	31909	44.70	57706
74	25865	33005	43.94	58870
75	25222	31430	44.52	56652
76	24857	33006	42.96	57863
77	23997	34285	41.17	58282
78	26003	31979	44.85	57982
79	25141	33363	42.97	58504
80	23895	31764	42.93	55659
81	23947	32307	42.57	56254
82	22627	30953	42.23	53580
83	24317	29942	44.82	54259
84	20262	28964	41.16	49226
85	21892	28418	43.51	50310
86	21879	26394	45.32	48273
87	20929	25824	44.77	46753
88	20436	10734	65.56	31170

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	21015	333925	5.92	354940
2	17380	307962	5.34	325342
3	19863	311889	5.99	331752
4	20029	301455	6.23	321484
5	21595	320589	6.31	342184
6	20972	335083	5.89	356055
7	21372	328801	6.10	350173
8	20983	310169	6.34	331152
9	22524	352822	6.00	375346
10	22058	312447	6.59	334505
11	23533	306773	7.12	330306
12	22632	329936	6.42	352568
13	22397	323822	6.47	346219
14	22731	321816	6.60	344547
15	21793	320523	6.37	342316
16	20856	307213	6.36	328069
17	22123	302854	6.81	324977
18	20913	305123	6.41	326036
19	22709	309586	6.83	332295
20	22879	301163	7.06	324042
