CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	21109	39701	34.71	60810
2	21357	37974	36.00	59331
3	21242	36517	36.78	57759
4	22266	38300	36.76	60566
5	23498	38462	37.92	61960
6	24991	42385	37.09	67376
7	23157	36896	38.56	60053
8	25133	41680	37.62	66813
9	27958	42885	39.46	70843
10	22584	39314	36.49	61898
11	24655	40111	38.07	64766
12	29105	45029	39.26	74134
13	29772	45369	39.62	75141
14	26867	43396	38.24	70263
15	28445	43255	39.67	71700
16	25967	38975	39.98	64942
17	25439	41651	37.92	67090
18	25667	42156	37.84	67823
19	25067	41427	37.70	66494
20	25736	42782	37.56	68518
21	25124	39776	38.71	64900
22	30394	45952	39.81	76346
23	25964	40703	38.95	66667
24	32123	47279	40.46	79402
25	28435	43555	39.50	71990
26	25203	40970	38.09	66173
27	26244	39593	39.86	65837
28	28062	43386	39.28	71448
29	27102	40809	39.91	67911
30	26431	41363	38.99	67794
31	23223	38303	37.75	61526
32	25796	40901	38.68	66697
33	23922	38905	38.08	62827
34	24252	38971	38.36	63223
35	23451	37860	38.25	61311
36	26502	40238	39.71	66740
37	26878	40838	39.69	67716
38	26647	41909	38.87	68556
39	23370	37232	38.56	60602
40	23571	37688	38.48	61259
41	26084	40650	39.09	66734
42	25162	38833	39.32	63995
43	23598	38010	38.30	61608
44	25228	39707	38.85	64935
45	24248	38847	38.43	63095
46	25212	40186	38.55	65398
47	23191	37637	38.13	60828
48	25850	39721	39.42	65571
49	26714	41105	39.39	67819
50	24956	38887	39.09	63843
51	23857	38196	38.45	62053
52	25579	39379	39.38	64958
53	24836	38105	39.46	62941
54	25123	38859	39.27	63982
55	23648	38082	38.31	61730
56	24341	38863	38.51	63204
57	24558	38755	38.79	63313
58	22233	36457	37.88	58690
59	21888	35412	38.20	57300
60	23612	36392	39.35	60004
61	22535	36718	38.03	59253
62	23297	37571	38.27	60868
63	21734	34642	38.55	56376
64	21541	36205	37.30	57746
65	22952	35762	39.09	58714
66	23259	36105	39.18	59364
67	21062	36549	36.56	57611
68	21602	36045	37.47	57647
69	23180	37446	38.23	60626
70	22355	36233	38.16	58588
71	22901	36235	38.73	59136
72	21714	35118	38.21	56832
73	21944	34934	38.58	56878
74	20598	34386	37.46	54984
75	20652	35043	37.08	55695
76	20451	34868	36.97	55319
77	20622	33518	38.09	54140
78	20944	34845	37.54	55789
79	20432	32821	38.37	53253
80	20169	33759	37.40	53928
81	20004	34235	36.88	54239
82	19878	33264	37.41	53142
83	18467	32185	36.46	50652
84	19591	31913	38.04	51504
85	18544	31116	37.34	49660
86	19027	31172	37.90	50199
87	19220	31195	38.12	50415
88	14828	10235	59.16	25063

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	20856	266999	7.25	287855
2	20209	238105	7.82	258314
3	21496	245462	8.05	266958
4	21707	232954	8.52	254661
5	21954	254129	7.95	276083
6	22421	267853	7.72	290274
7	23181	262469	8.12	285650
8	23027	240914	8.72	263941
9	24344	288566	7.78	312910
10	21677	245203	8.12	266880
11	23607	245141	8.78	268748
12	23461	262647	8.20	286108
13	23744	251611	8.62	275355
14	24000	260341	8.44	284341
15	24076	260706	8.45	284782
16	21377	242516	8.10	263893
17	23607	239435	8.97	263042
18	22610	239041	8.64	261651
19	22693	243768	8.52	266461
20	22266	237346	8.58	259612
21	22883	243019	8.61	265902
22	23250	243853	8.70	267103
23	23312	245288	8.68	268600
24	22579	249498	8.30	272077
25	22104	246115	8.24	268219
26	22838	258442	8.12	281280
27	22232	245142	8.31	267374
28	23071	254197	8.32	277268
29	25782	267295	8.80	293077
30	23780	247633	8.76	271413
31	22774	259197	8.08	281971
32	22784	247791	8.42	270575
33	24758	272486	8.33	297244
34	22818	255477	8.20	278295
35	22230	242719	8.39	264949
36	22831	242878	8.59	265709
37	22233	250176	8.16	272409
38	22232	255583	8.00	277815
39	23760	251326	8.64	275086
40	23023	233749	8.97	256772
41	22901	244495	8.56	267396
42	24396	258929	8.61	283325
43	23238	245757	8.64	268995
44	21810	236856	8.43	258666
45	22706	241787	8.58	264493
46	21423	235968	8.32	257391
47	22114	246338	8.24	268452
48	22429	235144	8.71	257573
49	21587	244242	8.12	265829
50	22257	239766	8.49	262023
51	22228	235292	8.63	257520
52	21960	242285	8.31	264245
53	22553	236960	8.69	259513
54	22192	237857	8.53	260049
55	21673	227566	8.70	249239
56	21151	238165	8.16	259316
57	22739	249349	8.36	272088
58	23150	237692	8.88	260842
59	21889	232460	8.61	254349
60	22121	230090	8.77	252211
61	22196	239357	8.49	261553
62	21597	231832	8.52	253429
63	23390	246980	8.65	270370
64	21659	226815	8.72	248474
65	21294	222611	8.73	243905
66	22288	231786	8.77	254074
67	21530	230279	8.55	251809
68	22031	226894	8.85	248925
69	21172	225008	8.60	246180
70	21394	222460	8.77	243854
71	22708	228170	9.05	250878
72	20086	219222	8.39	239308
73	19986	219474	8.35	239460
74	19897	226568	8.07	246465
75	20226	226259	8.21	246485
76	20815	223534	8.52	244349
77	19989	222579	8.24	242568
78	19500	217923	8.21	237423
79	19154	220231	8.00	239385
80	19534	224914	7.99	244448
81	19372	230264	7.76	249636
82	19319	229258	7.77	248577
83	20125	226607	8.16	246732
84	18317	209062	8.06	227379
85	18126	207088	8.05	225214
86	17974	206829	8.00	224803
87	15761	200832	7.28	216593
88	8992	73485	10.90	82477

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	75934	818499	8.49	894433
2	75805	831763	8.35	907568
3	82267	813705	9.18	895972
4	77963	752303	9.39	830266
5	77399	729211	9.60	806610
6	77585	727472	9.64	805057
7	76329	720723	9.58	797052
8	79509	763256	9.43	842765
9	80186	738345	9.80	818531
10	81699	773402	9.55	855101
11	80286	741091	9.77	821377
12	78196	720162	9.79	798358
13	77704	715420	9.80	793124
14	78816	719852	9.87	798668
15	79858	737286	9.77	817144
16	85229	740659	10.32	825888
17	79968	706048	10.17	786016
18	79030	711050	10.00	790080
19	80242	740046	9.78	820288
20	79508	721893	9.92	801401
21	80804	705229	10.28	786033
22	81709	724555	10.13	806264
23	81504	716393	10.21	797897
24	80981	744518	9.81	825499
25	81237	722402	10.11	803639
26	81801	752170	9.81	833971
27	81325	743045	9.87	824370
28	78691	724524	9.80	803215
29	83327	755644	9.93	838971
30	83705	739120	10.17	822825
31	78849	722293	9.84	801142
32	77880	743921	9.48	821801
33	77989	737361	9.57	815350
34	80831	775985	9.43	856816
35	80547	764096	9.54	844643
36	77855	752470	9.38	830325
37	78220	728766	9.69	806986
38	76985	751300	9.29	828285
39	80050	764580	9.48	844630
40	79856	767586	9.42	847442
41	77861	749992	9.41	827853
42	78889	751261	9.50	830150
43	79321	759070	9.46	838391
44	78640	773318	9.23	851958
45	77784	739433	9.52	817217
46	80666	752937	9.68	833603
47	78425	739075	9.59	817500
48	79327	759022	9.46	838349
49	78561	743091	9.56	821652
50	76821	748781	9.30	825602
51	78986	774700	9.25	853686
52	77148	744212	9.39	821360
53	79266	757285	9.48	836551
54	80983	745951	9.79	826934
55	77031	732549	9.51	809580
56	76414	729050	9.49	805464
57	76096	725118	9.50	801214
58	75405	731885	9.34	807290
59	75993	749458	9.21	825451
60	76765	730809	9.51	807574
61	74971	722058	9.41	797029
62	74776	719950	9.41	794726
63	73495	712034	9.36	785529
64	75516	716236	9.54	791752
65	71865	707284	9.22	779149
66	73663	707114	9.43	780777
67	71120	701466	9.21	772586
68	71901	696291	9.36	768192
69	70285	692413	9.22	762698
70	71159	696931	9.26	768090
71	71985	704762	9.27	776747
72	70371	700730	9.13	771101
73	71285	704020	9.19	775305
74	70715	702927	9.14	773642
75	70720	717728	8.97	788448
76	70798	715574	9.00	786372
77	70007	710956	8.96	780963
78	70436	701699	9.12	772135
79	69681	695624	9.10	765305
80	67901	688137	8.98	756038
81	67031	685361	8.91	752392
82	66233	690506	8.75	756739
83	67484	699561	8.80	767045
84	67719	697535	8.85	765254
85	66098	683871	8.81	749969
86	62806	666484	8.61	729290
87	54782	625518	8.05	680300
88	35852	243827	12.82	279679

