CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	23528	41147	36.38	64675
2	23037	39746	36.69	62783
3	22538	39025	36.61	61563
4	24219	41268	36.98	65487
5	25579	41269	38.26	66848
6	26602	43618	37.88	70220
7	25797	39039	39.79	64836
8	26369	42917	38.06	69286
9	28267	45354	38.40	73621
10	24268	41624	36.83	65892
11	24620	42366	36.75	66986
12	29126	45190	39.19	74316
13	32975	47122	41.17	80097
14	28739	43803	39.62	72542
15	30508	45776	39.99	76284
16	26187	41806	38.51	67993
17	26808	42713	38.56	69521
18	27367	42761	39.02	70128
19	27599	44312	38.38	71911
20	27681	43888	38.68	71569
21	26957	41768	39.22	68725
22	30143	47003	39.07	77146
23	27946	42415	39.72	70361
24	31555	46302	40.53	77857
25	29102	45542	38.99	74644
26	26621	42447	38.54	69068
27	26261	41942	38.50	68203
28	27385	45176	37.74	72561
29	27780	41965	39.83	69745
30	26186	42652	38.04	68838
31	25061	41754	37.51	66815
32	27704	42704	39.35	70408
33	24787	40829	37.78	65616
34	24974	41527	37.55	66501
35	24658	39794	38.26	64452
36	26662	42956	38.30	69618
37	28662	43165	39.90	71827
38	27899	42903	39.40	70802
39	24260	40577	37.42	64837
40	24347	39811	37.95	64158
41	28778	42563	40.34	71341
42	25137	39087	39.14	64224
43	24714	41009	37.60	65723
44	25426	41240	38.14	66666
45	26069	41974	38.31	68043
46	26428	42558	38.31	68986
47	23753	39222	37.72	62975
48	25750	40273	39.00	66023
49	26953	43444	38.29	70397
50	24110	39908	37.66	64018
51	25855	39465	39.58	65320
52	26117	40260	39.35	66377
53	28633	41453	40.85	70086
54	25835	38972	39.86	64807
55	25136	40414	38.35	65550
56	25138	40276	38.43	65414
57	26018	40395	39.18	66413
58	23143	39334	37.04	62477
59	22294	37608	37.22	59902
60	23656	39874	37.24	63530
61	23840	38758	38.08	62598
62	24146	38872	38.32	63018
63	23100	37426	38.17	60526
64	22946	37403	38.02	60349
65	23101	39118	37.13	62219
66	22731	38084	37.38	60815
67	23458	38028	38.15	61486
68	22759	38500	37.15	61259
69	24406	38728	38.66	63134
70	23403	38254	37.96	61657
71	23009	37591	37.97	60600
72	21411	36014	37.29	57425
73	23156	37205	38.36	60361
74	22270	36846	37.67	59116
75	21480	36450	37.08	57930
76	21125	36459	36.69	57584
77	23025	35763	39.17	58788
78	22807	36335	38.56	59142
79	21394	36566	36.91	57960
80	20723	36282	36.35	57005
81	21088	35900	37.00	56988
82	20712	33568	38.16	54280
83	19003	33798	35.99	52801
84	19685	32332	37.84	52017
85	18596	32380	36.48	50976
86	19209	32426	37.20	51635
87	18944	30674	38.18	49618
88	10051	12117	45.34	22168

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	27115	282245	8.76	309360
2	26852	252349	9.62	279201
3	29517	259971	10.20	289488
4	28475	250934	10.19	279409
5	29262	272107	9.71	301369
6	29458	285660	9.35	315118
7	30699	283230	9.78	313929
8	29957	256369	10.46	286326
9	32357	296096	9.85	328453
10	29710	263033	10.15	292743
11	30892	259541	10.64	290433
12	31498	281800	10.05	313298
13	31615	270837	10.45	302452
14	31174	265826	10.50	297000
15	31287	272972	10.28	304259
16	28739	257232	10.05	285971
17	31049	253054	10.93	284103
18	30046	252077	10.65	282123
19	29569	258005	10.28	287574
20	30237	252424	10.70	282661
21	29515	262704	10.10	292219
22	30716	255487	10.73	286203
23	31011	259275	10.68	290286
24	29924	259330	10.35	289254
25	30015	261803	10.29	291818
26	30263	267697	10.16	297960
27	30111	256558	10.50	286669
28	31659	270522	10.48	302181
29	32124	276851	10.40	308975
30	31668	263689	10.72	295357
31	31143	272128	10.27	303271
32	30926	260513	10.61	291439
33	31635	276165	10.28	307800
34	29943	263668	10.20	293611
35	29715	256788	10.37	286503
36	30175	257135	10.50	287310
37	29998	267717	10.08	297715
38	29781	266373	10.06	296154
39	31668	265981	10.64	297649
40	29064	249804	10.42	278868
41	30715	254188	10.78	284903
