CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	13447	28343	32.18	41790
2	12925	28034	31.56	40959
3	13820	27985	33.06	41805
4	15068	29857	33.54	44925
5	15524	29517	34.47	45041
6	16035	31749	33.56	47784
7	15336	28360	35.10	43696
8	15836	31121	33.72	46957
9	16608	31183	34.75	47791
10	13894	29678	31.89	43572
11	14863	29780	33.29	44643
12	18271	32392	36.06	50663
13	19825	33805	36.97	53630
14	16850	31784	34.65	48634
15	18054	31729	36.27	49783
16	15751	30004	34.42	45755
17	15836	29882	34.64	45718
18	15745	30337	34.17	46082
19	15693	30986	33.62	46679
20	16068	30479	34.52	46547
21	16030	30704	34.30	46734
22	17827	32192	35.64	50019
23	16057	29308	35.40	45365
24	18286	31816	36.50	50102
25	18045	32289	35.85	50334
26	15286	28945	34.56	44231
27	15649	29230	34.87	44879
28	16786	30263	35.68	47049
29	15574	29977	34.19	45551
30	16199	29965	35.09	46164
31	15118	28377	34.76	43495
32	15292	30283	33.55	45575
33	15202	29105	34.31	44307
34	14356	27987	33.90	42343
35	14721	28036	34.43	42757
36	16460	29656	35.69	46116
37	16248	30363	34.86	46611
38	16480	30043	35.42	46523
39	14196	28364	33.36	42560
40	14401	27497	34.37	41898
41	16792	29623	36.18	46415
42	15278	28637	34.79	43915
43	14828	28642	34.11	43470
44	15518	28011	35.65	43529
45	15398	28972	34.70	44370
46	15564	29600	34.46	45164
47	14185	27401	34.11	41586
48	15174	28706	34.58	43880
49	16002	30233	34.61	46235
50	14177	27940	33.66	42117
51	14871	27386	35.19	42257
52	14894	28184	34.57	43078
53	16371	27441	37.37	43812
54	15132	26981	35.93	42113
55	14621	27884	34.40	42505
56	14658	27956	34.40	42614
57	15555	27394	36.22	42949
58	13874	26713	34.18	40587
59	12974	25910	33.37	38884
60	13686	27598	33.15	41284
61	13277	25667	34.09	38944
62	13767	27258	33.56	41025
63	13304	26371	33.53	39675
64	13786	26183	34.49	39969
65	13822	25808	34.88	39630
66	13693	26185	34.34	39878
67	12965	26290	33.03	39255
68	13475	26461	33.74	39936
69	14231	27225	34.33	41456
70	13440	25672	34.36	39112
71	12604	25720	32.89	38324
72	12385	25143	33.00	37528
73	12681	24909	33.74	37590
74	12658	25475	33.19	38133
75	12394	25051	33.10	37445
76	12608	25029	33.50	37637
77	13135	24744	34.68	37879
78	12241	24148	33.64	36389
79	12469	24719	33.53	37188
80	12114	25337	32.35	37451
81	12301	24873	33.09	37174
82	11352	24038	32.08	35390
83	11148	22876	32.77	34024
84	11398	23178	32.97	34576
85	11092	22189	33.33	33281
86	11570	22637	33.82	34207
87	10973	21079	34.23	32052
88	5448	8332	39.54	13780

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9983	198686	4.78	208669
2	9711	180279	5.11	189990
3	10437	184138	5.36	194575
4	10333	178854	5.46	189187
5	11024	188711	5.52	199735
6	11132	197810	5.33	208942
7	10902	198099	5.22	209001
8	10473	181918	5.44	192391
9	12164	207727	5.53	219891
10	11205	182874	5.77	194079
11	11605	183197	5.96	194802
12	11635	196956	5.58	208591
13	11040	191125	5.46	202165
14	11846	187278	5.95	199124
15	11448	187362	5.76	198810
16	10530	181331	5.49	191861
17	11527	176698	6.12	188225
18	11023	178528	5.82	189551
19	11173	181322	5.80	192495
20	11132	177506	5.90	188638
