CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9501	3496	73.10	12997
2	9849	3549	73.51	13398
3	9493	3360	73.86	12853
4	10563	3369	75.82	13932
5	10860	3479	75.74	14339
6	10957	3665	74.94	14622
7	10542	3364	75.81	13906
8	11039	3564	75.59	14603
9	11838	3755	75.92	15593
10	10350	3654	73.91	14004
11	10783	3630	74.81	14413
12	12657	3718	77.29	16375
13	13107	3870	77.20	16977
14	12565	3836	76.61	16401
15	12528	3709	77.16	16237
16	11236	3726	75.10	14962
17	11221	3609	75.66	14830
18	11577	3615	76.20	15192
19	11380	3572	76.11	14952
20	11368	3681	75.54	15049
21	11024	3578	75.50	14602
22	12861	3744	77.45	16605
23	11150	3543	75.89	14693
24	13204	3922	77.10	17126
25	12395	3792	76.57	16187
26	10653	3486	75.34	14139
27	11279	3479	76.43	14758
28	11919	3547	77.07	15466
29	11427	3447	76.83	14874
30	10945	3581	75.35	14526
31	10622	3393	75.79	14015
32	11227	3462	76.43	14689
33	10457	3320	75.90	13777
34	10722	3444	75.69	14166
35	10470	3387	75.56	13857
36	11487	3610	76.09	15097
37	11659	3524	76.79	15183
38	11453	3455	76.82	14908
39	10213	3398	75.03	13611
40	10312	3246	76.06	13558
41	11788	3420	77.51	15208
42	10642	3408	75.74	14050
43	10213	3217	76.05	13430
44	10632	3367	75.95	13999
45	10479	3272	76.21	13751
46	11001	3299	76.93	14300
47	9726	3189	75.31	12915
48	10342	3320	75.70	13662
49	11005	3434	76.22	14439
50	9791	3202	75.36	12993
51	10067	3118	76.35	13185
52	10178	3077	76.79	13255
53	10159	3178	76.17	13337
54	10064	3169	76.05	13233
55	9664	3009	76.26	12673
56	9802	3088	76.04	12890
57	9989	3068	76.50	13057
58	8939	2847	75.84	11786
59	8663	2869	75.12	11532
60	9111	2947	75.56	12058
61	8920	2849	75.79	11769
62	9060	2837	76.15	11897
63	8595	2721	75.95	11316
64	8632	2822	75.36	11454
65	8575	2737	75.80	11312
66	8678	2822	75.46	11500
67	8251	2667	75.57	10918
68	8275	2577	76.25	10852
69	8633	2664	76.42	11297
70	8137	2595	75.82	10732
71	8022	2515	76.13	10537
72	7626	2437	75.78	10063
73	7692	2422	76.05	10114
74	7393	2389	75.58	9782
75	7321	2373	75.52	9694
76	7184	2391	75.03	9575
77	7250	2310	75.84	9560
78	7305	2363	75.56	9668
79	6887	2198	75.81	9085
80	6746	2192	75.48	8938
81	6618	2197	75.08	8815
82	6594	2102	75.83	8696
83	6113	2079	74.62	8192
84	6137	2067	74.80	8204
85	5783	1915	75.12	7698
86	5736	1868	75.43	7604
87	5772	1785	76.38	7557
88	5674	694	89.10	6368

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	541	61128	0.88	61669
2	561	56131	0.99	56692
3	522	57430	0.90	57952
4	552	54927	0.99	55479
5	550	59166	0.92	59716
6	546	61442	0.88	61988
7	537	61466	0.87	62003
8	611	55405	1.09	56016
9	617	64321	0.95	64938
10	587	57675	1.01	58262
11	514	57876	0.88	58390
12	598	61277	0.97	61875
13	590	58876	0.99	59466
14	648	59109	1.08	59757
15	602	60282	0.99	60884
16	566	56279	1.00	56845
17	587	55684	1.04	56271
18	585	56565	1.02	57150
19	650	57121	1.13	57771
20	588	55462	1.05	56050
21	630	57424	1.09	58054
22	563	56841	0.98	57404
23	654	57071	1.13	57725
24	649	57410	1.12	58059
25	633	57234	1.09	57867
26	605	58779	1.02	59384
27	576	56783	1.00	57359
28	575	59220	0.96	59795
29	564	60248	0.93	60812
30	584	58226	0.99	58810
31	585	59009	0.98	59594
32	553	57436	0.95	57989
33	611	61351	0.99	61962
34	606	57587	1.04	58193
35	610	56012	1.08	56622
36	551	55557	0.98	56108
37	600	57607	1.03	58207
38	675	57598	1.16	58273
39	627	57832	1.07	58459
40	576	54109	1.05	54685
41	569	55293	1.02	55862
42	550	57233	0.95	57783
43	582	55271	1.04	55853
44	649	53594	1.20	54243
45	596	54321	1.09	54917
46	555	52580	1.04	53135
47	599	53427	1.11	54026
48	554	51599	1.06	52153
49	628	52736	1.18	53364
50	550	52625	1.03	53175
51	609	51433	1.17	52042
52	606	53132	1.13	53738
53	567	51433	1.09	52000
54	595	51099	1.15	51694
55	560	48786	1.13	49346
56	496	49604	0.99	50100
57	583	51248	1.12	51831
58	646	49654	1.28	50300
59	595	48962	1.20	49557
60	568	47320	1.19	47888
61	554	48790	1.12	49344
62	597	47763	1.23	48360
63	598	50020	1.18	50618
64	557	45213	1.22	45770
65	561	44499	1.25	45060
66	595	44923	1.31	45518
