CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
42	119439	884408	11.90	1003847
43	122070	895416	12.00	1017486
44	119842	915260	11.58	1035102
45	120068	872176	12.10	992244
46	124720	892820	12.26	1017540
47	120148	872000	12.11	992148
48	121080	892500	11.95	1013580
49	119380	874365	12.01	993745
50	120168	884625	11.96	1004793
51	122402	915987	11.79	1038389
52	119749	882690	11.95	1002439
53	120794	892278	11.92	1013072
54	119443	882865	11.92	1002308
55	119418	874433	12.02	993851
56	116230	866571	11.83	982801
57	113551	858513	11.68	972064
58	115225	864337	11.76	979562
59	117315	879651	11.77	996966
60	115880	864216	11.82	980096
61	114212	855182	11.78	969394
62	114751	846687	11.94	961438
63	112823	841500	11.82	954323
64	113368	849050	11.78	962418
65	111745	835154	11.80	946899
66	109693	836191	11.60	945884
67	109379	826020	11.69	935399
68	110141	829273	11.72	939414
69	107812	822339	11.59	930151
70	108386	826024	11.60	934410
71	108204	837109	11.45	945313
72	107208	830944	11.43	938152
73	105969	839264	11.21	945233
74	107577	840190	11.35	947767
75	106327	852841	11.09	959168
76	104709	848887	10.98	953596
77	106275	842340	11.20	948615
78	104442	830327	11.17	934769
79	103136	823949	11.12	927085
80	102421	818724	11.12	921145
81	101105	811765	11.08	912870
82	100882	822757	10.92	923639
83	101976	835058	10.88	937034
84	100381	831420	10.77	931801
85	99454	811854	10.91	911308
86	96309	788970	10.88	885279
87	82796	743071	10.03	825867
88	56674	289656	16.36	346330

