2	1855	28231	6.57
3	1904	28042	6.79
4	1861	28339	6.57
5	1966	29647	6.63
6	1932	30379	6.36
7	2045	29528	6.93
8	2060	29676	6.94
9	2019	29538	6.84
10	2036	29337	6.94
11	2068	29603	6.99
12	1979	29787	6.64
13	2028	30013	6.76
14	2022	29924	6.76
15	2021	29906	6.76
16	2013	29996	6.71
17	2019	29735	6.79
18	2013	30036	6.70
19	1981	29752	6.66
20	1992	29732	6.70
21	1929	30162	6.40
22	1947	29952	6.50
23	1985	30105	6.59
24	2016	30228	6.67
25	2066	30667	6.74
26	1955	29994	6.52
27	2070	30000	6.90
28	1905	29793	6.39
29	1989	30052	6.62
30	1973	30258	6.52
31	1996	30123	6.63
32	2022	30327	6.67
33	1956	30146	6.49
34	1902	30179	6.30
35	2035	30227	6.73
36	1993	30184	6.60
37	2027	30302	6.69
38	1931	30593	6.31
39	1917	30032	6.38
40	2050	30167	6.80
41	1898	29970	6.33
42	1938	29891	6.48
43	2003	30626	6.54
44	1984	30340	6.54
45	1924	30264	6.36
46	1996	30283	6.59
47	1892	30450	6.21
48	1964	30345	6.47
49	1966	30002	6.55
50	1910	30043	6.36
51	2063	29975	6.88
52	1913	29866	6.41
53	1943	30034	6.47
54	1928	30257	6.37
55	2011	30061	6.69
56	2016	30005	6.72
57	1975	30108	6.56
58	1944	29895	6.50
59	1961	29838	6.57
60	1939	30033	6.46
61	1944	29703	6.54
62	1959	29698	6.60
63	1868	29618	6.31
64	1946	29556	6.58
65	1847	29207	6.32
66	2003	29601	6.77
67	1966	29358	6.70
68	2071	29810	6.95
69	1967	29665	6.63
70	2041	29678	6.88
71	1912	29591	6.46
72	1909	29807	6.40
73	1969	29682	6.63
74	1923	29966	6.42
75	1903	29896	6.37
76	1935	29856	6.48
77	1933	29503	6.55
78	1933	29607	6.53
79	1939	30213	6.42
80	1972	29326	6.72
81	1873	29750	6.30
82	1893	29647	6.39
83	1911	29128	6.56
84	1876	29522	6.35
85	1840	29327	6.27
86	1869	29197	6.40
87	1893	29432	6.43
88	1963	29229	6.72
89	1889	28752	6.57
90	1842	28796	6.40
91	1887	28748	6.56
92	1870	28798	6.49
93	1869	28892	6.47
94	1772	28870	6.14
95	1911	28538	6.70
96	1871	28521	6.56
97	1850	28572	6.47
98	1848	28242	6.54
99	1899	28144	6.75
100	1703	28306	6.02
101	1832	28079	6.52
102	1868	27853	6.71
103	1804	27957	6.45
104	1748	27953	6.25
105	1751	27933	6.27
106	1746	27777	6.29
107	1791	27346	6.55
108	1716	27750	6.18
109	1720	27616	6.23
110	1707	27465	6.22
111	1758	27447	6.41
112	1721	27265	6.31
113	1816	27638	6.57
114	1728	27334	6.32
115	1725	27497	6.27
116	1737	27691	6.27
117	1746	27500	6.35
118	1702	27381	6.22
119	1735	27245	6.37
120	1686	27124	6.22
121	1726	27061	6.38
122	1717	26635	6.45
123	1611	26678	6.04
124	1587	27154	5.84
125	1585	27217	5.82
126	1593	26759	5.95
127	1573	26787	5.87
128	1558	26682	5.84
129	1486	26052	5.70
130	1441	26026	5.54
131	1442	25748	5.60
132	1340	25836	5.19
133	1114	23369	4.77
134	561	10323	5.43
