0	1	80
12	15	77
1	21	119
0	16	150
1	16	150
0	12	151
1	-1	148
1	13	150
0	-1	146
4	-1	149
5	-1	150
0	18	143
0	13	150
0	-1	149
2	15	149
0	16	148
0	20	140
1	15	150
0	9	144
1	16	150
0	-1	150
0	12	148
0	7	149
2	18	150
0	30	149
0	15	151
0	10	151
0	17	151
1	29	149
2	-1	151
0	-1	151
2	22	151
0	-1	150
0	16	145
3	13	151
1	34	151
1	13	149
2	13	151
0	11	115
0	17	151
2	5	139
1	-1	150
0	7	150
2	21	149
0	-1	89
0	11	150
0	13	149
0	14	150
1	-1	150
0	13	150
1	17	150
2	-1	132
1	-1	150
0	13	150
0	12	150
0	-1	151
1	10	149
0	8	95
0	-1	151
1	-1	150
1	28	148
0	10	140
2	-1	150
0	-1	150
0	-1	148
0	17	150
0	-1	151
0	-1	150
1	9	137
0	6	89
0	-1	106
1	15	151
0	-1	150
0	18	119
0	-1	150
0	35	150
1	-1	150
1	15	151
4	-1	149
0	16	150
1	11	150
0	9	131
1	13	108
0	21	144
1	15	133
0	-1	148
0	41	149
0	-1	133
0	17	149
0	-1	151
0	-1	145
2	30	150
1	35	151
1	-1	149
0	-1	149
1	-1	144
0	-1	147
0	14	151
0	18	149
0	16	150
0	12	133
0	15	150
2	13	148
3	-1	146
0	-1	151
2	14	106
1	17	149
1	-1	147
1	12	143
0	-1	151
2	25	151
1	7	112
0	22	147
0	10	111
0	11	150
1	-1	150
0	16	148
0	19	143
0	19	137
0	11	139
1	15	144
0	15	150
2	19	149
1	26	151
1	12	140
1	17	150
1	14	128
0	15	150
0	16	151
2	-1	142
0	13	151
0	19	150
0	18	134
1	-1	149
0	10	151
0	23	150
0	-1	150
0	-1	145
1	14	150
0	-1	151
0	-1	147
0	15	149
0	-1	151
0	-1	151
0	9	151
1	14	149
1	14	150
1	7	146
0	-1	149
1	38	149
0	-1	145
0	37	129
0	-1	146
1	35	151
0	12	151
0	7	72
1	11	150
0	14	149
1	28	149
1	10	150
1	7	151
1	-1	151
0	28	151
2	-1	120
1	33	149
1	15	121
0	15	150
1	-1	150
0	18	150
0	31	150
0	-1	148
0	29	150
41	-1	139
0	4	150
1	19	148
0	18	151
1	13	150
0	19	149
1	-1	147
0	-1	150
0	12	147
0	-1	151
2	-1	150
1	17	150
0	19	151
0	25	150
1	-1	123
1	12	124
1	44	147
1	49	151
0	16	151
2	18	150
0	-1	150
1	13	149
1	7	129
2	-1	151
1	20	143
1	-1	151
1	12	150
1	34	142
2	-1	151
1	9	134
0	9	150
1	-1	119
0	6	121
1	-1	151
0	36	150
0	13	123
1	17	118
0	11	149
0	15	141
0	16	149
0	15	150
1	13	148
0	17	150
0	-1	148
0	-1	111
0	10	151
0	20	151
2	20	150
3	18	150
0	8	150
2	17	150
2	22	146
1	-1	149
0	16	147
0	-1	150
0	14	150
2	18	151
1	18	144
0	-1	150
0	-1	149
1	-1	149
2	11	150
0	6	72
1	31	151
2	20	151
3	-1	143
1	-1	151
0	-1	131
1	19	127
0	-1	145
0	-1	151
0	17	149
2	21	150
0	9	150
2	11	149
1	8	71
0	-1	145
0	-1	150
0	18	150
0	13	106
0	-1	150
0	17	143
0	-1	149
1	-1	148
0	17	150
0	23	150
0	25	146
0	16	150
0	16	122
0	-1	150
0	17	151
0	18	146
0	8	85
0	-1	150
1	-1	150
0	14	151
0	-1	149
1	11	151
3	-1	141
0	-1	146
2	-1	138
0	8	150
1	13	151
0	6	136
0	6	90
0	11	139
1	31	151
0	15	151
1	-1	135
2	12	150
0	12	150
2	10	151
0	-1	146
0	14	139
3	14	151
1	15	148
0	14	145
0	3	114
1	-1	149
1	-1	136
2	-1	148
0	8	151
1	13	150
1	12	134
1	24	150
1	13	150
1	16	149
0	13	150
1	16	151
1	11	150
0	17	151
0	16	150
0	19	150
3	20	150
2	-1	150
1	18	144
1	19	149
3	19	150
0	11	150
0	14	148
2	-1	149
1	15	150
1	-1	150
1	20	122
4	19	150
0	-1	143
1	34	151
0	9	140
3	20	150
1	-1	148
1	-1	149
1	15	149
1	17	147
0	12	148
0	-1	151
5	14	151
0	-1	150
0	-1	151
5	15	126
3	14	144
1	18	150
1	13	151
3	-1	148
0	-1	150
2	13	151
1	15	136
0	12	151
0	6	151
1	-1	150
0	13	151
1	-1	148
0	-1	143
0	-1	150
1	21	122
1	17	145
3	16	151
1	14	151
3	-1	139
0	6	150
1	-1	137
3	-1	147
0	18	150
1	-1	150
1	17	150
1	9	74
2	-1	151
2	15	149
1	18	151
1	-1	149
0	11	150
3	-1	147
1	11	148
3	-1	151
1	20	143
1	-1	149
0	-1	150
1	13	151
0	39	149
2	9	151
2	-1	151
1	-1	151
3	14	141
1	21	150
1	12	149
0	-1	150
1	-1	150
0	-1	150
0	9	147
2	35	148
1	-1	151
3	13	150
0	11	142
0	11	148
1	-1	150
1	16	150
0	9	145
2	-1	149
0	15	151
0	-1	150
1	-1	149
1	-1	145
0	9	145
0	8	133
0	-1	148
1	-1	150
6	28	146
1	-1	121
1	6	149
0	-1	144
0	12	149
0	13	150
0	-1	141
1	11	123
1	-1	151
0	16	147
0	-1	150
1	22	151
0	-1	150
3	-1	150
0	18	151
1	-1	150
0	17	150
4	25	151
0	16	150
1	18	151
0	20	151
1	17	150
0	18	150
0	21	151
0	35	151
2	13	150
0	38	150
1	13	147
1	-1	150
1	-1	146
0	24	150
0	-1	150
2	-1	151
0	-1	151
0	19	150
2	18	128
0	12	150
4	18	145
0	35	150
0	9	150
0	20	147
4	16	150
2	21	151
2	18	151
0	15	150
1	13	150
2	20	150
5	19	146
0	-1	149
2	30	146
2	31	150
0	9	86
1	13	145
3	-1	149
0	-1	150
0	14	150
0	14	149
0	-1	151
5	18	141
2	25	149
2	-1	150
1	-1	147
2	20	145
2	14	125
2	10	128
1	-1	149
0	10	150
0	19	150
2	-1	150
1	14	150
3	17	149
1	-1	151
0	12	149
0	16	150
0	14	150
2	-1	150
1	-1	149
2	15	150
0	11	95
0	19	151
0	-1	148
0	21	147
1	17	150
1	16	73
4	22	150
2	-1	149
0	35	151
1	11	139
0	13	150
2	-1	149
0	15	151
1	34	148
0	21	150
1	14	150
1	13	147
2	9	111
0	-1	147
1	8	150
1	12	149
1	42	150
0	13	150
5	-1	150
4	14	151
2	15	150
4	19	151
0	-1	144
0	13	149
0	-1	144
2	11	150
2	-1	147
1	27	135
2	36	151
1	17	150
3	18	150
0	20	150
2	-1	150
0	27	150
0	19	150
0	12	150
27	28	84
2	12	120
0	7	122
1	22	145
1	28	150
0	18	151
0	15	143
3	14	151
1	27	148
1	-1	150
0	36	149
0	40	150
0	13	141
0	13	149
1	19	150
0	-1	146
1	19	146
1	-1	150
1	9	149
0	-1	151
2	42	151
2	13	123
2	23	150
1	9	150
0	-1	144
1	26	151
0	15	150
1	-1	151
2	19	151
1	12	151
4	16	149
3	17	150
1	17	149
3	15	150
1	17	149
1	21	151
0	35	147
2	-1	151
0	17	151
1	14	150
0	15	146
1	-1	150
0	20	150
0	12	151
5	26	151
1	12	120
4	14	151
2	17	148
0	11	150
0	14	150
0	17	151
2	15	130
2	-1	144
0	19	150
2	17	146
6	-1	149
1	-1	150
3	-1	150
0	19	150
0	12	149
1	31	147
1	18	150
3	-1	147
0	-1	150
0	13	129
3	-1	150
1	16	148
0	16	150
1	43	150
0	10	148
2	-1	151
2	26	150
2	14	150
4	-1	151
2	-1	151
0	30	149
3	19	137
2	19	145
2	18	149
1	18	151
2	20	141
0	17	146
1	24	150
4	18	151
2	18	133
3	12	123
1	19	148
2	19	151
4	35	148
1	-1	150
1	12	151
3	23	150
2	16	150
0	10	150
1	-1	151
3	21	150
0	19	150
2	21	148
0	10	150
2	16	141
1	-1	147
4	-1	150
1	19	133
2	22	149
2	28	149
1	12	89
1	-1	150
0	15	151
2	35	150
0	8	149
1	29	144
0	17	148
1	9	145
2	-1	151
1	18	150
0	1	149
0	16	147
0	-1	146
0	-1	150
0	-1	149
0	22	150
0	18	148
0	12	151
0	22	151
0	42	150
0	17	150
0	-1	142
0	10	150
0	18	151
0	-1	150
1	-1	151
1	31	150
0	13	149
0	13	140
0	14	148
0	-1	150
0	11	148
0	15	148
0	-1	121
2	-1	77
1	-1	149
3	-1	148
0	-1	150
0	12	151
0	4	150
1	21	127
0	25	149
1	2	134
0	11	150
0	-1	150
0	18	150
1	-1	126
0	15	151
1	16	151
0	-1	150
0	-1	149
1	12	113
1	8	150
0	-1	149
0	10	143
1	14	149
0	37	151
1	-1	149
2	12	151
0	38	151
2	11	149
1	22	151
3	-1	149
0	14	151
0	17	144
1	16	148
0	-1	150
0	23	150
2	-1	135
0	-1	136
0	10	150
0	20	146
0	19	150
2	12	150
2	27	151
1	11	150
2	16	151
1	8	137
0	-1	139
0	13	151
1	-1	149
2	-1	150
4	10	147
0	7	150
0	-1	151
4	21	151
1	13	151
0	-1	133
0	12	140
1	-1	150
1	17	150
0	10	151
2	10	150
1	9	150
0	17	146
5	16	145
1	16	139
2	-1	151
1	18	151
1	14	150
1	31	150
0	30	130
0	-1	141
0	-1	149
1	14	150
1	19	142
3	14	147
0	28	150
1	-1	150
0	-1	147
1	19	150
2	-1	151
0	-1	150
0	16	136
2	13	149
0	3	137
0	-1	150
0	-1	150
0	-1	130
3	12	145
1	-1	148
1	10	150
2	37	150
1	29	147
0	14	151
0	16	150
2	14	148
0	10	150
3	16	149
0	-1	150
4	25	149
4	-1	150
1	13	139
0	6	150
0	28	132
0	13	150
0	-1	131
0	-1	150
1	17	151
1	14	150
1	20	150
0	12	150
2	9	140
2	37	151
3	-1	150
2	22	150
0	20	149
0	12	149
1	27	150
2	15	150
2	22	148
0	-1	149
1	18	150
3	18	148
0	-1	108
2	17	150
2	-1	141
1	-1	148
2	-1	146
0	18	150
8	-1	151
1	9	150
2	-1	150
1	13	151
0	20	151
0	14	148
3	17	146
0	14	150
1	13	150
2	28	151
0	21	150
4	-1	149
1	-1	150
1	28	150
6	14	150
0	2	109
1	-1	147
1	10	151
1	20	151
5	14	125
3	12	151
0	0	96
0	-1	150
0	18	148
0	4	150
2	-1	150
1	-1	150
0	14	150
0	-1	151
0	14	151
0	20	151
1	-1	150
0	25	149
0	15	150
0	15	140
0	-1	150
1	15	144
2	-1	146
0	15	148
1	48	150
2	-1	151
1	42	148
2	-1	147
1	22	150
1	12	149
1	18	151
0	20	150
1	17	151
1	15	142
0	19	150
1	-1	150
2	-1	150
3	15	150
4	-1	151
2	17	149
1	15	150
0	-1	150
0	-1	150
1	20	151
2	18	141
2	-1	150
0	-1	150
1	-1	147
0	-1	147
0	-1	148
1	12	151
0	14	150
1	11	151
0	-1	140
0	16	150
2	18	151
2	-1	150
1	14	125
0	11	149
0	-1	149
2	20	149
0	15	150
0	-1	150
0	18	107
1	-1	148
0	13	148
0	-1	141
1	-1	142
0	19	150
1	11	147
0	23	150
0	14	148
1	11	146
2	-1	150
0	17	150
1	-1	150
0	-1	148
0	-1	146
0	12	151
0	-1	151
1	8	151
1	-1	133
0	11	122
1	12	148
1	16	151
0	16	151
0	12	150
0	15	150
0	14	150
1	-1	149
1	18	148
1	-1	151
0	-1	150
0	-1	148
1	14	149
0	-1	150
1	-1	147
2	15	128
0	8	148
2	-1	151
0	15	150
0	-1	110
0	-1	146
1	-1	120
2	-1	151
0	27	150
0	10	151
0	8	150
1	20	151
1	35	150
0	-1	150
0	11	146
0	-1	143
0	18	150
1	7	150
2	10	150
1	37	146
0	16	150
1	17	149
2	-1	150
4	20	151
0	17	149
1	20	140
1	17	150
1	31	149
3	9	151
0	16	134
0	12	150
1	12	149
3	-1	150
3	-1	143
1	-1	144
0	-1	145
1	22	149
0	32	150
2	-1	150
0	13	148
1	20	150
0	11	148
0	15	150
4	19	142
3	11	149
6	21	150
6	22	151
3	-1	150
4	-1	149
0	19	149
2	20	150
1	15	150
1	-1	145
0	-1	150
0	-1	149
0	16	147
2	-1	149
2	-1	149
2	10	150
1	18	148
1	18	122
0	9	149
0	-1	150
5	31	136
0	10	148
1	15	148
1	16	151
1	-1	145
0	-1	145
1	16	150
1	11	151
0	8	151
0	14	120
1	-1	151
2	17	151
3	-1	144
0	11	140
1	-1	149
0	7	149
0	15	150
0	14	150
0	8	150
0	7	149
3	30	150
0	16	150
0	16	150
0	8	148
0	16	140
1	13	110
0	11	136
4	20	150
1	17	144
0	22	149
1	17	148
3	18	150
0	-1	149
2	-1	150
1	-1	123
0	-1	151
0	12	147
1	-1	149
0	-1	150
3	17	150
0	17	151
0	-1	150
1	-1	139
1	40	132
1	10	150
1	14	145
1	15	138
0	19	146
1	18	151
1	14	145
1	9	128
2	-1	151
0	13	143
0	15	146
3	-1	150
0	9	151
0	11	126
1	15	97
3	20	148
0	-1	151
0	-1	150
0	-1	141
1	6	128
1	20	150
0	-1	150
0	-1	150
0	11	144
0	-1	150
2	23	151
2	-1	146
1	7	150
1	16	142
0	-1	150
1	14	151
1	36	149
0	-1	134
0	-1	129
0	-1	149
0	10	151
0	11	148
0	-1	148
0	-1	150
0	-1	135
0	-1	148
0	24	150
1	-1	148
0	16	150
1	-1	149
2	14	151
1	20	140
0	9	146
0	-1	147
0	9	150
0	15	103
1	22	151
0	-1	149
2	21	149
1	21	146
1	-1	147
1	-1	150
2	-1	149
0	-1	148
2	22	150
1	14	146
0	30	148
0	-1	144
0	14	122
1	24	150
0	-1	151
2	16	150
0	31	150
0	18	136
1	15	151
1	-1	145
0	16	150
1	30	150
0	15	150
0	-1	149
0	9	150
0	13	108
1	16	150
0	15	149
0	19	150
0	18	146
0	15	150
0	12	151
0	30	150
2	15	150
1	12	151
2	-1	138
2	-1	139
2	17	151
6	16	150
1	-1	150
1	15	150
1	13	150
0	10	151
2	10	150
1	15	147
0	17	138
1	23	150
1	16	150
3	17	150
0	12	150
1	-1	151
0	11	148
0	12	151
0	12	143
2	18	150
3	-1	146
1	7	131
1	-1	150
0	7	150
3	-1	151
3	12	148
1	13	151
3	15	145
0	13	150
4	-1	151
2	16	121
0	13	148
0	-1	150
0	13	133
1	11	150
0	-1	150
2	20	145
2	14	149
2	-1	147
0	17	150
3	20	150
0	-1	150
0	12	139
2	19	150
1	-1	151
3	18	150
1	16	150
3	22	141
1	23	148
