dataset	cell	uniq_preDedup	mapq30_preDedup	rate_preDedup	uniq_postDedup	mapq30_postDedup	rate_postDedup
snmCAT	SRR10470770	1186255	960865	81.0	1172391	950938	81.111
snmCAT	SRR10471457	1575970	1286572	81.637	1567786	1280643	81.685
droplethic	BC444399	284548	235144	82.63772720244036	284548	235144	82.63772720244036
droplethic	BC414162	418896	348290	83.1447423704213	418896	348290	83.1447423704213
droplethic	BC481486	338016	286392	84.72735018460665	338016	286392	84.72735018460665
droplethic	BC14456	450674	383288	85.04772851329342	450674	383288	85.04772851329342
droplethic	BC536136	309436	259570	83.88487441668067	309436	259570	83.88487441668067
droplethic	BC641684	269088	227070	84.38503389225829	269088	227070	84.38503389225829
droplethic	BC431981	383554	323346	84.30260145898622	383554	323346	84.30260145898622
droplethic	BC713243	206186	173740	84.2637230461816	206186	173740	84.2637230461816
droplethic	BC314217	195542	168460	86.15028996328155	195542	168460	86.15028996328155
droplethic	BC677672	232184	197940	85.25135237570203	232184	197940	85.25135237570203
droplethic	BC7568	163032	126554	77.62525148437116	163032	126554	77.62525148437116
droplethic	BC304361	245822	205074	83.42377818096021	245822	205074	83.42377818096021
droplethic	BC20071	298624	259596	86.93072224603515	298624	259596	86.93072224603515
droplethic	BC565722	129430	113272	87.51603183187824	129430	113272	87.51603183187824
droplethic	BC584390	250806	206940	82.50998779933495	250806	206940	82.50998779933495
droplethic	BC343302	458674	390414	85.11797049756471	458674	390414	85.11797049756471
droplethic	BC404190	267354	226548	84.73709015013802	267354	226548	84.73709015013802
droplethic	BC545201	293932	247234	84.112651905883	293932	247234	84.112651905883
droplethic	BC27667	100860	85356	84.62819750148721	100860	85356	84.62819750148721
droplethic	BC661652	225914	179760	79.57010189718211	225914	179760	79.57010189718211
droplethic	BC3329	255924	210844	82.38539566433785	255924	210844	82.38539566433785
droplethic	BC232145	262446	222930	84.9431883130244	262446	222930	84.9431883130244
droplethic	BC319973	182446	157874	86.53190533089243	182446	157874	86.53190533089243
droplethic	BC194707	323216	266916	82.58130785604673	323216	266916	82.58130785604673
droplethic	BC285979	292728	235410	80.41936541772567	292728	235410	80.41936541772567
droplethic	BC628580	340384	290218	85.2619394566137	340384	290218	85.2619394566137
droplethic	BC98689	252396	211988	83.99023756319434	252396	211988	83.99023756319434
droplethic	BC90063	284510	237058	83.32150012301852	284510	237058	83.32150012301852
droplethic	BC426852	241498	205366	85.03838541105931	241498	205366	85.03838541105931
droplethic	BC486194	314076	264888	84.33882245061704	314076	264888	84.33882245061704
droplethic	BC500102	319056	271630	85.13552479815455	319056	271630	85.13552479815455
droplethic	BC106021	197516	168110	85.11209218493691	197516	168110	85.11209218493691
droplethic	BC348823	388694	328116	84.41498968340134	388694	328116	84.41498968340134
droplethic	BC487913	199766	171500	85.85044502067419	199766	171500	85.85044502067419
droplethic	BC56608	303568	252140	83.05882042903073	303568	252140	83.05882042903073
droplethic	BC688858	325248	274894	84.51827528532074	325248	274894	84.51827528532074
droplethic	BC191205	254548	218398	85.79835630215126	254548	218398	85.79835630215126
droplethic	BC105739	401326	340518	84.8482281237697	401326	340518	84.8482281237697
droplethic	BC353964	201882	168902	83.66372435383046	201882	168902	83.66372435383046
droplethic	BC56805	245994	206770	84.05489564786133	245994	206770	84.05489564786133
droplethic	BC7543	305542	260206	85.16210537340201	305542	260206	85.16210537340201
droplethic	BC354043	324844	270550	83.28613118912463	324844	270550	83.28613118912463
droplethic	BC138451	455356	382658	84.03490895035972	455356	382658	84.03490895035972
droplethic	BC195978	205904	174902	84.94346880099464	205904	174902	84.94346880099464
droplethic	BC425455	281976	237910	84.37242885919369	281976	237910	84.37242885919369
droplethic	BC687342	368706	308856	83.76755463702787	368706	308856	83.76755463702787
