,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
sc_69_CKDL200165520-1a-D709-AK1543_HF2L3CCX2_L7,methylhic_new,983564.0,147534600.0,131947.0,495266.0,895881.0,118563695.0,0.9108517595194618,2321.0,1796.0,940.0,900.0,983564.0,147534600.0,98707.0,8067330.0,912789.0,116542463.0,0.9280423032969892,990.0,901.0,732.0,714.0,75.0,4.0,51.0,2848.0,15593.0,0.1826460591290964,358.0,812.0,0.4408866995073892,387.0,1587.0,0.2438563327032136,2.311166734407061e-05,0.0,0.0,1672.0,983564.0,0.2590745869150032,0.108458800445667,59.50021542438604,26.060606060606062,0.2004730538988995,0.0987084638399454,130.0,0.5769230769230769,0.0307692307692307,0.3923076923076923
sc_54_CKDL200165520-1a-D707-AK1544_HF2L3CCX2_L7,methylhic_new,45104.0,6765600.0,7684.0,36714.0,39606.0,5193949.0,0.878103937566513,85.0,84.0,73.0,72.0,45104.0,6765600.0,6273.0,433643.0,40657.0,5057527.0,0.901405640297978,42.0,41.0,42.0,41.0,3.0,0.0,5.0,67.0,1049.0,0.0638703527168732,21.0,37.0,0.5675675675675675,7.0,104.0,0.0673076923076923,1.7455964228659531e-06,0.0,0.0,115.0,45104.0,0.2146139473817098,0.1033032442137885,14.117647058823534,0.0,0.2120890774125133,0.1008436431610792,8.0,0.375,0.0,0.625
sc_57_CKDL200165520-1a-D708-AK1680_HF2L3CCX2_L7,methylhic_new,29572.0,4435800.0,8350.0,37205.0,22860.0,2950855.0,0.7730285405112944,94.0,92.0,85.0,84.0,29572.0,4435800.0,2087.0,759116.0,27652.0,3083305.0,0.9350737183822536,33.0,33.0,33.0,33.0,4.0,0.0,1.0,74.0,1120.0,0.0660714285714285,21.0,70.0,0.3,8.0,124.0,0.064516129032258,1.8382408312958013e-06,0.0,0.0,118.0,29572.0,0.4111986001749781,0.1193403732098944,9.57446808510638,0.0,0.4024496937882764,0.1193403732098944,5.0,0.8,0.0,0.2
sc_36_CKDL200165520-1a-D705-AK1780_HF2L3CCX2_L7,methylhic_new,1232501.0,184875150.0,629267.0,1361033.0,713613.0,87350221.0,0.5789958791108486,2375.0,2317.0,1984.0,1933.0,1232501.0,184875150.0,366695.0,27071771.0,922417.0,96615354.0,0.7484107517965503,676.0,673.0,625.0,622.0,60.0,1.0,21.0,1470.0,25137.0,0.0584795321637426,324.0,1168.0,0.2773972602739726,183.0,2766.0,0.0661605206073752,3.77062742309482e-05,0.0,0.0,2609.0,1232501.0,0.3328134437012778,0.0732857265206517,16.463157894736845,7.544378698224852,0.3246857890761519,0.0729604940065068,82.0,0.7317073170731707,0.0121951219512195,0.2560975609756097
sc_96_CKDL200165520-1a-D712-AK1546_HF2L3CCX2_L7,methylhic_new,85005.0,12750750.0,24472.0,88216.0,66003.0,8505275.0,0.7764602082230457,199.0,191.0,181.0,174.0,85005.0,12750750.0,15263.0,1367013.0,72819.0,8532201.0,0.8566437268395977,86.0,85.0,86.0,85.0,7.0,0.0,9.0,133.0,2505.0,0.0530938123752495,33.0,96.0,0.34375,9.0,222.0,0.0405405405405405,4.187307550969619e-06,0.0,0.0,267.0,85005.0,0.3015014469039286,0.1181010450569219,9.045226130653262,0.0,0.2893807857218611,0.1167277770911437,16.0,0.4375,0.0,0.5625
sc_45_CKDL200165520-1a-D706-AK1543_HF2L3CCX2_L7,methylhic_new,673540.0,101031000.0,112826.0,391729.0,595822.0,78263158.0,0.88461264364403,1469.0,1439.0,977.0,958.0,673540.0,101031000.0,87928.0,5869513.0,612205.0,77152091.0,0.9089363660658608,786.0,775.0,683.0,673.0,68.0,2.0,22.0,1365.0,16029.0,0.0851581508515815,301.0,813.0,0.3702337023370233,93.0,1629.0,0.0570902394106814,2.4039942345531748e-05,0.0,0.0,1660.0,673540.0,0.2465501441705744,0.1283883666418928,33.49217154526889,13.104325699745544,0.2415150833638234,0.126591582884818,92.0,0.7391304347826086,0.0217391304347826,0.2391304347826087
sc_5_CKDL200165520-1a-D701-AK1543_HF2L3CCX2_L7,methylhic_new,832719.0,124907850.0,302207.0,543454.0,580757.0,75140717.0,0.6974225398964117,3142.0,3073.0,2063.0,2013.0,832719.0,124907850.0,242811.0,7755911.0,627061.0,76989151.0,0.7530283324867092,1718.0,1694.0,1480.0,1457.0,143.0,1.0,74.0,990.0,36371.0,0.0272194880536691,435.0,1543.0,0.2819183408943616,140.0,3901.0,0.0358882337862086,5.019862203167654e-05,0.0,0.0,3543.0,832719.0,0.5410180161410022,0.2739765349782557,34.34118395926161,13.853317811408616,0.5291369712289306,0.2701491561427038,218.0,0.6559633027522935,0.0045871559633027,0.3394495412844037
sc_6_CKDL200165520-1a-D701-AK1544_HF2L3CCX2_L7,methylhic_new,65792.0,9868800.0,8080.0,64282.0,61115.0,8030515.0,0.9289123297665368,347.0,338.0,301.0,294.0,65792.0,9868800.0,7267.0,598350.0,61404.0,7728648.0,0.933304961089494,197.0,193.0,186.0,183.0,24.0,1.0,6.0,96.0,4952.0,0.0193861066235864,63.0,233.0,0.2703862660944206,1.0,436.0,0.0022935779816513,7.370906313377129e-06,0.0,0.0,487.0,65792.0,0.567782050233167,0.3208260048205328,13.256484149855908,5.58375634517766,0.5530557146363413,0.3143117712201159,31.0,0.7741935483870968,0.032258064516129,0.1935483870967742
sc_90_CKDL200165520-1a-D712-AK1681_HF2L3CCX2_L7,methylhic_new,6214721.0,932208150.0,673125.0,5697051.0,5887507.0,774789345.0,0.9473485615846632,50724.0,49701.0,28008.0,27311.0,6214721.0,932208150.0,706993.0,49984513.0,5796003.0,740142012.0,0.9326248113149408,27317.0,26963.0,21589.0,21290.0,2416.0,50.0,904.0,7473.0,507201.0,0.0147338037582733,6315.0,25245.0,0.2501485442661913,890.0,54440.0,0.0163482733284349,0.0006548095802318,0.0,0.0,49597.0,6214721.0,0.8615531157754887,0.4713075545337019,44.78353442157559,20.9686275945382,0.8441773402562408,0.4651998972395287,3370.0,0.716913946587537,0.0148367952522255,0.2682492581602373
sc_48_CKDL200165520-1a-D706-AK1546_HF2L3CCX2_L7,methylhic_new,61888.0,9283200.0,11378.0,66041.0,53266.0,6991360.0,0.8606838159255429,243.0,236.0,206.0,200.0,61888.0,9283200.0,4903.0,1043982.0,58388.0,6973447.0,0.9434462254395036,114.0,110.0,108.0,105.0,17.0,1.0,3.0,71.0,3104.0,0.0228737113402061,58.0,207.0,0.2801932367149758,13.0,276.0,0.0471014492753623,4.867310185176054e-06,0.0,0.0,314.0,61888.0,0.4562009537040513,0.1952455984106323,15.226337448559669,5.263157894736848,0.4430593624450869,0.188394875659382,21.0,0.8095238095238095,0.0476190476190476,0.1428571428571428
