,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
sc_87_CKDL200165520-1a-D711-AK1545_HF2L3CCX2_L7,methylhic_new,1008310.0,151246500.0,363165.0,541023.0,741476.0,93792610.0,0.7353651158869792,218214.0,187475.0,135781.0,116449.0,1008310.0,151246500.0,315384.0,6887252.0,774993.0,94866485.0,0.7686058850948617,112791.0,99505.0,91855.0,81991.0,72221.0,6270.0,5030.0,397076.0,3922136.0,0.1012397326354823,119519.0,198559.0,0.6019319194798524,20761.0,276719.0,0.0750255674529035,0.0055972956648144,0.0,0.0,227636.0,1008310.0,29.429678101516437,14.553808873112404,37.77621967426471,18.56176467980601,25.28402807373401,12.83947080812343,83521.0,0.864704685049269,0.0750709402425737,0.0602243747081572
sc_50_CKDL200165520-1a-D707-AK1681_HF2L3CCX2_L7,methylhic_new,663700.0,99555000.0,205450.0,525668.0,510991.0,65270879.0,0.7699126111194817,111207.0,94152.0,94737.0,79952.0,663700.0,99555000.0,150727.0,8332110.0,551011.0,65342352.0,0.8302109386771132,34882.0,31340.0,31604.0,28544.0,26648.0,2140.0,3583.0,64121.0,2225675.0,0.0288096869489031,61100.0,112022.0,0.5454285765296103,3325.0,161448.0,0.0205948664585501,0.0035234986860273,0.0,0.0,126341.0,663700.0,21.763005610666333,6.330545125233435,14.81021878119183,9.397396938248958,18.42537344101951,5.6877267422973405,32371.0,0.8232059559482252,0.0661085539526119,0.1106854900991628
sc_81_CKDL200165520-1a-D711-AK1680_HF2L3CCX2_L7,methylhic_new,107332.0,16099800.0,28642.0,106820.0,84606.0,10954746.0,0.7882644504900682,26593.0,22785.0,24247.0,20740.0,107332.0,16099800.0,11315.0,2001512.0,97817.0,11486113.0,0.911349830432676,9540.0,8584.0,9148.0,8251.0,7438.0,605.0,981.0,14601.0,580585.0,0.0251487723589138,15804.0,28797.0,0.5488071674132722,741.0,41272.0,0.0179540608645086,0.0009435429309328,0.0,0.0,33395.0,107332.0,31.431576956717016,9.752905936595887,8.821870417027034,4.109014675052414,26.93071413374938,8.775570708568042,9024.0,0.8242464539007093,0.067043439716312,0.1087101063829787
sc_86_CKDL200165520-1a-D711-AK1544_HF2L3CCX2_L7,methylhic_new,130323.0,19548450.0,16810.0,98579.0,119694.0,15776330.0,0.9184411040261504,53161.0,45857.0,41983.0,36160.0,130323.0,19548450.0,15252.0,1036934.0,120483.0,15308294.0,0.9244952924656432,27509.0,24426.0,24940.0,22270.0,18709.0,1692.0,1853.0,30085.0,1179778.0,0.0255005602748991,34142.0,60788.0,0.5616569059682832,1589.0,85811.0,0.0185174394891097,0.001776416644986,0.0,0.0,66923.0,130323.0,44.41408926094875,22.832266792825543,21.026692500141078,9.338761859754984,38.31186191454877,20.27339956674385,22254.0,0.8407027950031455,0.0760312752763548,0.0832659297204996
sc_85_CKDL200165520-1a-D711-AK1543_HF2L3CCX2_L7,methylhic_new,3495562.0,524334300.0,943240.0,2474679.0,2819771.0,363518672.0,0.8066717168798608,1596047.0,1381817.0,789811.0,680335.0,3495562.0,524334300.0,782706.0,30579885.0,2916520.0,361598348.0,0.8343493835898205,798622.0,706819.0,591457.0,532107.0,464433.0,50638.0,38379.0,933796.0,23404919.0,0.039897424981475,667532.0,1200795.0,0.5559083773666612,54469.0,1696598.0,0.0321048356770431,0.0309682576678292,0.0,0.0,1381268.0,3495562.0,56.60200775169331,27.382702673048705,50.51455251631061,25.94030717911603,49.00458228700132,24.235012960651737,553450.0,0.8391598157015088,0.0914951666817237,0.0693450176167675
sc_13_CKDL200165520-1a-D702-AK1543_HF2L3CCX2_L7,methylhic_new,849966.0,127494900.0,150235.0,613249.0,735545.0,96879456.0,0.865381674090493,343909.0,295764.0,221599.0,190080.0,849966.0,127494900.0,122365.0,7956446.0,750228.0,94785218.0,0.8826564827298974,166885.0,147336.0,141079.0,125810.0,108062.0,13599.0,7479.0,118708.0,6384825.0,0.0185922088702509,169107.0,314227.0,0.5381682668898599,6285.0,450168.0,0.0139614543903609,0.0094004768230755,0.0,0.0,362678.0,849966.0,46.75567096506672,22.244570983754272,35.56464064621746,15.46334302064296,40.21018428512191,19.63882979574209,129140.0,0.8367817872076816,0.1053043208920551,0.0579138919002632
sc_30_CKDL200165520-1a-D704-AK1544_HF2L3CCX2_L7,methylhic_new,109722.0,16458300.0,56543.0,145753.0,60666.0,7536426.0,0.5529064362662001,15113.0,12586.0,14616.0,12165.0,109722.0,16458300.0,44054.0,1764213.0,70964.0,7612438.0,0.6467618162264632,3264.0,2997.0,3155.0,2901.0,3122.0,301.0,307.0,6880.0,310307.0,0.0221715913595246,8597.0,15560.0,0.5525064267352185,347.0,22360.0,0.0155187835420393,0.0005183087573154,0.0,0.0,17771.0,109722.0,24.91181221771668,4.599515247167578,3.2885595182955085,3.3394607843137303,20.74638182837174,4.22326813595626,3730.0,0.8369973190348525,0.0806970509383378,0.0823056300268096
sc_1_CKDL200165520-1a-D701-AK1680_HF2L3CCX2_L7,methylhic_new,13550.0,2032500.0,4793.0,25302.0,9600.0,1218117.0,0.7084870848708487,2843.0,2344.0,2840.0,2341.0,13550.0,2032500.0,952.0,469006.0,12684.0,1290348.0,0.9360885608856088,372.0,361.0,372.0,361.0,458.0,33.0,50.0,2288.0,56357.0,0.0405983285128732,1486.0,2612.0,0.5689127105666156,90.0,3958.0,0.0227387569479535,9.734727110395884e-05,0.0,0.0,3212.0,13550.0,29.61458333333333,2.9328287606433303,0.1055223355610257,0.0,24.416666666666668,2.8461053295490384,541.0,0.8465804066543438,0.0609981515711645,0.0924214417744916
sc_84_CKDL200165520-1a-D711-AK1780_HF2L3CCX2_L7,methylhic_new,958185.0,143727750.0,300013.0,537308.0,734668.0,94169066.0,0.7667287632346572,131301.0,113068.0,103707.0,88960.0,958185.0,143727750.0,233054.0,8869254.0,784052.0,95781100.0,0.8182678710269937,56461.0,50299.0,50237.0,45092.0,40021.0,3377.0,3871.0,103226.0,2671113.0,0.0386453137699528,74192.0,132036.0,0.56190735859917,5678.0,186386.0,0.0304636614337986,0.0040774612374419,0.0,0.0,153944.0,958185.0,17.872154496997283,7.201180533944178,21.015833847419284,11.023538371619344,15.390353193551372,6.415263273354318,47269.0,0.8466648331887706,0.0714421714019759,0.0818929954092534
sc_71_CKDL200165520-1a-D709-AK1545_HF2L3CCX2_L7,methylhic_new,187129.0,28069350.0,15766.0,135843.0,177876.0,23592975.0,0.9505528271940746,89187.0,77504.0,68040.0,59052.0,187129.0,28069350.0,16202.0,1548537.0,175387.0,22510927.0,0.937251842311988,43783.0,38760.0,39725.0,35352.0,29450.0,3227.0,3264.0,38789.0,1918113.0,0.0202224790718794,51702.0,98967.0,0.5224165630967899,2072.0,140646.0,0.0147320222402343,0.0028961201066346,0.0,0.0,107765.0,187129.0,50.1399851582001,24.96365180999732,23.710854720979512,9.26843752141242,43.57192651060289,22.09969952162931,35941.0,0.819398458584903,0.0897860382293202,0.0908155031857766
