,Dataset,R1InputReads,R1InputReadsBP,R1WithAdapters,R1QualTrimBP,R1TrimmedReads,R1TrimmedReadsBP,R1TrimmedReadsRate,R1UniqueMappedReads,R1UniqueMappedReadsMapQ30,R1DeduppedReads,R1DeduppedReadsMapQ30,R2InputReads,R2InputReadsBP,R2WithAdapters,R2QualTrimBP,R2TrimmedReads,R2TrimmedReadsBP,R2TrimmedReadsRate,R2UniqueMappedReads,R2UniqueMappedReadsMapQ30,R2DeduppedReads,R2DeduppedReadsMapQ30,CisShortContact,CisLongContact,TransContact,mCHmC,mCHCov,mCHFrac,mCGmC,mCGCov,mCGFrac,mCCCmC,mCCCCov,mCCCFrac,GenomeCov,LambdaCYCov,LambdaCYFrac,FinalmCReads,CellInputReadPairs,R1MappingRate,R2MappingRate,R1DuplicationRate,R2DuplicationRate,R1MappingRateMapQ30,R2MappingRateMapQ30,TotalContacts,CisShortRatio,CisLongRatio,TransRatio
SRR21549290,snm3C-seq,1143589,161698788,1600,292543,1117407,138234901,0.9771054111223524,847175,764221,685205,621685,1143589,168623676,15135,300212,1118263,144965545,0.9778539317884308,780690,687588,633262,560522,557540,8527,8203,987766,28865210,0.0342199485124133,950520,1193818,0.79620176609835,15684,1967772,0.0079704355992462,0.0505877197586795,0,0,1318467,1143589,75.81615293263779,69.8127363598724,19.11883613184997,18.884320280777256,68.39235837971303,61.48714568934142,574270,0.9708673620422448,0.0148484162501959,0.0142842217075591
SRR21549355,snm3C-seq,487161,69937205,528,131854,484275,60024895,0.9940758804584112,360262,325210,275804,249930,487161,72861893,6741,120223,484411,62924455,0.9943550489468574,330556,290353,251812,222325,224338,3783,3549,318258,11429475,0.0278453734751596,374779,480199,0.7804660151312268,5401,780588,0.0069191430050167,0.0201358330052445,0,0,527616,487161,74.39202932218264,68.23874767501151,23.44349390166046,23.821682256561672,67.15399308244284,59.9393903111201,231670,0.9683515345102948,0.0163292614494755,0.0153192040402296
SRR21549306,snm3C-seq,3903676,556705408,3508,1153532,3848510,476843750,0.9858681919298632,2969897,2680938,1770573,1601694,3903676,580211273,53460,1062271,3850456,499978134,0.9863666964164034,2751157,2423622,1610490,1433481,1551993,25368,23988,1377582,73477925,0.0187482430947798,2257940,3023290,0.7468486317885482,28814,5032203,0.0057259216291552,0.1201014793600484,0,0,3381063,3903676,77.17004762882257,71.4501607082382,40.38267993805847,41.461356076734255,69.66171323447257,62.94376562152638,1601349,0.9691784863886636,0.0158416435143119,0.0149798700970244
SRR21549326,snm3C-seq,1821300,260272481,1919,486132,1802610,223123926,0.9897380991599408,1384534,1249599,1049162,950752,1821300,271281789,24396,502731,1803544,233951632,0.9902509196727612,1261423,1103617,955759,841434,865759,10229,12868,996359,43897728,0.0226972794582899,1354740,1836033,0.7378625547580027,19947,3005060,0.0066378042368538,0.0751844652520107,0,0,2004921,1821300,76.80718513710674,69.94134881100766,24.22273486963845,24.23168120448097,69.32165027376969,61.19157614119756,888856,0.9740149135518014,0.0115080507978795,0.014477035650319
SRR21549296,snm3C-seq,1124180,158988125,1311,283752,1100422,135952828,0.9788663737123948,827361,736949,669585,599448,1124180,165761470,15404,285549,1101018,142532587,0.9793965379209736,761667,663446,617940,540711,540342,6620,8347,577572,28138620,0.0205259532983493,872391,1154227,0.7558227281115413,11899,1908886,0.0062334785838441,0.0490677857070267,0,0,1287525,1124180,75.1857923596584,69.17843305014088,19.069789366431344,18.870057387283424,66.96967163506365,60.25750714338912,555309,0.9730474384531856,0.0119212906687988,0.0150312708780156
SRR21549334,snm3C-seq,464137,64608238,601,127177,445226,55008002,0.9592555646285472,326401,290926,260652,233172,464137,67423417,6042,122474,445600,57700557,0.9600613611929236,295284,255824,235630,205365,207703,2709,3146,332429,10603169,0.0313518533940183,336045,439392,0.7647954446143762,5279,719329,0.0073387837832201,0.0187702566220892,0,0,496282,464137,73.31130706652353,66.26660682226212,20.143627010946663,20.20224597336801,65.34344355450939,57.41113105924596,213558,0.9725835604379138,0.0126850785266765,0.0147313610354095
SRR21549348,snm3C-seq,1390787,193099519,1648,375784,1328298,164282657,0.955069324058968,1005387,908187,761963,690384,1390787,201499536,18509,363989,1329408,172267705,0.9558674333309126,921730,808655,695897,613845,624956,7942,9015,878065,31970725,0.027464657119912,1047126,1331295,0.7865469336247789,15193,2188548,0.0069420455936995,0.055032334886918,0,0,1457860,1390787,75.68986778569267,69.33386891007125,24.21197011697983,24.50099269851258,68.37223273693101,60.82820323031003,641913,0.9735836476282612,0.0123723931436191,0.0140439592281196
SRR21549295,snm3C-seq,1163666,166208488,1284,297167,1153603,142507970,0.991352329620355,867020,771280,701571,626868,1163666,173261216,15556,310480,1154445,149460191,0.992075904941796,794431,689907,644098,561658,561792,6980,9055,667272,29314696,0.022762371474021,908933,1198623,0.7583143323630532,13330,2003367,0.0066537983305105,0.0509121125069711,0,0,1345669,1163666,75.15757153890897,68.81497169635625,19.08248944661023,18.92335520643077,66.85835595087738,59.76092408040227,577827,0.9722494795154952,0.0120797401298312,0.0156707803546736
SRR21549366,snm3C-seq,2034012,288385870,2126,525944,1992802,246727355,0.9797395492258648,1513226,1367470,1105184,1002914,2034012,300678641,27363,547650,1993950,258694894,0.9803039510091386,1385296,1213768,1007907,889006,920674,11333,13878,1175688,46321463,0.0253810636335039,1445474,1900297,0.7606568867919067,21222,3155730,0.0067249099257541,0.0793407123918664,0,0,2113091,2034012,75.93458858431495,69.47496175932196,26.965040251753532,27.242481029325138,68.62046505372837,60.872539431781135,945885,0.9733466541915772,0.011981371942678,0.0146719738657447
SRR21549335,snm3C-seq,1573028,224844553,1592,459786,1557644,192736057,0.9902201359416362,1151413,1018523,907970,807430,1573028,234326082,21467,430547,1558545,202103817,0.9907929165914402,1053638,911062,828521,721076,731985,8742,11746,768408,37311220,0.0205945557395335,1173153,1527341,0.7681015568887367,16000,2526680,0.0063324204093909,0.0649515915352531,0,0,1736491,1573028,73.92016404261821,67.60395112107767,21.142978236306178,21.36568726640459,65.38868958503997,58.45593165420312,752473,0.9727724449913816,0.0116176925949502,0.015609862413668
