CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	851	199	81.05	1050
2	368	83	81.60	451
3	375	85	81.52	460
4	266	95	73.68	361
5	400	89	81.80	489
6	329	81	80.24	410
7	321	71	81.89	392
8	383	134	74.08	517
9	603	126	82.72	729
10	683	175	79.60	858
11	776	136	85.09	912
12	797	183	81.33	980
13	798	160	83.30	958
14	524	119	81.49	643
15	591	116	83.59	707
16	453	99	82.07	552
17	395	88	81.78	483
18	388	83	82.38	471
19	397	73	84.47	470
20	297	65	82.04	362
21	320	66	82.90	386
22	381	74	83.74	455
23	392	98	80.00	490
24	404	102	79.84	506
25	459	130	77.93	589
26	465	68	87.24	533
27	763	161	82.58	924
28	631	109	85.27	740
29	523	117	81.72	640
30	403	97	80.60	500
31	551	115	82.73	666
32	362	94	79.39	456
33	418	89	82.45	507
34	348	68	83.65	416
35	446	74	85.77	520
36	486	60	89.01	546
37	630	113	84.79	743
38	496	78	86.41	574
39	539	76	87.64	615
40	991	139	87.70	1130
41	693	98	87.61	791
42	659	126	83.95	785
43	767	139	84.66	906
44	440	90	83.02	530
45	426	76	84.86	502
46	383	70	84.55	453
47	518	115	81.83	633
48	339	59	85.18	398
49	444	58	88.45	502
50	364	53	87.29	417
51	731	129	85.00	860
52	841	156	84.35	997
53	481	104	82.22	585
54	855	165	83.82	1020
55	1052	184	85.11	1236
56	763	139	84.59	902
57	631	116	84.47	747
58	682	140	82.97	822
59	861	169	83.59	1030
60	521	88	85.55	609
61	631	117	84.36	748
62	290	68	81.01	358
63	497	98	83.53	595
64	321	77	80.65	398
65	460	76	85.82	536
66	654	98	86.97	752
67	574	106	84.41	680
68	575	122	82.50	697
69	599	87	87.32	686
70	656	106	86.09	762
71	593	96	86.07	689
72	756	90	89.36	846
73	580	78	88.15	658
74	359	59	85.89	418
75	383	82	82.37	465
76	270	55	83.08	325
77	347	80	81.26	427
78	286	63	81.95	349
79	280	67	80.69	347
80	274	50	84.57	324
81	370	91	80.26	461
82	786	172	82.05	958
83	838	156	84.31	994
84	1038	159	86.72	1197
85	812	138	85.47	950
86	661	139	82.62	800
87	784	137	85.12	921
88	568	93	85.93	661
89	652	140	82.32	792
90	318	70	81.96	388
91	354	76	82.33	430
92	341	69	83.17	410
93	352	82	81.11	434
94	444	97	82.07	541
95	665	120	84.71	785
96	526	109	82.83	635
97	501	96	83.92	597
98	747	159	82.45	906
99	693	122	85.03	815
100	688	133	83.80	821
101	653	125	83.93	778
102	407	84	82.89	491
103	421	110	79.28	531
104	331	77	81.13	408
105	388	105	78.70	493
106	315	68	82.25	383
107	321	77	80.65	398
108	247	68	78.41	315
109	488	87	84.87	575
110	579	107	84.40	686
111	566	95	85.63	661
112	800	144	84.75	944
113	672	134	83.37	806
114	579	111	83.91	690
115	512	115	81.66	627
116	455	101	81.83	556
117	356	79	81.84	435
118	322	74	81.31	396
119	356	75	82.60	431
120	325	53	85.98	378
121	318	97	76.63	415
122	241	71	77.24	312
123	441	95	82.28	536
124	559	126	81.61	685
125	406	107	79.14	513
126	322	85	79.12	407
127	430	98	81.44	528
128	417	111	78.98	528
129	346	0	100.00	346

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	27	1440	1.84	1467
2	20	1309	1.50	1329
3	22	1714	1.27	1736
4	11	1802	0.61	1813
5	14	1500	0.92	1514
6	24	1168	2.01	1192
7	18	1202	1.48	1220
8	17	1233	1.36	1250
9	11	1163	0.94	1174
10	23	1258	1.80	1281
11	19	1251	1.50	1270
12	22	1151	1.88	1173
13	21	1364	1.52	1385
14	15	1274	1.16	1289
15	24	1281	1.84	1305
16	14	1331	1.04	1345
17	22	1803	1.21	1825
18	31	2009	1.52	2040
19	38	1886	1.98	1924
20	37	1859	1.95	1896
21	28	1892	1.46	1920
22	33	1795	1.81	1828
23	21	1613	1.29	1634
24	30	1621	1.82	1651
25	11	1251	0.87	1262
26	17	1284	1.31	1301
27	14	1582	0.88	1596
28	28	1545	1.78	1573
29	26	1391	1.83	1417
30	33	1554	2.08	1587
31	22	1524	1.42	1546
32	25	1697	1.45	1722
33	16	1645	0.96	1661
34	18	1281	1.39	1299
35	20	1285	1.53	1305
36	13	1391	0.93	1404
37	18	1316	1.35	1334
38	7	1081	0.64	1088
39	21	1055	1.95	1076
40	14	1147	1.21	1161
41	19	1130	1.65	1149
42	18	1313	1.35	1331
43	22	1198	1.80	1220
44	20	1283	1.53	1303
45	19	1575	1.19	1594
46	20	1671	1.18	1691
47	14	1619	0.86	1633
48	10	1547	0.64	1557
49	29	1722	1.66	1751
50	28	1910	1.44	1938
51	22	1559	1.39	1581
52	14	1701	0.82	1715
53	11	1240	0.88	1251
54	13	1367	0.94	1380
55	22	1453	1.49	1475
56	20	1833	1.08	1853
57	31	1551	1.96	1582
58	19	1378	1.36	1397
59	22	1570	1.38	1592
60	24	1562	1.51	1586
61	37	1669	2.17	1706
62	34	1952	1.71	1986
63	39	1786	2.14	1825
64	11	1581	0.69	1592
65	18	1361	1.31	1379
66	21	1283	1.61	1304
67	15	1174	1.26	1189
68	11	1332	0.82	1343
69	21	1238	1.67	1259
70	26	1140	2.23	1166
71	16	1219	1.30	1235
72	23	1161	1.94	1184
73	12	1237	0.96	1249
74	27	1436	1.85	1463
75	26	1659	1.54	1685
76	19	1469	1.28	1488
77	20	1339	1.47	1359
78	25	1524	1.61	1549
79	22	1476	1.47	1498
80	12	1519	0.78	1531
81	18	1343	1.32	1361
82	15	1392	1.07	1407
83	11	1163	0.94	1174
84	18	1143	1.55	1161
85	21	1180	1.75	1201
86	24	1164	2.02	1188
87	12	1034	1.15	1046
88	19	1107	1.69	1126
89	20	1005	1.95	1025
90	22	1124	1.92	1146
91	23	1173	1.92	1196
92	20	1188	1.66	1208
93	22	1350	1.60	1372
94	14	1106	1.25	1120
95	12	1233	0.96	1245
96	23	1188	1.90	1211
97	4	1079	0.37	1083
98	17	1136	1.47	1153
99	22	1274	1.70	1296
100	28	1170	2.34	1198
101	18	1173	1.51	1191
102	12	1105	1.07	1117
103	29	1158	2.44	1187
104	16	1585	1.00	1601
105	28	1784	1.55	1812
106	15	1426	1.04	1441
107	28	1482	1.85	1510
108	18	1781	1.00	1799
109	21	1619	1.28	1640
110	17	1589	1.06	1606
111	28	1369	2.00	1397
112	31	1382	2.19	1413
113	22	1289	1.68	1311
114	16	1400	1.13	1416
115	10	1175	0.84	1185
116	11	1057	1.03	1068
117	13	1020	1.26	1033
118	16	1020	1.54	1036
119	24	1200	1.96	1224
120	20	1480	1.33	1500
121	16	1487	1.06	1503
122	11	1465	0.75	1476
123	15	1305	1.14	1320
124	16	1197	1.32	1213
125	16	1067	1.48	1083
126	14	1164	1.19	1178
127	16	1087	1.45	1103
