CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	32326	10660	75.20	42986
2	34432	10945	75.88	45377
3	35201	10502	77.02	45703
4	34445	10735	76.24	45180
5	34640	10666	76.46	45306
6	34142	10717	76.11	44859
7	36184	10807	77.00	46991
8	36007	10393	77.60	46400
9	34896	10283	77.24	45179
10	36147	10509	77.48	46656
11	36088	10486	77.49	46574
12	36298	10630	77.35	46928
13	36614	10284	78.07	46898
14	37566	10509	78.14	48075
15	37491	10031	78.89	47522
16	36246	10801	77.04	47047
17	35573	10515	77.18	46088
18	36671	10407	77.89	47078
19	37549	10639	77.92	48188
20	36856	10577	77.70	47433
21	36982	10271	78.26	47253
22	36934	10199	78.36	47133
23	36011	10746	77.02	46757
24	37448	10558	78.01	48006
25	37854	10678	78.00	48532
26	36917	10496	77.86	47413
27	37085	10549	77.85	47634
28	36958	10442	77.97	47400
29	35884	10577	77.23	46461
30	36356	10439	77.69	46795
31	35481	10453	77.24	45934
32	34249	10206	77.04	44455
33	35015	10187	77.46	45202
34	35383	10931	76.40	46314
35	35389	10404	77.28	45793
36	34929	10581	76.75	45510
37	35150	10499	77.00	45649
38	34725	10298	77.13	45023
39	35041	10433	77.06	45474
40	34913	10246	77.31	45159
41	33099	10527	75.87	43626
42	32565	10087	76.35	42652
43	33067	10294	76.26	43361
44	32618	10108	76.34	42726
45	32886	10398	75.98	43284
46	32776	10077	76.48	42853
47	33392	9945	77.05	43337
48	32927	10074	76.57	43001
49	32994	10024	76.70	43018
50	34555	10276	77.08	44831
51	33749	10359	76.51	44108
52	34362	10190	77.13	44552
53	33503	10180	76.70	43683
54	33394	10018	76.92	43412
55	33297	9865	77.14	43162
56	32317	9918	76.52	42235
57	33374	10227	76.54	43601
58	33253	10275	76.39	43528
59	33287	9958	76.97	43245
60	33302	9960	76.98	43262
61	33554	10021	77.00	43575
62	33259	9806	77.23	43065
63	33646	9980	77.12	43626
64	32760	9982	76.65	42742
65	32331	9777	76.78	42108
66	31983	9711	76.71	41694
67	32553	9859	76.75	42412
68	32603	10117	76.32	42720
69	33407	10112	76.76	43519
70	33091	10005	76.78	43096
71	33488	10105	76.82	43593
72	33011	9653	77.37	42664
73	32823	9694	77.20	42517
74	32937	9987	76.73	42924
75	33467	9728	77.48	43195
76	33011	9993	76.76	43004
77	33034	9601	77.48	42635
78	32368	9904	76.57	42272
79	32410	9727	76.92	42137
80	33143	10038	76.75	43181
81	33538	9709	77.55	43247
82	33266	9647	77.52	42913
83	32471	9589	77.20	42060
84	32859	9497	77.58	42356
85	32923	9576	77.47	42499
86	32368	9615	77.10	41983
87	32007	9494	77.12	41501
88	32851	9629	77.33	42480
89	32195	9256	77.67	41451
90	32546	9620	77.19	42166
