CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3669	2084	63.78	5753
2	3717	1755	67.93	5472
3	3357	1437	70.03	4794
4	3420	1309	72.32	4729
5	3390	1322	71.94	4712
6	3089	1215	71.77	4304
7	2851	1153	71.20	4004
8	2852	1195	70.47	4047
9	2846	1189	70.53	4035
10	3082	1129	73.19	4211
11	2839	1177	70.69	4016
12	2953	1155	71.88	4108
13	2938	1152	71.83	4090
14	2968	1176	71.62	4144
15	3026	1047	74.29	4073
16	2946	1046	73.80	3992
17	2902	1191	70.90	4093
18	2872	1117	72.00	3989
19	2914	1073	73.09	3987
20	2909	1129	72.04	4038
21	2937	1196	71.06	4133
22	2823	1123	71.54	3946
23	2816	1025	73.31	3841
24	2951	1126	72.38	4077
25	2980	1194	71.39	4174
26	2861	1124	71.79	3985
27	3044	1198	71.76	4242
28	2823	1131	71.40	3954
29	2930	1156	71.71	4086
30	2969	1128	72.47	4097
31	2943	1066	73.41	4009
32	2885	1161	71.30	4046
33	3001	1215	71.18	4216
34	2957	1130	72.35	4087
35	2792	1065	72.39	3857
36	2729	1041	72.39	3770
37	2887	1072	72.92	3959
38	2940	1087	73.01	4027
39	3083	1049	74.61	4132
40	2902	1168	71.30	4070
41	2990	1092	73.25	4082
42	2814	1168	70.67	3982
43	2889	1171	71.16	4060
44	2839	1132	71.49	3971
45	2957	1149	72.02	4106
46	2736	1075	71.79	3811
47	2950	1212	70.88	4162
48	3013	1130	72.73	4143
49	2833	1127	71.54	3960
50	2924	1107	72.54	4031
51	2801	1113	71.56	3914
52	2906	1196	70.84	4102
53	2919	1105	72.54	4024
54	2864	1120	71.89	3984
55	2828	1025	73.40	3853
56	2957	1131	72.33	4088
57	2882	1117	72.07	3999
58	2793	1100	71.74	3893
59	2829	1181	70.55	4010
60	2856	1152	71.26	4008
61	2913	1101	72.57	4014
62	2686	1140	70.20	3826
63	2828	1165	70.82	3993
64	2767	1146	70.71	3913
65	2704	1085	71.36	3789
66	2825	1118	71.65	3943
67	2732	1180	69.84	3912
68	2692	1121	70.60	3813
69	2719	1054	72.06	3773
70	2752	1001	73.33	3753
71	2699	1077	71.48	3776
72	2698	1157	69.99	3855
73	2745	1036	72.60	3781
74	2658	1181	69.24	3839
75	2646	1142	69.85	3788
76	2619	1119	70.06	3738
77	2708	1148	70.23	3856
78	2627	1061	71.23	3688
79	2747	1136	70.74	3883
80	2708	1055	71.96	3763
81	2712	1078	71.56	3790
82	2717	1115	70.90	3832
83	2704	1115	70.80	3819
84	2701	1239	68.55	3940
85	2705	1119	70.74	3824
86	2586	1094	70.27	3680
87	2663	1058	71.57	3721
88	2792	1050	72.67	3842
89	2660	1149	69.83	3809
90	2645	1090	70.82	3735
91	2690	1080	71.35	3770
92	2749	1051	72.34	3800
93	2663	1137	70.08	3800
94	2673	1047	71.85	3720
95	2562	1083	70.29	3645
96	2560	1148	69.04	3708
97	2716	1133	70.56	3849
98	2645	1151	69.68	3796
99	2477	1197	67.42	3674
100	2370	1505	61.16	3875
101	2187	1442	60.26	3629
102	1989	1552	56.17	3541
103	1912	1577	54.80	3489
104	1916	1577	54.85	3493
105	1778	1570	53.11	3348
106	1808	1611	52.88	3419
107	1582	1539	50.69	3121
108	1619	1632	49.80	3251
109	1629	1572	50.89	3201
110	1647	1682	49.47	3329
111	1432	1541	48.17	2973
112	1449	1529	48.66	2978
113	1422	1397	50.44	2819
114	1310	1572	45.45	2882
115	1407	1514	48.17	2921
116	1193	1640	42.11	2833
117	1164	1569	42.59	2733
118	1124	1624	40.90	2748
119	1185	1545	43.41	2730
120	1083	1528	41.48	2611
121	1012	1536	39.72	2548
122	1036	1457	41.56	2493
123	1019	1511	40.28	2530
124	972	1538	38.73	2510
125	911	1479	38.12	2390
126	827	1473	35.96	2300
127	848	1382	38.03	2230
128	782	1396	35.90	2178
129	734	1416	34.14	2150
130	701	1387	33.57	2088
131	669	1417	32.07	2086
132	656	1335	32.95	1991
133	541	1323	29.02	1864
134	599	1335	30.97	1934
135	514	1246	29.20	1760
136	467	1180	28.35	1647
137	451	1153	28.12	1604
138	402	1109	26.60	1511
139	396	1029	27.79	1425
140	289	1003	22.37	1292
141	259	856	23.23	1115
142	213	826	20.50	1039
143	175	718	19.60	893
144	112	391	22.27	503
145	20	107	15.75	127

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2433	15836	13.32	18269
2	1922	15394	11.10	17316
3	1497	15396	8.86	16893
4	998	16305	5.77	17303
5	696	15772	4.23	16468
6	640	15765	3.90	16405
7	569	16136	3.41	16705
8	534	16281	3.18	16815
9	519	16439	3.06	16958
10	467	16292	2.79	16759
11	566	16028	3.41	16594
12	553	15950	3.35	16503
13	646	16449	3.78	17095
14	602	16148	3.59	16750
15	515	16233	3.07	16748
16	482	16289	2.87	16771
17	534	16304	3.17	16838
18	575	16225	3.42	16800
19	561	15804	3.43	16365
20	621	16115	3.71	16736
21	628	16199	3.73	16827
22	579	15870	3.52	16449
23	536	15931	3.25	16467
24	541	15927	3.29	16468
25	535	16226	3.19	16761
26	640	16002	3.85	16642
27	507	15764	3.12	16271
28	565	15962	3.42	16527
29	577	16286	3.42	16863
30	557	15513	3.47	16070
31	599	15699	3.68	16298
32	604	15938	3.65	16542
33	602	15603	3.71	16205
34	546	15591	3.38	16137
35	529	15806	3.24	16335
36	544	15732	3.34	16276
37	616	16121	3.68	16737
38	663	15761	4.04	16424
39	598	15677	3.67	16275
40	581	16021	3.50	16602
41	611	15688	3.75	16299
42	558	15361	3.51	15919
43	565	15421	3.53	15986
44	588	15409	3.68	15997
45	562	15201	3.57	15763
46	588	15714	3.61	16302
47	509	15648	3.15	16157
48	502	15310	3.17	15812
49	569	15353	3.57	15922
50	551	15598	3.41	16149
51	517	15462	3.24	15979
52	520	15541	3.24	16061
53	594	15576	3.67	16170
54	583	15497	3.63	16080
55	505	15620	3.13	16125
56	530	15333	3.34	15863
57	591	15191	3.74	15782
58	571	15719	3.51	16290
59	626	15226	3.95	15852
60	520	15321	3.28	15841
61	550	15093	3.52	15643
62	571	15666	3.52	16237
63	615	15083	3.92	15698
64	517	15201	3.29	15718
65	536	15254	3.39	15790
66	582	15395	3.64	15977
67	516	15380	3.25	15896
68	570	15175	3.62	15745
69	496	15562	3.09	16058
70	576	15067	3.68	15643
71	518	15253	3.28	15771
72	595	15094	3.79	15689
73	517	15132	3.30	15649
74	586	15516	3.64	16102
75	576	15266	3.64	15842
76	587	15167	3.73	15754
77	610	15140	3.87	15750
78	583	15448	3.64	16031
79	559	15166	3.55	15725
80	519	15058	3.33	15577
81	456	15591	2.84	16047
82	569	15068	3.64	15637
83	534	15070	3.42	15604
84	522	15176	3.33	15698
85	614	15311	3.86	15925
86	521	15422	3.27	15943
87	474	15351	3.00	15825
88	510	14887	3.31	15397
89	549	15039	3.52	15588
90	526	15117	3.36	15643
91	537	14796	3.50	15333
92	521	14658	3.43	15179
93	457	14907	2.97	15364
94	493	14971	3.19	15464
95	485	15027	3.13	15512
96	488	14917	3.17	15405
97	456	14691	3.01	15147
98	510	14664	3.36	15174
99	463	15113	2.97	15576
100	466	15020	3.01	15486
101	389	15047	2.52	15436
102	389	14656	2.59	15045
103	370	14742	2.45	15112
104	358	14757	2.37	15115
105	333	15008	2.17	15341
106	315	14511	2.12	14826
107	346	14784	2.29	15130
108	323	14675	2.15	14998
109	306	14516	2.06	14822
110	315	14473	2.13	14788
111	316	14229	2.17	14545
112	248	14384	1.69	14632
113	291	14203	2.01	14494
114	283	14516	1.91	14799
115	289	14231	1.99	14520
116	280	13884	1.98	14164
117	272	14167	1.88	14439
118	273	13971	1.92	14244
119	248	13937	1.75	14185
120	221	13652	1.59	13873
121	196	13524	1.43	13720
122	248	13207	1.84	13455
123	197	13261	1.46	13458
124	187	13264	1.39	13451
125	177	12917	1.35	13094
126	198	12807	1.52	13005
127	177	13062	1.34	13239
128	186	12845	1.43	13031
129	164	12584	1.29	12748
130	151	12293	1.21	12444
131	158	12140	1.28	12298
132	156	11942	1.29	12098
133	133	11665	1.13	11798
134	143	11591	1.22	11734
135	118	11423	1.02	11541
136	100	11039	0.90	11139
137	126	10930	1.14	11056
138	113	10636	1.05	10749
139	78	10389	0.75	10467
140	85	9756	0.86	9841
141	64	9366	0.68	9430
142	56	8104	0.69	8160
143	39	6132	0.63	6171
144	13	6211	0.21	6224
145	1	1446	0.07	1447

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7317	31689	18.76	39006
2	5761	34726	14.23	40487
3	4553	36912	10.98	41465
4	3399	38592	8.09	41991
