CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1053	260	80.20	1313
2	454	126	78.28	580
3	389	88	81.55	477
4	282	76	78.77	358
5	288	73	79.78	361
6	268	70	79.29	338
7	230	51	81.85	281
8	240	77	75.71	317
9	374	89	80.78	463
10	504	144	77.78	648
11	367	92	79.96	459
12	426	101	80.83	527
13	486	117	80.60	603
14	395	105	79.00	500
15	422	82	83.73	504
16	523	111	82.49	634
17	494	134	78.66	628
18	399	102	79.64	501
19	405	92	81.49	497
20	351	62	84.99	413
21	344	68	83.50	412
22	362	65	84.78	427
23	347	69	83.41	416
24	308	68	81.91	376
25	262	57	82.13	319
26	277	50	84.71	327
27	450	86	83.96	536
28	515	103	83.33	618
29	705	164	81.13	869
30	361	89	80.22	450
31	714	112	86.44	826
32	522	100	83.92	622
33	471	64	88.04	535
34	316	69	82.08	385
35	307	69	81.65	376
36	418	63	86.90	481
37	400	80	83.33	480
38	354	80	81.57	434
39	458	79	85.29	537
40	750	119	86.31	869
41	857	134	86.48	991
42	471	92	83.66	563
43	545	93	85.42	638
44	526	84	86.23	610
45	377	72	83.96	449
46	342	77	81.62	419
47	509	89	85.12	598
48	317	80	79.85	397
49	530	105	83.46	635
50	364	58	86.26	422
51	550	99	84.75	649
52	780	150	83.87	930
53	309	63	83.06	372
54	344	109	75.94	453
55	471	81	85.33	552
56	460	92	83.33	552
57	437	89	83.08	526
58	663	118	84.89	781
59	977	188	83.86	1165
60	608	137	81.61	745
61	479	100	82.73	579
62	248	44	84.93	292
63	338	72	82.44	410
64	256	56	82.05	312
65	256	56	82.05	312
66	222	63	77.89	285
67	333	67	83.25	400
68	374	112	76.95	486
69	382	85	81.80	467
70	544	93	85.40	637
71	424	75	84.97	499
72	377	62	85.88	439
73	511	102	83.36	613
74	483	98	83.13	581
75	444	92	82.84	536
76	307	65	82.53	372
77	572	106	84.37	678
78	391	78	83.37	469
79	291	63	82.20	354
80	271	69	79.71	340
81	223	48	82.29	271
82	347	77	81.84	424
83	309	52	85.60	361
84	374	61	85.98	435
85	382	64	85.65	446
86	521	75	87.42	596
87	657	126	83.91	783
88	501	102	83.08	603
89	743	155	82.74	898
90	387	95	80.29	482
91	326	75	81.30	401
92	281	54	83.88	335
93	216	38	85.04	254
94	236	45	83.99	281
95	278	67	80.58	345
