CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	16485	4617	78.12	21102
2	17253	4569	79.06	21822
3	18056	4641	79.55	22697
4	17582	4828	78.46	22410
5	18082	4642	79.57	22724
6	18373	4709	79.60	23082
7	17987	4552	79.80	22539
8	18102	4623	79.66	22725
9	17582	4574	79.36	22156
10	18705	4686	79.97	23391
11	18516	4598	80.11	23114
12	17347	4646	78.88	21993
13	18326	4580	80.01	22906
14	19272	4632	80.62	23904
15	18527	4464	80.58	22991
16	18138	4561	79.91	22699
17	17697	4580	79.44	22277
18	18207	4676	79.57	22883
19	18362	4564	80.09	22926
20	17367	4439	79.64	21806
21	18004	4587	79.70	22591
22	18435	4477	80.46	22912
23	18640	4458	80.70	23098
24	18109	4516	80.04	22625
25	17401	4442	79.66	21843
26	18525	4578	80.18	23103
27	17770	4200	80.88	21970
28	18429	4646	79.87	23075
29	18053	4631	79.58	22684
30	18343	4606	79.93	22949
31	18412	4590	80.05	23002
32	17302	4473	79.46	21775
33	17229	4459	79.44	21688
34	17507	4634	79.07	22141
35	17059	4304	79.85	21363
36	17163	4561	79.00	21724
37	17974	4470	80.08	22444
38	17580	4319	80.28	21899
39	16924	4589	78.67	21513
40	17977	4524	79.89	22501
41	16396	4614	78.04	21010
42	16863	4397	79.32	21260
43	17142	4570	78.95	21712
44	16675	4465	78.88	21140
45	16781	4405	79.21	21186
46	16120	4457	78.34	20577
47	16154	4349	78.79	20503
48	16381	4607	78.05	20988
49	16182	4503	78.23	20685
50	16847	4649	78.37	21496
51	16579	4422	78.94	21001
52	16821	4479	78.97	21300
53	16447	4490	78.55	20937
54	16761	4248	79.78	21009
55	16488	4499	78.56	20987
56	16143	4442	78.42	20585
57	16606	4446	78.88	21052
58	16612	4611	78.27	21223
59	16929	4177	80.21	21106
60	16787	4608	78.46	21395
61	16259	4324	78.99	20583
62	16619	4549	78.51	21168
63	16667	4464	78.87	21131
64	16226	4342	78.89	20568
65	15940	4453	78.16	20393
66	16403	4287	79.28	20690
67	16313	4319	79.07	20632
68	16608	4283	79.50	20891
69	16885	4462	79.10	21347
70	16285	4290	79.15	20575
71	16394	4216	79.54	20610
72	16448	4309	79.24	20757
73	16189	4408	78.60	20597
74	16015	4393	78.47	20408
75	16070	4412	78.46	20482
76	16406	4252	79.42	20658
77	16169	4242	79.22	20411
78	15950	4194	79.18	20144
79	16381	4197	79.60	20578
80	16223	4095	79.85	20318
81	16256	4235	79.33	20491
82	16207	4410	78.61	20617
83	16180	3959	80.34	20139
84	15918	4106	79.49	20024
85	16069	4120	79.59	20189
86	16058	4202	79.26	20260
87	15964	4050	79.76	20014
88	15965	4056	79.74	20021
89	15991	4006	79.97	19997
90	16088	4125	79.59	20213
91	16317	4113	79.87	20430
92	16582	4070	80.29	20652
93	16445	4208	79.63	20653
94	16835	4126	80.32	20961
95	16488	3936	80.73	20424
96	16270	4135	79.74	20405
97	16022	3880	80.50	19902
98	15607	4069	79.32	19676
99	15607	4132	79.07	19739
100	16346	3897	80.75	20243
101	15591	3833	80.27	19424
102	15653	3866	80.19	19519
103	15624	3996	79.63	19620
104	15565	3723	80.70	19288
105	15306	3752	80.31	19058
106	15332	3728	80.44	19060
107	15225	3744	80.26	18969
108	15185	4050	78.94	19235
109	15112	3818	79.83	18930
110	15319	3592	81.01	18911
111	15173	3764	80.12	18937
112	14903	3755	79.87	18658
113	14849	3685	80.12	18534
114	15364	3707	80.56	19071
115	15344	3656	80.76	19000
116	14827	3662	80.19	18489
117	15155	3492	81.27	18647
118	14692	3515	80.69	18207
119	14875	3588	80.57	18463
120	14940	3570	80.71	18510
121	14883	3542	80.78	18425
122	15063	3558	80.89	18621
123	14895	3584	80.61	18479
124	14304	3372	80.92	17676
125	14042	3323	80.86	17365
126	13719	3048	81.82	16767
127	13078	3109	80.79	16187
128	13317	2878	82.23	16195
129	10334	0	100.00	10334

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2982	91285	3.16	94267
2	3042	93322	3.16	96364
3	3149	93745	3.25	96894
4	3022	93239	3.14	96261
5	2984	86897	3.32	89881
6	3096	86770	3.45	89866
7	3160	89166	3.42	92326
8	3143	88016	3.45	91159
9	3139	87463	3.46	90602
10	3058	87422	3.38	90480
11	3129	86745	3.48	89874
12	2918	86424	3.27	89342
13	2986	85951	3.36	88937
14	3069	86267	3.44	89336
15	3000	83753	3.46	86753
16	3196	86956	3.55	90152
17	2860	84353	3.28	87213
18	2992	83494	3.46	86486
19	3138	84555	3.58	87693
20	2988	80729	3.57	83717
21	3116	84583	3.55	87699
22	3113	84564	3.55	87677
23	3172	86330	3.54	89502
24	3280	87562	3.61	90842
25	3055	81514	3.61	84569
26	3097	82872	3.60	85969
27	3085	82062	3.62	85147
28	3225	87281	3.56	90506
29	3195	86673	3.56	89868
30	3316	88866	3.60	92182
31	3224	87913	3.54	91137
32	3224	87897	3.54	91121
33	3197	85385	3.61	88582
34	3251	83668	3.74	86919
35	3300	81388	3.90	84688
36	3179	82859	3.69	86038
37	3270	83755	3.76	87025
38	3193	83559	3.68	86752
39	3289	83507	3.79	86796
40	3485	85155	3.93	88640
41	3206	83391	3.70	86597
42	3196	82325	3.74	85521
43	3160	82901	3.67	86061
44	3232	85069	3.66	88301
45	3247	85003	3.68	88250
46	3307	83581	3.81	86888
47	3387	81619	3.98	85006
48	3337	84153	3.81	87490
49	3200	82576	3.73	85776
50	3166	82870	3.68	86036
51	3164	83092	3.67	86256
52	3075	83585	3.55	86660
53	3154	83708	3.63	86862
54	3175	82718	3.70	85893
55	3152	82058	3.70	85210
56	3061	82067	3.60	85128
57	3117	83014	3.62	86131
58	3171	83673	3.65	86844
59	3162	85073	3.58	88235
60	3062	82671	3.57	85733
61	3183	82508	3.71	85691
62	3196	83696	3.68	86892
63	3196	85622	3.60	88818
64	3050	83729	3.51	86779
65	3063	82830	3.57	85893
66	3131	81327	3.71	84458
67	3217	81514	3.80	84731
68	3341	81054	3.96	84395
69	3107	82273	3.64	85380
70	3157	82195	3.70	85352
71	3066	82206	3.60	85272
72	3121	82179	3.66	85300
73	3080	81856	3.63	84936
74	3129	80606	3.74	83735
75	3052	80549	3.65	83601
76	3042	78937	3.71	81979
77	2983	82841	3.48	85824
78	3202	81029	3.80	84231
79	2932	82309	3.44	85241
80	2964	82606	3.46	85570
81	3042	81496	3.60	84538
82	2884	80768	3.45	83652
83	2966	81758	3.50	84724
84	3035	79850	3.66	82885
85	2989	79984	3.60	82973
86	3198	80449	3.82	83647
87	3160	80483	3.78	83643
88	3042	80512	3.64	83554
89	3159	79735	3.81	82894
90	3110	78161	3.83	81271
91	3096	77126	3.86	80222
92	3040	77918	3.76	80958
93	2909	78741	3.56	81650
94	2952	77822	3.65	80774
95	3122	77690	3.86	80812
96	2970	77348	3.70	80318
97	3232	76799	4.04	80031
98	2937	76012	3.72	78949
99	3129	75699	3.97	78828
100	3139	76768	3.93	79907
101	2947	76537	3.71	79484
102	2958	75249	3.78	78207
103	2927	75017	3.76	77944
104	2961	75571	3.77	78532
105	3071	74484	3.96	77555
106	3118	73913	4.05	77031
107	3276	74913	4.19	78189
108	3286	76278	4.13	79564
109	3202	74386	4.13	77588
110	3164	73935	4.10	77099
111	3030	75518	3.86	78548
112	3186	75015	4.07	78201
113	3084	73312	4.04	76396
114	3222	72897	4.23	76119
115	3213	73375	4.20	76588
116	3136	73269	4.10	76405
117	3044	72105	4.05	75149
118	3062	72405	4.06	75467
119	3311	71584	4.42	74895
120	3138	70291	4.27	73429
121	3068	70116	4.19	73184
122	3042	68715	4.24	71757
123	2978	67226	4.24	70204
124	2861	66948	4.10	69809
125	2696	66053	3.92	68749
126	2754	62538	4.22	65292
127	2804	59392	4.51	62196
128	2560	53460	4.57	56020
129	1882	0	100.00	1882

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	10670	276476	3.72	287146
2	11370	268864	4.06	280234
3	11496	271492	4.06	282988
4	10896	273681	3.83	284577
5	11060	267746	3.97	278806
6	11626	263066	4.23	274692
7	12156	261253	4.45	273409
8	12411	261915	4.52	274326
9	12150	265605	4.37	277755
10	12287	259866	4.51	272153
11	12508	259641	4.60	272149
12	12269	258524	4.53	270793
13	12435	259568	4.57	272003
14	12746	258327	4.70	271073
15	11964	252685	4.52	264649
16	12256	260052	4.50	272308
17	11680	259809	4.30	271489
18	11356	255524	4.26	266880
19	11466	251103	4.37	262569
20	11400	245832	4.43	257232
21	12026	255339	4.50	267365
22	11531	253007	4.36	264538
23	11743	254434	4.41	266177
24	11452	252856	4.33	264308
25	11472	247879	4.42	259351
26	12219	259375	4.50	271594
27	11683	247070	4.52	258753
28	12175	254185	4.57	266360
29	11979	253815	4.51	265794
30	11812	254542	4.43	266354
31	11935	256944	4.44	268879
32	12672	258937	4.67	271609
33	12022	257939	4.45	269961
34	12428	256024	4.63	268452
35	11927	247479	4.60	259406
36	12112	257163	4.50	269275
37	11809	255093	4.42	266902
38	12262	256510	4.56	268772
39	11884	253898	4.47	265782
40	12288	263495	4.46	275783
41	12332	266452	4.42	278784
42	11909	260410	4.37	272319
43	12004	257307	4.46	269311
44	12469	259285	4.59	271754
45	12449	261997	4.54	274446
46	12237	259300	4.51	271537
47	13084	251642	4.94	264726
48	12349	260634	4.52	272983
49	12652	260741	4.63	273393
50	12304	258672	4.54	270976
51	12166	258169	4.50	270335
52	12119	258381	4.48	270500
53	12170	258551	4.50	270721
54	12028	259785	4.43	271813
55	11858	258804	4.38	270662
56	12002	255715	4.48	267717
57	11764	258216	4.36	269980
58	12083	257172	4.49	269255
59	12288	257486	4.55	269774
60	12259	256784	4.56	269043
61	12026	254364	4.51	266390
62	11926	252853	4.50	264779
63	11911	255287	4.46	267198
64	11783	258013	4.37	269796
65	12004	257371	4.46	269375
66	11779	253107	4.45	264886
67	11976	254917	4.49	266893
68	11864	252324	4.49	264188
69	12306	253245	4.63	265551
70	11774	254140	4.43	265914
71	11862	255683	4.43	267545
72	12254	256897	4.55	269151
73	12106	256207	4.51	268313
74	12471	257021	4.63	269492
75	12193	256297	4.54	268490
76	11729	249815	4.48	261544
77	12274	257236	4.55	269510
78	12554	255763	4.68	268317
79	11979	254366	4.50	266345
80	11973	255142	4.48	267115
81	11813	256942	4.40	268755
82	11537	254972	4.33	266509
83	11704	251509	4.45	263213
84	11715	251405	4.45	263120
85	11651	249765	4.46	261416
86	11937	250239	4.55	262176
87	12049	248655	4.62	260704
88	11878	249966	4.54	261844
89	12079	249626	4.62	261705
90	12314	248389	4.72	260703
91	11801	247247	4.56	259048
92	11963	247004	4.62	258967
93	11978	246439	4.64	258417
94	11706	248282	4.50	259988
95	11796	247580	4.55	259376
96	11781	244241	4.60	256022
97	12080	244443	4.71	256523
98	11623	242063	4.58	253686
99	11647	241535	4.60	253182
100	11731	240878	4.64	252609
101	11957	241203	4.72	253160
102	11719	241099	4.64	252818
103	11383	240745	4.51	252128
104	11823	239522	4.70	251345
105	12042	240019	4.78	252061
106	12039	239363	4.79	251402
107	12230	238052	4.89	250282
108	12419	236710	4.98	249129
109	12154	234543	4.93	246697
110	11799	233034	4.82	244833
111	11718	233952	4.77	245670
112	11704	232366	4.80	244070
113	11797	231152	4.86	242949
114	11715	229147	4.86	240862
115	12025	228197	5.01	240222
116	11917	226750	4.99	238667
117	11865	228301	4.94	240166
118	12034	227145	5.03	239179
119	12184	225243	5.13	237427
120	11472	224143	4.87	235615
121	11472	220482	4.95	231954
122	11418	218248	4.97	229666
123	11336	216870	4.97	228206
124	10947	210867	4.94	221814
125	11065	207450	5.06	218515
126	10501	200035	4.99	210536
127	9514	188068	4.82	197582
128	8997	164824	5.18	173821
129	5891	0	100.00	5891

