CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9062	3338	73.08	12400
2	9335	3363	73.52	12698
3	9905	3412	74.38	13317
4	10076	3487	74.29	13563
5	9776	3347	74.50	13123
6	9631	3311	74.42	12942
7	10384	3520	74.68	13904
8	10665	3458	75.52	14123
9	9893	3500	73.87	13393
10	10441	3403	75.42	13844
11	10505	3435	75.36	13940
12	10112	3491	74.34	13603
13	10332	3436	75.04	13768
14	10982	3519	75.73	14501
15	10736	3406	75.92	14142
16	10251	3442	74.86	13693
17	10122	3410	74.80	13532
18	10387	3353	75.60	13740
19	10875	3468	75.82	14343
20	10679	3443	75.62	14122
21	10449	3472	75.06	13921
22	10380	3373	75.47	13753
23	10780	3515	75.41	14295
24	11301	3406	76.84	14707
25	11242	3430	76.62	14672
26	11013	3447	76.16	14460
27	10136	3399	74.89	13535
28	10380	3369	75.50	13749
29	10397	3203	76.45	13600
30	10480	3302	76.04	13782
31	10617	3426	75.60	14043
32	9792	3156	75.63	12948
33	10270	3379	75.24	13649
34	10219	3143	76.48	13362
35	10397	3268	76.08	13665
36	10590	3387	75.77	13977
37	10344	3290	75.87	13634
38	10389	3232	76.27	13621
39	10254	3281	75.76	13535
40	10263	3230	76.06	13493
41	10112	3235	75.76	13347
42	9387	3054	75.45	12441
43	9672	3185	75.23	12857
44	9693	3219	75.07	12912
45	9509	3290	74.29	12799
46	9225	3156	74.51	12381
47	9342	3058	75.34	12400
48	9392	3217	74.49	12609
49	9299	3192	74.45	12491
50	9711	3136	75.59	12847
51	9555	3214	74.83	12769
52	9486	3195	74.80	12681
53	9542	3187	74.96	12729
54	9808	3115	75.90	12923
55	9743	3088	75.93	12831
56	9779	3135	75.72	12914
57	9894	3094	76.18	12988
58	9662	3063	75.93	12725
59	9568	3047	75.85	12615
60	9446	3104	75.27	12550
61	9603	3132	75.41	12735
62	9733	3038	76.21	12771
63	9511	3235	74.62	12746
64	9081	3002	75.16	12083
65	9278	3011	75.50	12289
66	9271	3042	75.29	12313
67	9539	3006	76.04	12545
68	9651	2939	76.66	12590
69	9523	2928	76.48	12451
70	9408	3128	75.05	12536
71	9492	3023	75.84	12515
72	10114	3087	76.62	13201
73	9160	2904	75.93	12064
74	9273	3054	75.23	12327
75	9193	3041	75.14	12234
76	9428	3010	75.80	12438
77	8890	3015	74.67	11905
