CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	14128	3729	79.12	17857
2	14436	3665	79.75	18101
3	14849	3705	80.03	18554
4	15071	3873	79.56	18944
5	14786	3764	79.71	18550
6	15463	3823	80.18	19286
7	15555	3736	80.63	19291
8	15892	3832	80.57	19724
9	15753	3768	80.70	19521
10	15852	3670	81.20	19522
11	16109	3676	81.42	19785
12	15170	3772	80.09	18942
13	15034	3775	79.93	18809
14	15637	3677	80.96	19314
15	15699	3721	80.84	19420
16	15255	3698	80.49	18953
17	15189	3721	80.32	18910
18	15496	3653	80.92	19149
19	15635	3684	80.93	19319
20	16114	3839	80.76	19953
21	15843	3741	80.90	19584
22	15730	3677	81.05	19407
23	15657	3739	80.72	19396
24	15603	3790	80.46	19393
25	15542	3605	81.17	19147
26	15232	3666	80.60	18898
27	14928	3824	79.61	18752
28	14768	3590	80.44	18358
29	14174	3609	79.71	17783
30	14366	3647	79.75	18013
31	14453	3677	79.72	18130
32	14088	3656	79.40	17744
33	14267	3567	80.00	17834
34	14744	3646	80.17	18390
35	14596	3477	80.76	18073
36	14735	3670	80.06	18405
37	15144	3577	80.89	18721
38	14615	3672	79.92	18287
39	14966	3674	80.29	18640
40	14434	3539	80.31	17973
41	14104	3553	79.88	17657
42	14087	3492	80.14	17579
43	13944	3579	79.58	17523
44	13795	3622	79.20	17417
45	13665	3467	79.76	17132
46	13556	3537	79.31	17093
47	13718	3576	79.32	17294
48	13746	3516	79.63	17262
49	14008	3576	79.66	17584
50	13924	3464	80.08	17388
51	14188	3489	80.26	17677
52	13725	3572	79.35	17297
53	14070	3587	79.69	17657
54	14186	3676	79.42	17862
55	13882	3447	80.11	17329
56	13889	3358	80.53	17247
57	13947	3640	79.30	17587
58	14236	3404	80.70	17640
59	13940	3511	79.88	17451
60	14204	3527	80.11	17731
61	13737	3339	80.45	17076
62	13777	3600	79.28	17377
63	13705	3506	79.63	17211
64	13407	3317	80.17	16724
65	13443	3474	79.46	16917
