CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	13858	8166	62.92	22024
2	14610	5746	71.77	20356
3	14110	4723	74.92	18833
4	14667	4231	77.61	18898
5	14650	3789	79.45	18439
6	13723	3857	78.06	17580
7	12960	3528	78.60	16488
8	13352	3505	79.21	16857
9	13457	3572	79.02	17029
10	13735	3475	79.81	17210
11	13759	3415	80.12	17174
12	13516	3503	79.42	17019
13	13852	3437	80.12	17289
14	13508	3403	79.88	16911
15	13682	3438	79.92	17120
16	13896	3369	80.49	17265
17	13288	3567	78.84	16855
18	13324	3277	80.26	16601
19	13429	3458	79.52	16887
20	13402	3319	80.15	16721
21	13465	3473	79.50	16938
22	13648	3457	79.79	17105
23	13418	3508	79.27	16926
24	13674	3380	80.18	17054
25	13195	3464	79.21	16659
26	13567	3582	79.11	17149
27	13254	3344	79.85	16598
28	13276	3312	80.03	16588
29	13291	3404	79.61	16695
30	13514	3293	80.41	16807
31	13205	3373	79.65	16578
32	13332	3352	79.91	16684
33	13196	3353	79.74	16549
34	13298	3440	79.45	16738
35	13124	3367	79.58	16491
36	13060	3469	79.01	16529
37	13036	3283	79.88	16319
38	13265	3309	80.03	16574
39	13091	3453	79.13	16544
40	13245	3384	79.65	16629
41	12750	3214	79.87	15964
42	13255	3407	79.55	16662
43	13431	3278	80.38	16709
44	12904	3262	79.82	16166
45	12883	3320	79.51	16203
46	13131	3225	80.28	16356
47	13099	3395	79.42	16494
48	13214	3340	79.82	16554
49	13191	3324	79.87	16515
50	13291	3330	79.97	16621
51	12419	3345	78.78	15764
52	12582	3550	77.99	16132
53	12519	3281	79.23	15800
54	12489	3285	79.17	15774
55	13045	3357	79.53	16402
56	12681	3347	79.12	16028
57	13152	3260	80.14	16412
58	12381	3359	78.66	15740
59	12539	3483	78.26	16022
60	12519	3254	79.37	15773
61	12312	3122	79.77	15434
62	12386	3293	79.00	15679
63	12229	3515	77.67	15744
64	12635	3382	78.88	16017
65	12551	3256	79.40	15807
66	12481	3411	78.54	15892
67	12147	3191	79.20	15338
68	12518	3278	79.25	15796
69	12582	3134	80.06	15716
70	12192	3270	78.85	15462
71	12212	3234	79.06	15446
72	12256	3430	78.13	15686
73	12013	3206	78.93	15219
74	12006	3346	78.20	15352
75	12265	3244	79.08	15509
76	11709	3290	78.07	14999
77	11993	3170	79.09	15163
78	12270	3272	78.95	15542
79	12396	3311	78.92	15707
80	12084	3268	78.71	15352
81	12470	3256	79.30	15726
82	11775	3355	77.83	15130
83	11858	3238	78.55	15096
84	11816	3255	78.40	15071
85	12133	3366	78.28	15499
86	12593	3197	79.75	15790
87	12585	3248	79.49	15833
88	12001	3311	78.38	15312
89	12798	3228	79.86	16026
90	12150	3285	78.72	15435
91	12026	3463	77.64	15489
92	12002	3281	78.53	15283
93	12023	3241	78.77	15264
94	12300	3131	79.71	15431
95	12148	3277	78.76	15425
96	12267	3474	77.93	15741
97	12214	3033	80.11	15247
98	12173	3124	79.58	15297
99	12299	3340	78.64	15639
100	12068	3407	77.98	15475
101	12186	3207	79.17	15393
102	12094	3087	79.67	15181
103	11768	3278	78.21	15046
104	12181	3106	79.68	15287
105	12257	3257	79.01	15514
106	11778	3236	78.45	15014
107	11966	3037	79.76	15003
108	11690	3206	78.48	14896
109	11721	3040	79.41	14761
110	11649	3178	78.57	14827
111	11568	3181	78.43	14749
112	11719	3169	78.71	14888
113	11532	3015	79.27	14547
114	11479	3003	79.26	14482
115	11613	3057	79.16	14670
116	11479	3065	78.93	14544
117	11679	3116	78.94	14795
118	11522	3053	79.05	14575
119	11098	2963	78.93	14061
120	11805	3006	79.70	14811
121	11495	3092	78.80	14587
122	11819	3216	78.61	15035
123	11190	2950	79.14	14140
124	11218	2793	80.07	14011
