CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	73	86	45.91	159
2	89	51	63.57	140
3	92	35	72.44	127
4	87	30	74.36	117
5	99	23	81.15	122
6	96	21	82.05	117
7	96	23	80.67	119
8	93	10	90.29	103
9	89	22	80.18	111
10	114	18	86.36	132
11	121	18	87.05	139
12	103	16	86.55	119
13	106	12	89.83	118
14	107	20	84.25	127
15	107	20	84.25	127
16	110	13	89.43	123
17	127	22	85.23	149
18	93	13	87.74	106
19	107	21	83.59	128
20	119	10	92.25	129
21	109	29	78.99	138
22	109	16	87.20	125
23	110	29	79.14	139
24	108	29	78.83	137
25	114	26	81.43	140
26	102	33	75.56	135
27	112	30	78.87	142
28	132	15	89.80	147
29	118	22	84.29	140
30	118	21	84.89	139
31	96	14	87.27	110
32	97	18	84.35	115
33	95	20	82.61	115
34	106	14	88.33	120
35	109	16	87.20	125
36	85	28	75.22	113
37	127	23	84.67	150
38	118	17	87.41	135
39	131	19	87.33	150
40	108	27	80.00	135
41	123	11	91.79	134
42	123	25	83.11	148
43	122	29	80.79	151
44	126	30	80.77	156
45	111	23	82.84	134
46	121	17	87.68	138
47	110	17	86.61	127
48	97	14	87.39	111
49	98	20	83.05	118
50	93	20	82.30	113
51	105	19	84.68	124
52	127	17	88.19	144
53	100	20	83.33	120
54	122	18	87.14	140
55	116	18	86.57	134
56	133	29	82.10	162
57	120	30	80.00	150
58	119	17	87.50	136
59	107	22	82.95	129
60	102	18	85.00	120
61	89	18	83.18	107
62	100	17	85.47	117
63	103	11	90.35	114
64	85	20	80.95	105
65	80	18	81.63	98
66	88	19	82.24	107
67	82	15	84.54	97
68	99	21	82.50	120
69	67	22	75.28	89
70	85	20	80.95	105
71	100	16	86.21	116
72	106	19	84.80	125
73	111	20	84.73	131
74	90	23	79.65	113
75	113	12	90.40	125
76	86	16	84.31	102
77	99	21	82.50	120
78	85	20	80.95	105
79	109	21	83.85	130
80	91	22	80.53	113
81	74	26	74.00	100
82	88	18	83.02	106
83	80	17	82.47	97
84	93	19	83.04	112
85	111	18	86.05	129
86	90	11	89.11	101
87	99	16	86.09	115
88	77	18	81.05	95
89	60	17	77.92	77
90	88	19	82.24	107
91	93	18	83.78	111
92	91	19	82.73	110
93	98	21	82.35	119
94	104	25	80.62	129
95	95	19	83.33	114
96	84	16	84.00	100
97	100	21	82.64	121
98	129	16	88.97	145
99	118	21	84.89	139
100	138	25	84.66	163
101	129	20	86.58	149
102	139	21	86.88	160
103	100	14	87.72	114
104	97	24	80.17	121
105	89	21	80.91	110
106	100	21	82.64	121
107	104	23	81.89	127
108	80	21	79.21	101
109	96	15	86.49	111
110	76	17	81.72	93
111	99	20	83.19	119
112	120	19	86.33	139
113	121	32	79.08	153
114	117	25	82.39	142
115	108	19	85.04	127
116	100	19	84.03	119
117	103	20	83.74	123
118	90	19	82.57	109
119	77	29	72.64	106
120	85	25	77.27	110
121	82	18	82.00	100
122	67	16	80.72	83
123	98	25	79.67	123
124	70	24	74.47	94
125	72	16	81.82	88
126	84	16	84.00	100
127	86	15	85.15	101
128	85	25	77.27	110
129	100	14	87.72	114
130	82	23	78.10	105
131	84	23	78.50	107
132	107	20	84.25	127
133	91	19	82.73	110
134	100	21	82.64	121
135	97	25	79.51	122
136	98	25	79.67	123
137	104	20	83.87	124
138	101	19	84.17	120
139	91	13	87.50	104
140	86	26	76.79	112
141	97	16	85.84	113
142	86	19	81.90	105
143	105	16	86.78	121
144	99	29	77.34	128
