CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4222	2178	65.97	6400
2	4536	1893	70.56	6429
3	3964	1704	69.94	5668
4	3970	1478	72.87	5448
5	3840	1345	74.06	5185
6	3703	1367	73.04	5070
7	3441	1234	73.60	4675
8	3381	1275	72.62	4656
9	3418	1274	72.85	4692
10	3461	1215	74.02	4676
11	3326	1275	72.29	4601
12	3280	1177	73.59	4457
13	3310	1241	72.73	4551
14	3419	1170	74.50	4589
15	3498	1182	74.74	4680
16	3368	1084	75.65	4452
17	3233	1218	72.64	4451
18	3335	1069	75.73	4404
19	3480	1107	75.87	4587
20	3236	1215	72.70	4451
21	3335	1154	74.29	4489
22	3150	1104	74.05	4254
23	3243	1183	73.27	4426
24	3491	1159	75.08	4650
25	3314	1176	73.81	4490
26	3424	1154	74.79	4578
27	3361	1216	73.43	4577
28	3318	1207	73.33	4525
29	3322	1236	72.88	4558
30	3418	1103	75.60	4521
31	3400	1209	73.77	4609
32	3342	1153	74.35	4495
33	3583	1115	76.27	4698
34	3490	1145	75.30	4635
35	3271	1135	74.24	4406
36	3213	1157	73.52	4370
37	3415	1156	74.71	4571
38	3490	1162	75.02	4652
39	3497	1274	73.30	4771
40	3496	1204	74.38	4700
41	3579	1184	75.14	4763
42	3658	1223	74.94	4881
43	3404	1137	74.96	4541
44	3432	1134	75.16	4566
45	3259	1114	74.53	4373
46	3450	1190	74.35	4640
47	3297	1221	72.97	4518
48	3463	1247	73.52	4710
49	3314	1137	74.46	4451
50	3274	1263	72.16	4537
51	3624	1215	74.89	4839
52	3280	1086	75.13	4366
53	3483	1186	74.60	4669
54	3410	1178	74.32	4588
55	3446	1160	74.82	4606
56	3237	1129	74.14	4366
57	3187	1186	72.88	4373
58	3175	1195	72.65	4370
59	3361	1236	73.11	4597
60	3267	1127	74.35	4394
61	3127	1182	72.57	4309
62	3288	1163	73.87	4451
63	3160	1135	73.57	4295
64	3212	1230	72.31	4442
65	3261	1143	74.05	4404
66	3154	1174	72.87	4328
67	3127	1163	72.89	4290
68	3019	1160	72.24	4179
69	3180	1086	74.54	4266
70	3147	1133	73.53	4280
71	3279	1122	74.51	4401
72	3066	1138	72.93	4204
73	3216	1111	74.32	4327
74	3137	1116	73.76	4253
75	3190	1127	73.89	4317
76	3177	1195	72.67	4372
77	3270	1127	74.37	4397
78	3159	1144	73.41	4303
79	3303	1218	73.06	4521
80	3128	1081	74.32	4209
81	3068	1205	71.80	4273
82	3133	1143	73.27	4276
83	3186	1192	72.77	4378
84	3264	1119	74.47	4383
85	3057	1186	72.05	4243
86	3260	1130	74.26	4390
87	3264	1150	73.95	4414
88	3111	1205	72.08	4316
89	3175	1146	73.48	4321
90	3191	1113	74.14	4304
91	3138	1065	74.66	4203
92	3185	1289	71.19	4474
93	3108	1176	72.55	4284
94	3266	1125	74.38	4391
95	3332	1089	75.37	4421
96	3073	1195	72.00	4268
97	3128	1129	73.48	4257
98	3078	1161	72.61	4239
99	3086	1073	74.20	4159
100	3308	1104	74.98	4412
101	3039	1105	73.33	4144
102	3193	1120	74.03	4313
103	3106	1109	73.69	4215
104	3298	1173	73.76	4471
105	3166	1117	73.92	4283
106	3079	1134	73.08	4213
107	2950	1086	73.09	4036
108	3147	1158	73.10	4305
109	2991	1072	73.62	4063
110	3052	1199	71.79	4251
111	2768	1143	70.77	3911
112	2980	1169	71.82	4149
113	2758	1214	69.44	3972
114	2872	1163	71.18	4035
115	2837	1257	69.30	4094
116	2783	1170	70.40	3953
117	2641	1156	69.55	3797
118	2773	1149	70.70	3922
119	2699	1231	68.68	3930
120	2597	1160	69.12	3757
121	2760	1125	71.04	3885
122	2627	1202	68.61	3829
123	2674	1286	67.53	3960
124	2604	1092	70.45	3696
125	2532	1196	67.92	3728
126	2510	1015	71.21	3525
127	2559	1066	70.59	3625
128	2646	1109	70.47	3755
129	2598	1051	71.20	3649
130	2262	1140	66.49	3402
131	2490	1116	69.05	3606
132	2412	1113	68.43	3525
133	2314	1075	68.28	3389
134	2239	1164	65.79	3403
135	2238	1220	64.72	3458
136	2147	1147	65.18	3294
137	2084	1056	66.37	3140
138	2135	1144	65.11	3279
139	2016	1114	64.41	3130
140	2028	1085	65.15	3113
141	1951	1167	62.57	3118
142	1865	956	66.11	2821
143	1793	952	65.32	2745
144	1595	788	66.93	2383
145	1228	447	73.31	1675

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	3097	17341	15.15	20438
2	2346	17355	11.91	19701
3	1752	17700	9.01	19452
4	1280	18574	6.45	19854
5	925	18445	4.78	19370
6	658	18233	3.48	18891
7	491	18524	2.58	19015
8	411	19087	2.11	19498
9	398	19153	2.04	19551
10	369	18657	1.94	19026
11	360	19182	1.84	19542
12	358	18940	1.86	19298
13	403	19330	2.04	19733
14	337	19048	1.74	19385
15	374	18706	1.96	19080
16	368	18433	1.96	18801
17	418	18835	2.17	19253
18	398	18427	2.11	18825
19	374	18567	1.97	18941
20	397	18304	2.12	18701
21	413	18547	2.18	18960
22	420	18579	2.21	18999
23	386	18667	2.03	19053
24	390	18186	2.10	18576
25	382	18124	2.06	18506
26	362	18414	1.93	18776
27	385	18286	2.06	18671
28	353	17838	1.94	18191
29	401	18697	2.10	19098
30	450	18535	2.37	18985
31	404	18099	2.18	18503
32	395	18163	2.13	18558
33	335	18400	1.79	18735
34	426	18187	2.29	18613
35	363	18218	1.95	18581
36	378	18180	2.04	18558
37	379	18203	2.04	18582
38	344	18173	1.86	18517
39	384	18163	2.07	18547
40	442	18192	2.37	18634
41	415	18505	2.19	18920
42	410	18456	2.17	18866
43	375	17929	2.05	18304
44	422	18001	2.29	18423
45	339	17938	1.85	18277
46	363	17832	2.00	18195
47	359	18216	1.93	18575
48	351	17941	1.92	18292
49	341	18161	1.84	18502
50	356	17941	1.95	18297
51	328	18026	1.79	18354
52	404	18324	2.16	18728
53	368	17839	2.02	18207
54	346	17686	1.92	18032
55	420	18403	2.23	18823
56	408	18083	2.21	18491
57	389	18096	2.10	18485
58	344	17817	1.89	18161
59	331	18048	1.80	18379
60	327	17642	1.82	17969
61	412	17410	2.31	17822
62	393	17880	2.15	18273
63	406	17719	2.24	18125
64	312	17885	1.71	18197
65	364	17629	2.02	17993
66	371	17675	2.06	18046
67	397	17574	2.21	17971
68	325	17834	1.79	18159
69	324	17789	1.79	18113
70	373	18021	2.03	18394
71	378	17970	2.06	18348
72	373	17663	2.07	18036
73	327	17785	1.81	18112
74	379	17261	2.15	17640
75	357	17968	1.95	18325
76	357	17864	1.96	18221
77	368	17871	2.02	18239
78	355	17505	1.99	17860
79	283	17552	1.59	17835
80	355	17819	1.95	18174
81	372	17653	2.06	18025
82	381	17639	2.11	18020
83	340	17515	1.90	17855
84	351	18161	1.90	18512
85	344	17873	1.89	18217
86	328	17723	1.82	18051
87	418	17250	2.37	17668
88	406	17574	2.26	17980
89	367	17869	2.01	18236
90	347	17528	1.94	17875
91	359	17420	2.02	17779
92	313	17045	1.80	17358
93	353	17605	1.97	17958
94	369	17584	2.06	17953
95	394	17496	2.20	17890
96	335	17567	1.87	17902
97	353	17274	2.00	17627
98	363	17489	2.03	17852
99	398	17596	2.21	17994
100	369	17487	2.07	17856
101	323	17691	1.79	18014
102	372	17129	2.13	17501
103	361	17320	2.04	17681
104	371	17189	2.11	17560
105	382	17133	2.18	17515
106	355	16959	2.05	17314
107	334	17465	1.88	17799
108	326	17044	1.88	17370
109	356	17237	2.02	17593
110	384	17485	2.15	17869
111	397	16882	2.30	17279
112	362	16773	2.11	17135
113	402	16960	2.32	17362
114	335	16668	1.97	17003
115	365	16722	2.14	17087
116	325	16493	1.93	16818
117	337	16508	2.00	16845
118	384	16498	2.27	16882
119	354	16293	2.13	16647
120	389	16298	2.33	16687
121	343	15905	2.11	16248
122	399	16238	2.40	16637
123	337	16399	2.01	16736
124	369	15443	2.33	15812
125	404	15863	2.48	16267
126	434	15307	2.76	15741
127	386	15671	2.40	16057
128	419	15656	2.61	16075
129	420	15425	2.65	15845
130	435	14880	2.84	15315
131	397	15319	2.53	15716
132	365	15187	2.35	15552
133	397	15141	2.56	15538
134	377	14933	2.46	15310
135	422	14967	2.74	15389
136	362	14251	2.48	14613
137	337	13764	2.39	14101
138	379	14295	2.58	14674
139	419	14103	2.89	14522
140	374	13734	2.65	14108
141	313	13211	2.31	13524
142	331	12606	2.56	12937
143	247	10568	2.28	10815
144	216	10814	1.96	11030
145	129	7394	1.71	7523

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9669	36563	20.91	46232
2	8065	40077	16.75	48142
3	6204	43947	12.37	50151
4	4569	46771	8.90	51340
5	3373	48615	6.49	51988
6	2461	49981	4.69	52442
7	1854	51010	3.51	52864
8	1553	51769	2.91	53322
9	1398	50841	2.68	52239
10	1302	50390	2.52	51692
11	1204	50746	2.32	51950
12	1281	51115	2.44	52396
13	1283	50220	2.49	51503
14	1236	50728	2.38	51964
