CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	152	105	59.14	257
2	216	86	71.52	302
3	185	80	69.81	265
4	164	58	73.87	222
5	183	54	77.22	237
6	161	68	70.31	229
7	197	50	79.76	247
8	175	57	75.43	232
9	199	50	79.92	249
10	220	42	83.97	262
11	199	58	77.43	257
12	180	55	76.60	235
13	194	43	81.86	237
14	207	39	84.15	246
15	241	60	80.07	301
16	188	47	80.00	235
17	226	45	83.39	271
18	171	53	76.34	224
19	154	60	71.96	214
20	195	45	81.25	240
21	192	62	75.59	254
22	208	54	79.39	262
23	176	57	75.54	233
24	188	40	82.46	228
25	209	62	77.12	271
26	191	57	77.02	248
27	213	50	80.99	263
28	187	56	76.95	243
29	191	49	79.58	240
30	177	54	76.62	231
31	170	47	78.34	217
32	175	38	82.16	213
33	187	47	79.91	234
34	174	50	77.68	224
35	200	52	79.37	252
36	155	36	81.15	191
37	186	42	81.58	228
38	198	49	80.16	247
39	193	50	79.42	243
40	228	36	86.36	264
41	218	37	85.49	255
42	212	50	80.92	262
43	226	53	81.00	279
44	175	56	75.76	231
45	175	59	74.79	234
46	185	47	79.74	232
47	222	48	82.22	270
48	189	35	84.38	224
49	162	46	77.88	208
50	184	57	76.35	241
51	221	52	80.95	273
52	222	47	82.53	269
53	196	44	81.67	240
54	206	40	83.74	246
55	227	53	81.07	280
56	226	48	82.48	274
57	181	57	76.05	238
58	191	43	81.62	234
59	182	54	77.12	236
60	177	49	78.32	226
61	193	44	81.43	237
62	163	55	74.77	218
63	178	46	79.46	224
64	161	45	78.16	206
65	142	57	71.36	199
66	153	40	79.27	193
67	160	53	75.12	213
68	151	41	78.65	192
69	145	41	77.96	186
70	172	42	80.37	214
71	166	62	72.81	228
72	174	52	76.99	226
73	171	43	79.91	214
74	162	33	83.08	195
75	163	46	77.99	209
76	155	49	75.98	204
77	157	40	79.70	197
78	169	47	78.24	216
79	184	32	85.19	216
80	156	62	71.56	218
81	154	33	82.35	187
82	161	47	77.40	208
83	196	62	75.97	258
84	182	50	78.45	232
85	166	57	74.44	223
86	161	54	74.88	215
87	157	51	75.48	208
88	145	51	73.98	196
89	163	47	77.62	210
90	169	44	79.34	213
91	190	50	79.17	240
92	181	44	80.44	225
93	189	59	76.21	248
94	168	33	83.58	201
95	174	47	78.73	221
96	145	35	80.56	180
97	184	39	82.51	223
98	190	37	83.70	227
99	209	52	80.08	261
100	207	54	79.31	261
101	240	52	82.19	292
102	242	39	86.12	281
103	191	39	83.04	230
104	195	42	82.28	237
105	204	41	83.27	245
106	182	37	83.11	219
107	172	52	76.79	224
108	166	49	77.21	215
109	184	56	76.67	240
110	187	56	76.95	243
111	176	54	76.52	230
112	212	57	78.81	269
113	195	44	81.59	239
114	225	48	82.42	273
115	182	45	80.18	227
116	193	35	84.65	228
117	179	42	81.00	221
118	139	53	72.40	192
119	173	39	81.60	212
120	155	43	78.28	198
121	173	38	81.99	211
122	128	36	78.05	164
123	161	38	80.90	199
124	159	53	75.00	212
125	180	47	79.30	227
126	138	45	75.41	183
127	142	47	75.13	189
128	153	58	72.51	211
129	159	56	73.95	215
130	167	60	73.57	227
131	161	64	71.56	225
132	180	42	81.08	222
133	148	43	77.49	191
134	156	57	73.24	213
135	155	42	78.68	197
136	180	51	77.92	231
137	172	49	77.83	221
138	168	55	75.34	223
139	152	69	68.78	221
140	180	55	76.60	235
141	169	52	76.47	221
142	175	55	76.09	230
143	199	54	78.66	253
144	162	64	71.68	226
145	155	55	73.81	210

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	120	938	11.34	1058
2	93	908	9.29	1001
3	71	944	7.00	1015
4	46	993	4.43	1039
5	29	1020	2.76	1049
6	28	979	2.78	1007
7	29	942	2.99	971
8	14	914	1.51	928
9	12	929	1.28	941
10	6	924	0.65	930
11	21	965	2.13	986
12	11	961	1.13	972
13	14	1009	1.37	1023
14	9	980	0.91	989
15	10	909	1.09	919
16	10	989	1.00	999
17	5	1023	0.49	1028
18	12	987	1.20	999
19	13	941	1.36	954
20	3	938	0.32	941
21	10	994	1.00	1004
22	8	926	0.86	934
23	14	971	1.42	985
24	8	1050	0.76	1058
25	9	925	0.96	934
26	9	970	0.92	979
27	7	991	0.70	998
28	16	983	1.60	999
29	10	1001	0.99	1011
30	15	959	1.54	974
31	12	990	1.20	1002
32	8	1069	0.74	1077
33	8	1012	0.78	1020
34	13	1033	1.24	1046
35	9	987	0.90	996
36	14	1004	1.38	1018
37	12	961	1.23	973
38	7	949	0.73	956
39	9	976	0.91	985
40	6	947	0.63	953
41	11	969	1.12	980
42	8	950	0.84	958
43	17	936	1.78	953
44	9	908	0.98	917
45	11	952	1.14	963
46	7	954	0.73	961
47	12	906	1.31	918
48	14	999	1.38	1013
49	11	937	1.16	948
50	13	982	1.31	995
51	10	1012	0.98	1022
52	9	967	0.92	976
53	12	1014	1.17	1026
54	10	973	1.02	983
55	14	986	1.40	1000
56	11	1016	1.07	1027
57	13	879	1.46	892
58	12	956	1.24	968
59	14	984	1.40	998
60	11	1014	1.07	1025
61	6	1042	0.57	1048
62	14	943	1.46	957
63	9	931	0.96	940
64	9	1010	0.88	1019
65	12	986	1.20	998
66	17	945	1.77	962
67	5	948	0.52	953
68	9	952	0.94	961
69	8	942	0.84	950
70	7	909	0.76	916
71	10	931	1.06	941
72	9	929	0.96	938
