CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
117	3	439	0.68	442
118	6	417	1.42	423
119	5	445	1.11	450
120	5	440	1.12	445
121	3	435	0.68	438
122	4	419	0.95	423
123	2	417	0.48	419
124	3	442	0.67	445
125	4	418	0.95	422
126	6	383	1.54	389
127	5	390	1.27	395
128	5	464	1.07	469
129	7	422	1.63	429
130	5	401	1.23	406
131	8	382	2.05	390
132	3	412	0.72	415
133	4	402	0.99	406
134	11	410	2.61	421
135	6	463	1.28	469
136	8	404	1.94	412
137	3	445	0.67	448
138	5	425	1.16	430
139	2	440	0.45	442
140	1	449	0.22	450
141	7	431	1.60	438
142	11	377	2.84	388
143	6	385	1.53	391
144	6	427	1.39	433
145	9	384	2.29	393

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	233	1342	14.79	1575
2	184	1439	11.34	1623
3	154	1446	9.62	1600
4	141	1527	8.45	1668
5	129	1646	7.27	1775
6	122	1578	7.18	1700
7	126	1578	7.39	1704
8	119	1587	6.98	1706
9	98	1637	5.65	1735
10	132	1657	7.38	1789
11	114	1644	6.48	1758
12	120	1665	6.72	1785
13	131	1679	7.24	1810
14	101	1675	5.69	1776
15	126	1715	6.84	1841
16	105	1780	5.57	1885
17	124	1669	6.92	1793
18	115	1639	6.56	1754
19	128	1666	7.13	1794
20	124	1602	7.18	1726
21	120	1647	6.79	1767
22	126	1662	7.05	1788
23	127	1622	7.26	1749
24	113	1588	6.64	1701
25	144	1678	7.90	1822
26	123	1591	7.18	1714
27	142	1595	8.18	1737
28	124	1712	6.75	1836
29	111	1680	6.20	1791
30	108	1702	5.97	1810
31	132	1605	7.60	1737
32	117	1645	6.64	1762
33	109	1589	6.42	1698
34	136	1682	7.48	1818
35	130	1688	7.15	1818
36	104	1649	5.93	1753
37	132	1602	7.61	1734
38	137	1656	7.64	1793
39	125	1656	7.02	1781
40	115	1769	6.10	1884
41	123	1695	6.77	1818
42	111	1691	6.16	1802
43	129	1740	6.90	1869
44	135	1828	6.88	1963
45	119	1830	6.11	1949
46	115	1688	6.38	1803
47	142	1736	7.56	1878
48	116	1764	6.17	1880
49	131	1609	7.53	1740
50	126	1713	6.85	1839
51	102	1722	5.59	1824
52	142	1644	7.95	1786
53	134	1638	7.56	1772
54	107	1623	6.18	1730
55	122	1633	6.95	1755
56	127	1655	7.13	1782
57	116	1707	6.36	1823
58	139	1692	7.59	1831
59	134	1668	7.44	1802
60	134	1731	7.18	1865
61	124	1642	7.02	1766
62	138	1660	7.68	1798
63	123	1614	7.08	1737
64	120	1620	6.90	1740
65	135	1626	7.67	1761
66	137	1655	7.65	1792
67	133	1692	7.29	1825
68	127	1727	6.85	1854
69	129	1661	7.21	1790
70	120	1715	6.54	1835
71	147	1734	7.81	1881
72	112	1774	5.94	1886
73	117	1761	6.23	1878
74	128	1756	6.79	1884
75	127	1806	6.57	1933
76	127	1708	6.92	1835
77	135	1765	7.11	1900
78	136	1735	7.27	1871
79	121	1692	6.67	1813
80	116	1786	6.10	1902
81	128	1806	6.62	1934
82	118	1757	6.29	1875
83	125	1772	6.59	1897
84	123	1735	6.62	1858
85	114	1773	6.04	1887
86	124	1705	6.78	1829
87	112	1734	6.07	1846
88	132	1675	7.30	1807
89	115	1678	6.41	1793
90	110	1669	6.18	1779
91	109	1668	6.13	1777
92	120	1675	6.69	1795
93	125	1638	7.09	1763
94	110	1696	6.09	1806
95	130	1729	6.99	1859
96	132	1725	7.11	1857
97	107	1738	5.80	1845
98	135	1801	6.97	1936
99	119	1797	6.21	1916
100	123	1840	6.27	1963
101	139	1794	7.19	1933
102	122	1803	6.34	1925
103	116	1859	5.87	1975
104	125	1803	6.48	1928
105	117	1815	6.06	1932
106	114	1717	6.23	1831
107	120	1705	6.58	1825
108	113	1769	6.00	1882
109	118	1846	6.01	1964
110	124	1755	6.60	1879
111	143	1734	7.62	1877
112	111	1734	6.02	1845
113	127	1715	6.89	1842
114	118	1782	6.21	1900
115	125	1701	6.85	1826
116	131	1713	7.10	1844
117	116	1764	6.17	1880
118	120	1722	6.51	1842
119	139	1730	7.44	1869
120	124	1691	6.83	1815
121	123	1723	6.66	1846
122	126	1678	6.98	1804
123	122	1684	6.76	1806
124	108	1716	5.92	1824
125	121	1673	6.74	1794
126	127	1760	6.73	1887
127	125	1794	6.51	1919
128	116	1689	6.43	1805
129	103	1704	5.70	1807
130	112	1683	6.24	1795
131	116	1769	6.15	1885
