CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	475	187	71.75	662
2	159	77	67.37	236
3	221	85	72.22	306
4	177	71	71.37	248
5	218	79	73.40	297
6	187	51	78.57	238
7	196	66	74.81	262
8	237	73	76.45	310
9	377	77	83.04	454
10	382	113	77.17	495
11	406	114	78.08	520
12	434	106	80.37	540
13	437	111	79.74	548
14	308	92	77.00	400
15	382	74	83.77	456
16	285	88	76.41	373
17	246	70	77.85	316
18	233	57	80.34	290
19	202	62	76.52	264
20	151	67	69.27	218
21	198	61	76.45	259
22	211	68	75.63	279
23	262	55	82.65	317
24	225	78	74.26	303
25	232	108	68.24	340
26	254	66	79.38	320
27	459	111	80.53	570
28	356	83	81.09	439
29	301	87	77.58	388
30	222	57	79.57	279
31	296	61	82.91	357
32	233	63	78.72	296
33	252	75	77.06	327
34	195	59	76.77	254
35	255	72	77.98	327
36	311	54	85.21	365
37	335	63	84.17	398
38	293	51	85.17	344
39	296	88	77.08	384
40	527	106	83.25	633
41	429	74	85.29	503
42	421	93	81.91	514
43	526	92	85.11	618
44	257	60	81.07	317
45	283	80	77.96	363
46	222	53	80.73	275
47	254	51	83.28	305
48	185	63	74.60	248
49	219	98	69.09	317
50	211	55	79.32	266
51	450	96	82.42	546
52	433	101	81.09	534
53	299	85	77.86	384
54	478	109	81.43	587
55	549	136	80.15	685
56	434	101	81.12	535
57	376	77	83.00	453
58	390	107	78.47	497
59	492	118	80.66	610
60	306	71	81.17	377
61	401	115	77.71	516
62	177	47	79.02	224
63	277	67	80.52	344
64	171	41	80.66	212
65	247	69	78.16	316
66	364	59	86.05	423
67	335	90	78.82	425
68	344	69	83.29	413
69	345	84	80.42	429
70	336	78	81.16	414
71	333	89	78.91	422
72	376	92	80.34	468
73	301	77	79.63	378
74	187	54	77.59	241
75	211	53	79.92	264
76	144	45	76.19	189
77	176	49	78.22	225
78	147	53	73.50	200
79	167	49	77.31	216
80	145	42	77.54	187
81	214	73	74.56	287
82	447	96	82.32	543
83	435	88	83.17	523
84	592	103	85.18	695
85	431	110	79.67	541
86	354	77	82.13	431
87	474	86	84.64	560
88	310	79	79.69	389
89	407	91	81.73	498
90	164	45	78.47	209
91	218	54	80.15	272
92	187	48	79.57	235
93	208	56	78.79	264
94	261	45	85.29	306
95	336	79	80.96	415
96	297	70	80.93	367
97	298	62	82.78	360
98	373	90	80.56	463
99	396	89	81.65	485
100	355	81	81.42	436
101	415	84	83.17	499
102	215	69	75.70	284
103	288	72	80.00	360
104	181	57	76.05	238
105	204	61	76.98	265
106	158	49	76.33	207
107	161	52	75.59	213
108	130	60	68.42	190
109	266	71	78.93	337
110	312	92	77.23	404
111	281	60	82.40	341
112	466	107	81.33	573
113	306	87	77.86	393
114	305	85	78.21	390
115	276	89	75.62	365
116	232	64	78.38	296
117	196	60	76.56	256
118	177	76	69.96	253
119	166	54	75.45	220
120	175	58	75.11	233
121	209	61	77.41	270
122	122	63	65.95	185
123	204	58	77.86	262
124	294	73	80.11	367
125	249	74	77.09	323
126	198	57	77.65	255
127	259	73	78.01	332
128	227	86	72.52	313
129	140	0	100.00	140

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	9	841	1.06	850
2	3	834	0.36	837
3	5	948	0.52	953
4	3	994	0.30	997
5	9	861	1.03	870
6	7	721	0.96	728
7	3	693	0.43	696
8	3	717	0.42	720
9	4	704	0.56	708
10	13	738	1.73	751
11	7	754	0.92	761
12	12	722	1.63	734
13	10	836	1.18	846
14	5	771	0.64	776
15	7	814	0.85	821
16	4	849	0.47	853
17	12	1102	1.08	1114
18	3	1032	0.29	1035
19	14	1075	1.29	1089
20	13	1058	1.21	1071
21	12	1097	1.08	1109
22	10	1147	0.86	1157
23	8	1026	0.77	1034
24	16	996	1.58	1012
25	7	777	0.89	784
26	9	820	1.09	829
27	7	869	0.80	876
28	7	958	0.73	965
29	13	862	1.49	875
30	11	910	1.19	921
31	11	868	1.25	879
32	15	1032	1.43	1047
33	16	1015	1.55	1031
34	14	744	1.85	758
35	8	778	1.02	786
36	6	813	0.73	819
37	4	750	0.53	754
38	8	592	1.33	600
39	4	592	0.67	596
40	3	611	0.49	614
41	9	654	1.36	663
42	11	771	1.41	782
43	11	698	1.55	709
44	8	710	1.11	718
45	12	979	1.21	991
46	12	946	1.25	958
47	7	951	0.73	958
48	12	920	1.29	932
49	15	919	1.61	934
50	14	1111	1.24	1125
51	16	942	1.67	958
52	13	1112	1.16	1125
53	5	703	0.71	708
54	13	848	1.51	861
55	4	841	0.47	845
56	10	1044	0.95	1054
57	15	928	1.59	943
58	12	871	1.36	883
59	12	945	1.25	957
60	13	997	1.29	1010
61	14	935	1.48	949
62	16	1149	1.37	1165
63	9	1043	0.86	1052
64	7	907	0.77	914
65	7	786	0.88	793
66	9	765	1.16	774
67	3	695	0.43	698
68	3	760	0.39	763
69	3	701	0.43	704
70	12	683	1.73	695
71	8	690	1.15	698
72	5	660	0.75	665
73	9	725	1.23	734
74	10	818	1.21	828
75	10	936	1.06	946
76	11	889	1.22	900
77	8	850	0.93	858
78	11	907	1.20	918
79	6	786	0.76	792
80	6	921	0.65	927
81	10	848	1.17	858
82	7	812	0.85	819
83	5	715	0.69	720
84	11	657	1.65	668
85	8	706	1.12	714
86	8	664	1.19	672
87	5	609	0.81	614
88	12	738	1.60	750
89	7	579	1.19	586
90	9	641	1.38	650
91	7	742	0.93	749
92	7	679	1.02	686
93	9	790	1.13	799
94	8	650	1.22	658
95	10	726	1.36	736
96	6	709	0.84	715
97	5	629	0.79	634
98	11	688	1.57	699
99	9	764	1.16	773
100	10	657	1.50	667
101	4	654	0.61	658
102	4	748	0.53	752
103	17	689	2.41	706
104	18	914	1.93	932
105	11	1028	1.06	1039
106	14	841	1.64	855
107	7	899	0.77	906
108	7	969	0.72	976
109	13	994	1.29	1007
110	7	905	0.77	912
111	7	887	0.78	894
112	17	783	2.12	800
113	12	735	1.61	747
114	8	796	1.00	804
115	5	623	0.80	628
116	15	640	2.29	655
117	6	606	0.98	612
118	9	578	1.53	587
119	9	700	1.27	709
120	3	875	0.34	878
121	18	811	2.17	829
122	6	884	0.67	890
123	5	686	0.72	691
124	10	676	1.46	686
125	6	674	0.88	680
126	5	660	0.75	665
127	8	639	1.24	647
128	2	624	0.32	626
129	3	0	100.00	3

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	27	3226	0.83	3253
2	26	2999	0.86	3025
3	35	3195	1.08	3230
4	43	3164	1.34	3207
5	30	3271	0.91	3301
6	25	3484	0.71	3509
7	35	3271	1.06	3306
8	51	3178	1.58	3229
9	25	3055	0.81	3080
10	48	3599	1.32	3647
11	43	3222	1.32	3265
12	47	3515	1.32	3562
13	38	3007	1.25	3045
14	27	2796	0.96	2823
15	54	2979	1.78	3033
16	34	2737	1.23	2771
17	46	2779	1.63	2825
18	46	2545	1.78	2591
19	37	2828	1.29	2865
20	24	2698	0.88	2722
21	56	3303	1.67	3359
22	79	3077	2.50	3156
23	54	3136	1.69	3190
24	187	3557	4.99	3744
25	59	3660	1.59	3719
26	38	3691	1.02	3729
27	42	3718	1.12	3760
28	45	3425	1.30	3470
29	47	3333	1.39	3380
30	29	3152	0.91	3181
31	24	3217	0.74	3241
32	35	3190	1.09	3225
33	35	3482	1.00	3517
34	53	3877	1.35	3930
35	45	3784	1.18	3829
36	52	3752	1.37	3804
37	51	3762	1.34	3813
38	45	3983	1.12	4028
39	51	3578	1.41	3629
40	52	3682	1.39	3734
41	42	3313	1.25	3355
42	37	3427	1.07	3464
43	44	3348	1.30	3392
44	36	3163	1.13	3199
45	29	3126	0.92	3155
46	26	2756	0.93	2782
47	22	2790	0.78	2812
48	41	2741	1.47	2782
49	38	3151	1.19	3189
50	14	2970	0.47	2984
51	31	3291	0.93	3322
52	38	3321	1.13	3359
53	31	3232	0.95	3263
54	40	3446	1.15	3486
55	31	3421	0.90	3452
56	45	3588	1.24	3633
57	21	3360	0.62	3381
58	28	3183	0.87	3211
59	27	3053	0.88	3080
60	39	3057	1.26	3096
61	21	3221	0.65	3242
62	43	3100	1.37	3143
63	32	3275	0.97	3307
64	26	3377	0.76	3403
65	26	3348	0.77	3374
66	39	3215	1.20	3254
67	43	3234	1.31	3277
68	36	3742	0.95	3778
69	41	3468	1.17	3509
70	35	3482	1.00	3517
71	32	3444	0.92	3476
72	36	3197	1.11	3233
73	34	3056	1.10	3090
74	35	2991	1.16	3026
75	28	2955	0.94	2983
76	27	2811	0.95	2838
77	49	2871	1.68	2920
78	31	3024	1.01	3055
79	37	3245	1.13	3282
80	36	3153	1.13	3189
81	28	3208	0.87	3236
82	44	3159	1.37	3203
83	37	3577	1.02	3614
84	64	3930	1.60	3994
85	48	3819	1.24	3867
86	39	3735	1.03	3774
87	32	3420	0.93	3452
88	54	3374	1.58	3428
89	50	3343	1.47	3393
90	48	3401	1.39	3449
91	53	3785	1.38	3838
92	58	3948	1.45	4006
93	43	3800	1.12	3843
94	65	3701	1.73	3766
95	35	3432	1.01	3467
96	53	4102	1.28	4155
97	64	3931	1.60	3995
98	36	4034	0.88	4070
99	38	3479	1.08	3517
100	50	3282	1.50	3332
101	37	3318	1.10	3355
102	50	3345	1.47	3395
103	34	3282	1.03	3316
104	45	2972	1.49	3017
105	30	2952	1.01	2982
106	33	2774	1.18	2807
107	33	2972	1.10	3005
108	38	3182	1.18	3220
109	38	3388	1.11	3426
110	48	3374	1.40	3422
111	45	3765	1.18	3810
112	43	3956	1.08	3999
113	32	3909	0.81	3941
114	48	4312	1.10	4360
115	49	3958	1.22	4007
116	54	3667	1.45	3721
117	47	3748	1.24	3795
118	51	3543	1.42	3594
119	42	3426	1.21	3468
120	35	3403	1.02	3438
121	31	3284	0.94	3315
122	31	3078	1.00	3109
123	35	2870	1.20	2905
124	37	3036	1.20	3073
125	30	3205	0.93	3235
126	30	3442	0.86	3472
127	34	3148	1.07	3182
128	26	3109	0.83	3135
129	19	0	100.00	19

