CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	16656	3628	82.11	20284
2	17581	3648	82.82	21229
3	17892	3750	82.67	21642
4	18186	3704	83.08	21890
5	17836	3734	82.69	21570
6	18271	3654	83.33	21925
7	18845	3700	83.59	22545
8	18988	3559	84.22	22547
9	19140	3579	84.25	22719
10	19315	3757	83.72	23072
11	19323	3564	84.43	22887
12	18830	3530	84.21	22360
13	18436	3600	83.66	22036
14	18681	3661	83.61	22342
15	18920	3607	83.99	22527
16	18609	3579	83.87	22188
17	18341	3513	83.93	21854
18	18596	3681	83.48	22277
19	19192	3568	84.32	22760
20	19131	3628	84.06	22759
21	19282	3736	83.77	23018
22	18940	3673	83.76	22613
23	18991	3616	84.00	22607
24	18914	3579	84.09	22493
25	18849	3538	84.20	22387
26	18112	3626	83.32	21738
27	18423	3473	84.14	21896
28	17648	3473	83.56	21121
29	17511	3507	83.31	21018
30	17447	3552	83.08	20999
31	17481	3521	83.23	21002
32	17096	3365	83.55	20461
33	17638	3381	83.91	21019
34	17876	3554	83.42	21430
35	17548	3531	83.25	21079
36	17746	3553	83.32	21299
37	18231	3603	83.50	21834
38	17430	3416	83.61	20846
39	17957	3584	83.36	21541
40	17621	3653	82.83	21274
41	16810	3466	82.91	20276
42	17231	3591	82.75	20822
43	16724	3368	83.24	20092
44	16756	3439	82.97	20195
45	16668	3483	82.72	20151
46	16257	3404	82.69	19661
47	17000	3527	82.82	20527
48	16880	3414	83.18	20294
49	17012	3614	82.48	20626
50	16885	3396	83.26	20281
51	17197	3427	83.38	20624
52	17218	3403	83.50	20621
53	17002	3604	82.51	20606
54	17029	3535	82.81	20564
55	17262	3546	82.96	20808
56	17057	3410	83.34	20467
57	17011	3529	82.82	20540
58	17021	3322	83.67	20343
59	16841	3264	83.77	20105
60	16944	3306	83.67	20250
61	16553	3370	83.08	19923
62	16785	3509	82.71	20294
63	16646	3511	82.58	20157
64	16375	3348	83.02	19723
65	16674	3227	83.78	19901
66	16606	3233	83.70	19839
67	16860	3347	83.44	20207
68	16808	3353	83.37	20161
69	17351	3369	83.74	20720
70	16984	3337	83.58	20321
71	16837	3338	83.45	20175
72	16701	3182	84.00	19883
73	16845	3288	83.67	20133
74	16709	3295	83.53	20004
75	16292	3229	83.46	19521
76	16268	3306	83.11	19574
77	16262	3302	83.12	19564
78	16045	3406	82.49	19451
79	16296	3329	83.04	19625
80	16465	3282	83.38	19747
81	16184	3330	82.94	19514
82	16179	3203	83.47	19382
83	15978	3260	83.05	19238
84	15988	3237	83.16	19225
85	15751	3184	83.18	18935
86	15827	3280	82.83	19107
87	15442	3148	83.07	18590
88	15730	3233	82.95	18963
89	15913	3083	83.77	18996
90	15779	2965	84.18	18744
91	15930	3174	83.39	19104
92	15797	3311	82.67	19108
93	16180	3150	83.70	19330
94	15469	3157	83.05	18626
95	15962	2969	84.32	18931
96	16275	3093	84.03	19368
97	16203	3043	84.19	19246
98	15888	3083	83.75	18971
99	16112	2989	84.35	19101
100	16142	3103	83.88	19245
101	16045	3077	83.91	19122
102	15634	3000	83.90	18634
103	15844	3026	83.96	18870
104	15743	3116	83.48	18859
105	15425	3168	82.96	18593
106	15532	2894	84.29	18426
107	15341	2870	84.24	18211
108	15151	2920	83.84	18071
109	15529	2864	84.43	18393
110	15016	2877	83.92	17893
111	15317	2982	83.70	18299
112	15126	2978	83.55	18104
113	15095	2839	84.17	17934
114	14960	2880	83.86	17840
115	14974	2961	83.49	17935
116	14727	2825	83.90	17552
117	14632	2801	83.93	17433
118	14419	2724	84.11	17143
119	14095	2749	83.68	16844
120	14138	2727	83.83	16865
121	14344	2690	84.21	17034
122	13852	2783	83.27	16635
123	13706	2603	84.04	16309
124	13955	2655	84.02	16610
125	13480	2688	83.37	16168
126	12894	2540	83.54	15434
127	12797	2535	83.47	15332
128	11860	2172	84.52	14032
129	8473	0	100.00	8473

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4744	94080	4.80	98824
2	4688	93777	4.76	98465
3	4901	93965	4.96	98866
4	4797	94991	4.81	99788
5	4822	92085	4.98	96907
6	5028	93091	5.12	98119
7	5227	92517	5.35	97744
8	5060	91371	5.25	96431
9	4969	90665	5.20	95634
10	4937	90278	5.19	95215
11	4832	89467	5.12	94299
12	5004	89569	5.29	94573
13	4878	87950	5.25	92828
14	4802	87297	5.21	92099
15	4830	87688	5.22	92518
16	4740	89697	5.02	94437
17	4720	86226	5.19	90946
18	4587	87122	5.00	91709
19	4829	87729	5.22	92558
20	4780	86318	5.25	91098
21	4731	86768	5.17	91499
22	4841	87070	5.27	91911
23	4846	88137	5.21	92983
24	4864	88710	5.20	93574
25	5107	87699	5.50	92806
26	4835	87257	5.25	92092
27	4992	88721	5.33	93713
28	4993	89379	5.29	94372
29	4960	89530	5.25	94490
30	4983	88589	5.33	93572
31	4819	87345	5.23	92164
32	4766	87873	5.14	92639
33	4975	87422	5.38	92397
34	4925	87271	5.34	92196
35	4796	87059	5.22	91855
36	4908	86727	5.36	91635
37	4918	86308	5.39	91226
38	4883	87040	5.31	91923
39	5008	86646	5.46	91654
40	5027	87524	5.43	92551
41	4943	87938	5.32	92881
42	4935	86260	5.41	91195
43	5089	86579	5.55	91668
44	5066	87244	5.49	92310
45	5129	88052	5.50	93181
46	4954	85422	5.48	90376
47	5065	85107	5.62	90172
48	4926	86347	5.40	91273
49	5046	85537	5.57	90583
50	4983	85875	5.48	90858
51	5095	84783	5.67	89878
52	4794	84368	5.38	89162
53	4778	84436	5.36	89214
54	4868	85234	5.40	90102
55	4807	84615	5.38	89422
56	4949	84329	5.54	89278
57	4875	85481	5.40	90356
58	4947	85073	5.50	90020
59	4743	85600	5.25	90343
60	4872	83421	5.52	88293
61	4799	83499	5.44	88298
62	4837	83008	5.51	87845
63	4906	84594	5.48	89500
64	4789	85019	5.33	89808
65	4898	83709	5.53	88607
66	4923	84454	5.51	89377
67	4838	83157	5.50	87995
68	4935	83627	5.57	88562
69	4705	83424	5.34	88129
70	4770	82740	5.45	87510
71	4707	83389	5.34	88096
72	4748	83625	5.37	88373
73	4929	83935	5.55	88864
74	4883	83230	5.54	88113
75	4839	83217	5.50	88056
76	4730	83909	5.34	88639
77	4883	83793	5.51	88676
78	4661	83680	5.28	88341
79	4924	84227	5.52	89151
80	4922	84767	5.49	89689
81	4826	84057	5.43	88883
82	4757	82941	5.42	87698
83	4750	82403	5.45	87153
84	4733	83330	5.37	88063
85	4943	82542	5.65	87485
86	4926	81371	5.71	86297
87	4861	81357	5.64	86218
88	4777	82358	5.48	87135
89	4675	82371	5.37	87046
90	4735	80927	5.53	85662
91	4532	80026	5.36	84558
92	4791	79531	5.68	84322
