CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	64	54	54.24	118
2	88	39	69.29	127
3	105	37	73.94	142
4	64	19	77.11	83
5	88	30	74.58	118
6	78	22	78.00	100
7	85	13	86.73	98
8	86	20	81.13	106
9	77	19	80.21	96
10	94	14	87.04	108
11	74	17	81.32	91
12	94	19	83.19	113
13	108	18	85.71	126
14	92	14	86.79	106
15	91	11	89.22	102
16	111	12	90.24	123
17	95	17	84.82	112
18	83	21	79.81	104
19	83	24	77.57	107
20	84	16	84.00	100
21	97	17	85.09	114
22	107	20	84.25	127
23	93	23	80.17	116
24	101	25	80.16	126
25	86	18	82.69	104
26	91	21	81.25	112
27	104	27	79.39	131
28	92	21	81.42	113
29	104	27	79.39	131
30	90	26	77.59	116
31	95	30	76.00	125
32	83	20	80.58	103
33	96	8	92.31	104
34	78	13	85.71	91
35	87	21	80.56	108
36	84	25	77.06	109
37	95	14	87.16	109
38	90	17	84.11	107
39	109	27	80.15	136
40	90	20	81.82	110
41	111	15	88.10	126
42	104	18	85.25	122
43	91	17	84.26	108
44	95	13	87.96	108
45	75	12	86.21	87
46	83	11	88.30	94
47	102	14	87.93	116
48	88	20	81.48	108
49	81	26	75.70	107
50	104	11	90.43	115
51	99	19	83.90	118
52	89	21	80.91	110
53	82	22	78.85	104
54	100	12	89.29	112
55	104	24	81.25	128
56	107	19	84.92	126
57	108	15	87.80	123
58	90	28	76.27	118
59	72	17	80.90	89
60	73	21	77.66	94
61	93	17	84.55	110
62	102	13	88.70	115
63	72	24	75.00	96
64	60	20	75.00	80
65	73	15	82.95	88
66	62	18	77.50	80
67	102	23	81.60	125
68	70	17	80.46	87
69	79	17	82.29	96
70	69	13	84.15	82
71	71	23	75.53	94
72	75	23	76.53	98
73	83	16	83.84	99
74	79	14	84.95	93
75	81	21	79.41	102
76	80	11	87.91	91
77	79	19	80.61	98
78	73	21	77.66	94
79	90	25	78.26	115
80	69	20	77.53	89
81	68	26	72.34	94
82	72	26	73.47	98
83	85	16	84.16	101
84	73	21	77.66	94
85	64	17	79.01	81
86	82	13	86.32	95
87	64	27	70.33	91
88	80	18	81.63	98
89	64	22	74.42	86
90	76	29	72.38	105
91	91	13	87.50	104
92	88	26	77.19	114
93	66	14	82.50	80
94	69	17	80.23	86
95	82	20	80.39	102
96	84	11	88.42	95
97	75	23	76.53	98
98	82	19	81.19	101
99	83	13	86.46	96
100	95	22	81.20	117
101	94	20	82.46	114
102	101	24	80.80	125
103	87	16	84.47	103
104	95	18	84.07	113
105	90	17	84.11	107
106	84	13	86.60	97
107	74	17	81.32	91
108	82	16	83.67	98
109	80	16	83.33	96
110	90	22	80.36	112
111	68	17	80.00	85
112	95	19	83.33	114
113	86	15	85.15	101
114	109	22	83.21	131
115	71	21	77.17	92
116	75	19	79.79	94
117	86	11	88.66	97
118	93	19	83.04	112
119	66	14	82.50	80
120	72	18	80.00	90
121	66	18	78.57	84
122	68	14	82.93	82
123	75	19	79.79	94
124	65	19	77.38	84
125	83	19	81.37	102
126	79	30	72.48	109
127	67	10	87.01	77
128	77	19	80.21	96
129	75	19	79.79	94
130	96	11	89.72	107
131	71	22	76.34	93
132	92	14	86.79	106
133	94	18	83.93	112
134	103	18	85.12	121
135	86	18	82.69	104
136	71	12	85.54	83
137	71	19	78.89	90
138	80	20	80.00	100
139	101	39	72.14	140
140	95	20	82.61	115
141	76	19	80.00	95
142	107	24	81.68	131
143	89	28	76.07	117
144	93	13	87.74	106
145	79	31	71.82	110

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	40	393	9.24	433
2	32	395	7.49	427
3	23	456	4.80	479
4	16	449	3.44	465
5	5	435	1.14	440
6	8	440	1.79	448
7	6	435	1.36	441
8	10	419	2.33	429
9	7	456	1.51	463
10	3	406	0.73	409
11	7	419	1.64	426
12	4	428	0.93	432
13	6	402	1.47	408
14	10	393	2.48	403
15	7	426	1.62	433
16	7	429	1.61	436
17	4	427	0.93	431
18	2	424	0.47	426
19	4	381	1.04	385
20	8	404	1.94	412
21	3	445	0.67	448
22	6	428	1.38	434
23	3	418	0.71	421
24	5	430	1.15	435
25	10	464	2.11	474
26	7	418	1.65	425
27	1	420	0.24	421
28	6	470	1.26	476
29	8	433	1.81	441
30	3	470	0.63	473
31	7	439	1.57	446
32	6	447	1.32	453
33	6	463	1.28	469
34	7	424	1.62	431
35	2	495	0.40	497
36	7	448	1.54	455
37	5	456	1.08	461
38	6	424	1.40	430
39	3	433	0.69	436
40	12	416	2.80	428
41	5	451	1.10	456
42	11	371	2.88	382
43	7	434	1.59	441
44	3	412	0.72	415
45	15	410	3.53	425
46	5	440	1.12	445
47	5	421	1.17	426
48	7	427	1.61	434
49	6	441	1.34	447
50	7	440	1.57	447
51	4	461	0.86	465
52	2	443	0.45	445
53	4	419	0.95	423
54	6	442	1.34	448
55	8	424	1.85	432
56	12	436	2.68	448
57	5	477	1.04	482
58	2	428	0.47	430
59	9	472	1.87	481
60	2	449	0.44	451
61	7	457	1.51	464
62	6	434	1.36	440
63	12	437	2.67	449
64	4	410	0.97	414
65	4	446	0.89	450
66	9	400	2.20	409
67	11	419	2.56	430
68	8	404	1.94	412
69	7	372	1.85	379
70	2	378	0.53	380
71	6	412	1.44	418
72	5	407	1.21	412
73	4	398	1.00	402
74	5	401	1.23	406
75	4	462	0.86	466
76	5	461	1.07	466
77	7	396	1.74	403
78	8	450	1.75	458
79	12	448	2.61	460
80	7	426	1.62	433
81	3	467	0.64	470
82	9	479	1.84	488
83	4	442	0.90	446
84	4	436	0.91	440
85	4	460	0.86	464
86	11	412	2.60	423
87	12	466	2.51	478
88	12	453	2.58	465
89	4	410	0.97	414
90	2	431	0.46	433
91	6	440	1.35	446
92	5	463	1.07	468
93	9	403	2.18	412
94	5	437	1.13	442
95	7	417	1.65	424
96	3	404	0.74	407
97	3	432	0.69	435
98	5	403	1.23	408
99	5	403	1.23	408
100	3	401	0.74	404
101	7	428	1.61	435
102	7	376	1.83	383
103	6	373	1.58	379
104	10	407	2.40	417
105	4	424	0.93	428
106	5	441	1.12	446
107	4	425	0.93	429
108	4	426	0.93	430
109	2	395	0.50	397
110	4	421	0.94	425
111	11	437	2.46	448
112	4	398	1.00	402
113	6	429	1.38	435
114	9	405	2.17	414
115	3	426	0.70	429
116	7	421	1.64	428
117	4	438	0.90	442
118	7	417	1.65	424
119	10	449	2.18	459
120	6	405	1.46	411
121	9	422	2.09	431
122	12	409	2.85	421
123	8	429	1.83	437
124	7	386	1.78	393
125	11	397	2.70	408
126	7	393	1.75	400
127	3	418	0.71	421
128	6	420	1.41	426
129	7	411	1.67	418
130	4	408	0.97	412
131	9	394	2.23	403
132	3	376	0.79	379
133	8	402	1.95	410
134	4	430	0.92	434
135	5	399	1.24	404
136	8	384	2.04	392
137	5	402	1.23	407
138	4	380	1.04	384
139	7	391	1.76	398
140	5	403	1.23	408
141	4	430	0.92	434
142	5	405	1.22	410
143	7	376	1.83	383
144	4	397	1.00	401
145	8	364	2.15	372

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	194	1272	13.23	1466
2	165	1333	11.01	1498
3	129	1344	8.76	1473
4	125	1433	8.02	1558
5	89	1495	5.62	1584
6	105	1492	6.57	1597
7	88	1441	5.76	1529
8	89	1533	5.49	1622
9	89	1561	5.39	1650
10	96	1621	5.59	1717
11	92	1545	5.62	1637
12	89	1589	5.30	1678
13	84	1632	4.90	1716
14	98	1675	5.53	1773
15	79	1648	4.57	1727
16	94	1665	5.34	1759
17	89	1650	5.12	1739
18	92	1619	5.38	1711
19	103	1581	6.12	1684
20	85	1600	5.04	1685
21	91	1581	5.44	1672
22	101	1600	5.94	1701
23	99	1632	5.72	1731
24	95	1579	5.68	1674
25	98	1586	5.82	1684
26	95	1623	5.53	1718
27	104	1577	6.19	1681
28	92	1561	5.57	1653
29	101	1514	6.25	1615
30	88	1628	5.13	1716
31	102	1551	6.17	1653
32	96	1555	5.81	1651
33	94	1670	5.33	1764
34	111	1612	6.44	1723
35	108	1595	6.34	1703
36	95	1674	5.37	1769
37	109	1598	6.39	1707
38	105	1540	6.38	1645
39	104	1552	6.28	1656
40	89	1642	5.14	1731
41	103	1614	6.00	1717
42	100	1701	5.55	1801
43	119	1696	6.56	1815
44	104	1677	5.84	1781
45	95	1702	5.29	1797
46	109	1687	6.07	1796
47	104	1664	5.88	1768
48	97	1717	5.35	1814
49	96	1669	5.44	1765
50	96	1623	5.58	1719
51	99	1599	5.83	1698
52	89	1583	5.32	1672
53	99	1654	5.65	1753
54	105	1617	6.10	1722
55	111	1674	6.22	1785
56	95	1600	5.60	1695
57	98	1589	5.81	1687
58	112	1586	6.60	1698
59	102	1558	6.14	1660
60	97	1612	5.68	1709
61	98	1629	5.67	1727
62	109	1644	6.22	1753
63	98	1635	5.65	1733
64	107	1655	6.07	1762
65	88	1565	5.32	1653
66	86	1618	5.05	1704
67	101	1532	6.18	1633
68	108	1609	6.29	1717
69	93	1617	5.44	1710
70	81	1672	4.62	1753
71	113	1683	6.29	1796
72	101	1623	5.86	1724
73	95	1620	5.54	1715
74	91	1664	5.19	1755
75	99	1712	5.47	1811
76	106	1672	5.96	1778
77	99	1653	5.65	1752
78	84	1610	4.96	1694
79	101	1594	5.96	1695
80	99	1608	5.80	1707
81	92	1669	5.22	1761
82	87	1734	4.78	1821
83	101	1685	5.66	1786
84	85	1660	4.87	1745
85	100	1590	5.92	1690
86	89	1665	5.07	1754
87	99	1543	6.03	1642
88	94	1673	5.32	1767
89	88	1672	5.00	1760
90	109	1605	6.36	1714
91	87	1618	5.10	1705
92	98	1635	5.65	1733
93	89	1680	5.03	1769
94	104	1600	6.10	1704
95	100	1599	5.89	1699
96	84	1693	4.73	1777
97	117	1650	6.62	1767
98	107	1699	5.92	1806
99	81	1689	4.58	1770
