CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	115	65	63.89	180
2	111	71	60.99	182
3	120	50	70.59	170
4	113	29	79.58	142
5	125	36	77.64	161
6	136	23	85.53	159
7	111	28	79.86	139
8	147	21	87.50	168
9	133	24	84.71	157
10	171	19	90.00	190
11	146	23	86.39	169
12	144	18	88.89	162
13	141	26	84.43	167
14	137	23	85.62	160
15	144	22	86.75	166
16	120	18	86.96	138
17	146	15	90.68	161
18	129	17	88.36	146
19	147	15	90.74	162
20	135	18	88.24	153
21	131	24	84.52	155
22	156	30	83.87	186
23	133	20	86.93	153
24	160	33	82.90	193
25	148	28	84.09	176
26	176	25	87.56	201
27	164	24	87.23	188
28	158	21	88.27	179
29	134	24	84.81	158
30	128	16	88.89	144
31	141	22	86.50	163
32	151	21	87.79	172
33	139	16	89.68	155
34	127	23	84.67	150
35	137	21	86.71	158
36	150	20	88.24	170
37	139	22	86.34	161
38	147	16	90.18	163
39	154	23	87.01	177
40	143	30	82.66	173
41	145	30	82.86	175
42	144	32	81.82	176
43	162	22	88.04	184
44	165	26	86.39	191
45	138	23	85.71	161
46	126	28	81.82	154
47	152	24	86.36	176
48	149	11	93.12	160
49	115	28	80.42	143
50	149	28	84.18	177
51	160	19	89.39	179
52	125	32	79.62	157
53	126	27	82.35	153
54	148	24	86.05	172
55	177	27	86.76	204
56	142	32	81.61	174
57	165	19	89.67	184
58	120	27	81.63	147
59	131	23	85.06	154
60	136	28	82.93	164
61	102	18	85.00	120
62	105	35	75.00	140
63	108	17	86.40	125
64	116	17	87.22	133
65	103	17	85.83	120
66	112	21	84.21	133
67	127	12	91.37	139
68	126	15	89.36	141
69	122	27	81.88	149
70	134	18	88.16	152
71	126	21	85.71	147
72	133	18	88.08	151
73	109	27	80.15	136
74	123	9	93.18	132
75	122	31	79.74	153
76	110	16	87.30	126
77	93	21	81.58	114
78	113	19	85.61	132
79	105	26	80.15	131
80	120	30	80.00	150
81	94	21	81.74	115
82	128	20	86.49	148
83	166	33	83.42	199
84	130	18	87.84	148
85	134	30	81.71	164
86	111	20	84.73	131
87	126	25	83.44	151
88	103	18	85.12	121
89	109	14	88.62	123
90	158	17	90.29	175
91	121	21	85.21	142
92	153	23	86.93	176
93	122	21	85.31	143
94	113	16	87.60	129
95	129	27	82.69	156
96	121	33	78.57	154
97	114	20	85.07	134
98	150	27	84.75	177
99	149	20	88.17	169
100	165	32	83.76	197
101	159	27	85.48	186
102	162	31	83.94	193
103	141	27	83.93	168
104	137	17	88.96	154
105	125	23	84.46	148
106	92	14	86.79	106
107	98	13	88.29	111
108	130	23	84.97	153
109	105	27	79.55	132
110	121	17	87.68	138
111	107	21	83.59	128
112	143	32	81.71	175
113	153	23	86.93	176
114	160	23	87.43	183
115	121	23	84.03	144
116	114	30	79.17	144
117	137	26	84.05	163
118	128	28	82.05	156
119	103	10	91.15	113
120	112	15	88.19	127
121	109	17	86.51	126
122	93	22	80.87	115
123	107	21	83.59	128
124	100	15	86.96	115
125	99	16	86.09	115
126	115	20	85.19	135
127	115	19	85.82	134
128	106	31	77.37	137
129	125	21	85.62	146
130	104	13	88.89	117
131	131	26	83.44	157
132	135	31	81.33	166
133	120	23	83.92	143
134	111	15	88.10	126
135	119	16	88.15	135
136	102	29	77.86	131
137	103	27	79.23	130
138	102	28	78.46	130
139	125	32	79.62	157
140	144	30	82.76	174
141	145	19	88.41	164
142	134	35	79.29	169
143	118	37	76.13	155
144	118	36	76.62	154
145	106	27	79.70	133

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	79	598	11.67	677
2	43	640	6.30	683
3	27	598	4.32	625
4	22	664	3.21	686
5	16	621	2.51	637
6	8	636	1.24	644
7	7	622	1.11	629
8	14	621	2.20	635
9	2	603	0.33	605
10	8	591	1.34	599
11	6	586	1.01	592
12	8	604	1.31	612
13	9	598	1.48	607
14	2	650	0.31	652
15	11	647	1.67	658
16	2	651	0.31	653
17	4	604	0.66	608
18	10	670	1.47	680
19	11	625	1.73	636
20	7	619	1.12	626
21	6	672	0.88	678
22	9	630	1.41	639
23	9	683	1.30	692
24	4	655	0.61	659
25	11	655	1.65	666
26	7	649	1.07	656
27	4	620	0.64	624
28	7	651	1.06	658
29	4	675	0.59	679
30	7	623	1.11	630
31	6	657	0.90	663
32	3	651	0.46	654
33	8	647	1.22	655
34	14	656	2.09	670
35	11	695	1.56	706
36	4	671	0.59	675
37	10	613	1.61	623
38	6	624	0.95	630
39	6	597	1.00	603
40	13	597	2.13	610
41	6	622	0.96	628
42	6	619	0.96	625
43	6	578	1.03	584
44	6	633	0.94	639
45	9	655	1.36	664
46	5	597	0.83	602
47	5	622	0.80	627
48	7	636	1.09	643
49	7	676	1.02	683
50	2	706	0.28	708
51	10	622	1.58	632
52	7	700	0.99	707
53	14	651	2.11	665
54	5	683	0.73	688
55	10	593	1.66	603
56	10	649	1.52	659
57	3	632	0.47	635
58	8	623	1.27	631
59	4	654	0.61	658
60	12	630	1.87	642
61	20	690	2.82	710
62	2	628	0.32	630
63	10	688	1.43	698
64	8	648	1.22	656
65	10	607	1.62	617
66	7	615	1.13	622
67	5	603	0.82	608
68	10	650	1.52	660
69	3	606	0.49	609
70	6	592	1.00	598
71	9	628	1.41	637
72	7	598	1.16	605
73	4	628	0.63	632
74	4	637	0.62	641
75	6	616	0.96	622
76	5	641	0.77	646
77	10	589	1.67	599
78	9	678	1.31	687
79	11	645	1.68	656
80	6	587	1.01	593
81	8	627	1.26	635
82	7	653	1.06	660
83	11	633	1.71	644
84	7	670	1.03	677
85	7	564	1.23	571
86	13	606	2.10	619
87	10	658	1.50	668
88	6	593	1.00	599
89	6	654	0.91	660
90	10	709	1.39	719
91	9	685	1.30	694
92	11	656	1.65	667
93	9	621	1.43	630
94	7	593	1.17	600
95	17	600	2.76	617
96	13	591	2.15	604
97	9	595	1.49	604
98	12	606	1.94	618
99	16	593	2.63	609
100	7	587	1.18	594
101	6	558	1.06	564
102	5	611	0.81	616
103	6	628	0.95	634
104	11	639	1.69	650
105	4	588	0.68	592
106	7	612	1.13	619
107	6	630	0.94	636
108	4	631	0.63	635
109	9	633	1.40	642
110	11	626	1.73	637
111	5	601	0.83	606
112	14	622	2.20	636
113	7	649	1.07	656
114	11	628	1.72	639
115	8	606	1.30	614
116	7	607	1.14	614
117	13	628	2.03	641
118	6	619	0.96	625
119	3	584	0.51	587
120	7	604	1.15	611
121	7	675	1.03	682
122	5	608	0.82	613
123	3	614	0.49	617
124	5	594	0.83	599
125	7	579	1.19	586
126	9	556	1.59	565
127	7	589	1.17	596
128	3	618	0.48	621
129	9	539	1.64	548
130	4	639	0.62	643
131	11	558	1.93	569
132	5	586	0.85	591
133	7	616	1.12	623
134	5	547	0.91	552
135	5	594	0.83	599
136	6	603	0.99	609
137	9	636	1.40	645
138	11	561	1.92	572
139	8	606	1.30	614
140	6	636	0.93	642
141	12	653	1.80	665
142	9	552	1.60	561
143	7	539	1.28	546
144	7	613	1.13	620
145	9	566	1.57	575

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	304	2022	13.07	2326
2	240	2178	9.93	2418
3	214	2227	8.77	2441
4	177	2323	7.08	2500
5	143	2427	5.56	2570
6	141	2329	5.71	2470
7	111	2314	4.58	2425
8	135	2343	5.45	2478
9	124	2390	4.93	2514
10	115	2394	4.58	2509
11	122	2444	4.75	2566
12	119	2492	4.56	2611
13	101	2554	3.80	2655
14	116	2525	4.39	2641
15	134	2557	4.98	2691
16	127	2461	4.91	2588
17	117	2544	4.40	2661
18	126	2501	4.80	2627
19	124	2396	4.92	2520
20	124	2432	4.85	2556
21	130	2345	5.25	2475
22	131	2389	5.20	2520
23	138	2432	5.37	2570
24	106	2525	4.03	2631
25	140	2447	5.41	2587
26	114	2439	4.47	2553
27	122	2515	4.63	2637
28	126	2419	4.95	2545
29	124	2468	4.78	2592
30	116	2398	4.61	2514
31	120	2385	4.79	2505
32	118	2440	4.61	2558
33	118	2375	4.73	2493
34	130	2382	5.18	2512
35	112	2463	4.35	2575
36	116	2475	4.48	2591
37	131	2374	5.23	2505
38	136	2539	5.08	2675
39	119	2462	4.61	2581
40	135	2550	5.03	2685
41	127	2561	4.72	2688
42	141	2578	5.19	2719
43	119	2648	4.30	2767
44	121	2638	4.39	2759
45	117	2558	4.37	2675
46	136	2547	5.07	2683
47	131	2522	4.94	2653
48	139	2561	5.15	2700
49	115	2542	4.33	2657
50	142	2452	5.47	2594
51	119	2492	4.56	2611
52	138	2360	5.52	2498
53	113	2457	4.40	2570
54	119	2440	4.65	2559
55	107	2457	4.17	2564
56	118	2432	4.63	2550
57	132	2522	4.97	2654
58	123	2448	4.78	2571
59	122	2544	4.58	2666
60	118	2444	4.61	2562
61	128	2367	5.13	2495
62	114	2344	4.64	2458
63	113	2586	4.19	2699
64	135	2481	5.16	2616
65	115	2383	4.60	2498
66	112	2396	4.47	2508
67	127	2469	4.89	2596
68	122	2534	4.59	2656
69	113	2483	4.35	2596
70	128	2520	4.83	2648
71	127	2546	4.75	2673
72	113	2661	4.07	2774
73	127	2649	4.57	2776
74	116	2583	4.30	2699
75	119	2558	4.45	2677
76	118	2546	4.43	2664
77	113	2512	4.30	2625
78	110	2495	4.22	2605
79	109	2405	4.34	2514
80	113	2553	4.24	2666
81	104	2624	3.81	2728
82	119	2555	4.45	2674
83	117	2510	4.45	2627
84	119	2494	4.55	2613
85	125	2520	4.73	2645
86	113	2470	4.37	2583
87	119	2560	4.44	2679
88	115	2585	4.26	2700
89	115	2612	4.22	2727
90	112	2500	4.29	2612
91	110	2493	4.23	2603
92	126	2487	4.82	2613
93	136	2502	5.16	2638
94	114	2565	4.26	2679
95	109	2565	4.08	2674
96	128	2449	4.97	2577
97	146	2545	5.43	2691
98	140	2603	5.10	2743
99	134	2535	5.02	2669
100	140	2612	5.09	2752
101	144	2601	5.25	2745
102	135	2664	4.82	2799
103	148	2660	5.27	2808
104	127	2544	4.75	2671
105	132	2623	4.79	2755
106	147	2579	5.39	2726
107	118	2561	4.40	2679
108	121	2551	4.53	2672
109	125	2635	4.53	2760
110	106	2570	3.96	2676
111	118	2644	4.27	2762
112	134	2597	4.91	2731
113	124	2548	4.64	2672
114	121	2568	4.50	2689
115	130	2630	4.71	2760
116	109	2585	4.05	2694
117	120	2534	4.52	2654
118	131	2602	4.79	2733
119	123	2485	4.72	2608
120	123	2556	4.59	2679
121	107	2455	4.18	2562
122	119	2504	4.54	2623
123	117	2481	4.50	2598
124	123	2414	4.85	2537
125	106	2507	4.06	2613
126	119	2461	4.61	2580
127	115	2410	4.55	2525
128	126	2459	4.87	2585
129	108	2448	4.23	2556
130	99	2531	3.76	2630
131	112	2586	4.15	2698
132	107	2506	4.09	2613
133	115	2485	4.42	2600
134	109	2547	4.10	2656
135	119	2510	4.53	2629
136	108	2478	4.18	2586
137	110	2484	4.24	2594
138	111	2388	4.44	2499
139	109	2455	4.25	2564
140	119	2445	4.64	2564
141	100	2398	4.00	2498
142	109	2469	4.23	2578
143	112	2482	4.32	2594
144	105	2325	4.32	2430
145	96	2158	4.26	2254

