dataset	sample	HCG_n	GCH_n
snmCseq3	SRR21549295	859425	
snmCseq3	SRR21549296	827916	
snmCseq3	SRR21549297	1342413	
snmCseq3	SRR21549298	1634185	
snmCseq3	SRR21549299	1216682	
snmCseq3	SRR21549300	1017140	
snmCseq3	SRR21549301	1189788	
snmCseq3	SRR21549302	1303753	
snmCseq3	SRR21549303	1278533	
snmCseq3	SRR21549304	1433711	
snmCseq3	SRR21549305	1853922	
snmCseq3	SRR21549306	2037996	
snmCseq3	SRR21549307	2009294	
snmCseq3	SRR21549308	2111556	
snmCseq3	SRR21549309	1892264	
snmCseq3	SRR21549310	1754661	
snmCseq3	SRR21549311	1715918	
snmCseq3	SRR21549312	1834666	
snmCseq3	SRR21549313	1864967	
snmCseq3	SRR21549314	1535761	
snmCseq3	SRR21549315	1832068	
snmCseq3	SRR21549316	1680731	
snmCseq3	SRR21549317	1871873	
snmCseq3	SRR21549318	1060252	
snmCseq3	SRR21549319	99849	
snmCseq3	SRR21549320	391814	
snmCseq3	SRR21549322	1540882	
snmCseq3	SRR21549323	1304595	
snmCseq3	SRR21549324	1011332	
snmCseq3	SRR21549325	1250325	
snmCseq3	SRR21549326	1295154	
snmCseq3	SRR21549327	658601	
snmCseq3	SRR21549328	1076773	
snmCseq3	SRR21549329	323861	
snmCseq3	SRR21549330	274300	
snmCseq3	SRR21549331	1166072	
snmCseq3	SRR21549332	1203780	
snmCseq3	SRR21549333	95679	
snmCseq3	SRR21549334	315462	
snmCseq3	SRR21549335	1085653	
snmCseq3	SRR21549336	969497	
snmCseq3	SRR21549337	1385033	
snmCseq3	SRR21549338	1233389	
snmCseq3	SRR21549339	1483125	
snmCseq3	SRR21549340	79207	
snmCseq3	SRR21549341	1186816	
snmCseq3	SRR21549342	1145098	
snmCseq3	SRR21549343	1079554	
snmCseq3	SRR21549344	1118168	
snmCseq3	SRR21549345	1042874	
snmCseq3	SRR21549346	1283073	
snmCseq3	SRR21549347	1185297	
snmCseq3	SRR21549348	946498	
snmCseq3	SRR21549349	1058663	
snmCseq3	SRR21549350	1123089	
snmCseq3	SRR21549352	1079463	
snmCseq3	SRR21549353	1073679	
snmCseq3	SRR21549354	1118414	
snmCseq3	SRR21549355	346279	
snmCseq3	SRR21549356	757554	
snmCseq3	SRR21549357	1178892	
snmCseq3	SRR21549358	1405931	
snmCseq3	SRR21549359	1434006	
