dataset,cell,uniq_preDedup,uniq_postDedup,rate_preDedup,rate_postDedup
snmCseq3,SRR21549427,914392,811901,73.665,72.84
snmCseq3,SRR21549318,1842126,1421780,75.024,72.724
snmCseq3,SRR21549310,3242903,2431504,74.591,72.142
snmCseq3,SRR21549379,1069705,940274,74.496,73.52
snmCseq3,SRR21549291,1269796,1133046,73.714,73.003
snmCseq3,SRR21549430,827352,735991,74.868,73.94
snmCseq3,SRR21549309,3577083,2654434,73.637,71.268
snmCseq3,SRR21549301,1833919,1485948,73.993,72.321
snmCseq3,SRR21549390,481880,397450,55.686,53.525
snmCseq3,SRR21549423,1020828,915088,73.787,73.001
snmCseq3,SRR21549409,783393,696762,74.12,73.272
snmCseq3,SRR21549373,1769248,1473358,73.349,72.001
snmCseq3,SRR21549402,2823203,2279331,75.735,74.443
snmCseq3,SRR21549426,186853,166733,76.176,74.972
snmCseq3,SRR21549395,2617631,2087574,73.648,71.974
snmCseq3,SRR21549335,1549150,1364299,73.748,72.905
snmCseq3,SRR21549322,2271472,1896167,74.156,73.013
snmCseq3,SRR21549304,2284936,1847012,74.27,72.742
snmCseq3,SRR21549387,1375280,1127710,74.801,73.171
snmCseq3,SRR21549360,2379461,1970301,73.503,72.132
snmCseq3,SRR21549362,1984339,1638623,73.87,72.511
snmCseq3,SRR21549411,1073290,953050,73.388,72.575
snmCseq3,SRR21549436,1175607,1032354,73.409,72.442
snmCseq3,SRR21549349,1491764,1271687,74.065,72.895
snmCseq3,SRR21549327,863494,742988,79.069,77.673
snmCseq3,SRR21549382,1482044,1303464,73.373,72.451
snmCseq3,SRR21549383,1334166,1168049,74.047,73.151
snmCseq3,SRR21549312,3522711,2620399,74.196,71.879
snmCseq3,SRR21549337,2080247,1716645,74.23,72.963
snmCseq3,SRR21549292,1292798,1155999,72.925,72.153
snmCseq3,SRR21549392,2141284,1746490,74.282,72.681
snmCseq3,SRR21549336,1386297,1218807,73.603,72.759
snmCseq3,SRR21549410,1007490,894316,73.978,73.23
snmCseq3,SRR21549370,1472042,1263494,73.006,71.712
snmCseq3,SRR21549358,2117365,1741514,74.132,72.808
snmCseq3,SRR21549388,2170579,1768562,74.905,73.428
snmCseq3,SRR21549437,1018242,888552,73.913,72.896
snmCseq3,SRR21549326,1792233,1537251,74.607,73.597
snmCseq3,SRR21549401,2142609,1749674,75.232,73.634
snmCseq3,SRR21549289,965851,863478,74.743,73.971
snmCseq3,SRR21549348,1318577,1128112,74.011,72.741
snmCseq3,SRR21549363,1616558,1357172,73.928,72.601
snmCseq3,SRR21549384,869297,766158,75.499,74.337
snmCseq3,SRR21549396,605284,487983,74.536,72.127
snmCseq3,SRR21549374,1856356,1551779,73.697,72.311
snmCseq3,SRR21549397,2531150,2010515,74.165,72.429
snmCseq3,SRR21549302,2032592,1655369,74.031,72.31
snmCseq3,SRR21549412,1169289,1041212,73.395,72.553
snmCseq3,SRR21549361,1965279,1623747,73.589,72.128
snmCseq3,SRR21549415,1118175,988245,73.921,73.035
snmCseq3,SRR21549405,3057510,2477400,74.211,72.716
snmCseq3,SRR21549416,959153,849018,73.36,72.486
snmCseq3,SRR21549377,1764002,1468074,74.346,72.9
snmCseq3,SRR21549428,1036202,923065,73.569,72.726
snmCseq3,SRR21549354,1554548,1338636,73.321,72.233
snmCseq3,SRR21549307,3780362,2812778,73.352,71.104
snmCseq3,SRR21549331,1648698,1448678,73.26,72.522
snmCseq3,SRR21549313,3227144,2488371,74.421,72.483
snmCseq3,SRR21549404,3105696,2527405,73.79,72.31
snmCseq3,SRR21549371,1437580,1201214,75.295,73.879
snmCseq3,SRR21549353,1487892,1277364,73.463,72.443
snmCseq3,SRR21549424,1297163,1162278,74.769,74.079
snmCseq3,SRR21549299,2003872,1623694,70.294,68.784
snmCseq3,SRR21549350,1584575,1346776,74.131,72.982
snmCseq3,SRR21549305,3369795,2524737,74.298,71.926
snmCseq3,SRR21549298,2563336,2074039,74.289,72.893
snmCseq3,SRR21549329,435895,386552,73.697,72.626
snmCseq3,SRR21549324,1360691,1171784,75.137,74.055
snmCseq3,SRR21549325,1745497,1493933,74.53,73.563
snmCseq3,SRR21549359,2150510,1774355,74.289,72.928
snmCseq3,SRR21549317,3339639,2570418,74.191,72.203
snmCseq3,SRR21549319,136096,115410,74.198,72.52
scnomehic,scNH_GM_4plex_23_S22.CGATGT,3903178,1957685,70.706,56.512
scnomehic,scNH_GM_4plex_39_S38.CGATGT,3471203,1868632,79.187,69.805
scnomehic,scNH_GM_4plex_6_S5.CGATGT,5077326,2659922,83.174,74.886
scnomehic,scNH_GM_4plex_17_S16.CGATGT,4313133,2123115,77.627,65.518
scnomehic,scNH_GM_4plex_2_S2.ATCACG,5233378,2653975,71.867,58.456
scnomehic,scNH_GM_4plex_5_S4.GCCAAT,2876833,1654068,68.428,56.614
scnomehic,scNH_GM_4plex_35_S34.ATCACG,5795448,2979437,75.037,62.817
scnomehic,scNH_GM_4plex_23_S22.TGACCA,7516741,3557414,78.62,66.917
scnomehic,scNH_GM_4plex_37_S36.GCCAAT,3607037,2096071,71.997,61.826
scnomehic,scNH_GM_4plex_9_S8.TGACCA,5002010,2538253,71.498,57.998
scnomehic,scNH_GM_4plex_46_S45.TGACCA,9628143,4955348,85.323,78.276
scnomehic,scNH_GM_4plex_48_S47.GCCAAT,5877204,3393981,46.261,35.758
scnomehic,scNH_GM_4plex_8_S7.CGATGT,4684887,2257845,77.757,65.494
scnomehic,scNH_GM_4plex_40_S39.ATCACG,4019303,2182762,65.985,51.949
scnomehic,scNH_GM_4plex_7_S6.CGATGT,4033749,1931979,67.321,50.869
scnomehic,scNH_GM_4plex_7_S6.ATCACG,6691546,3260684,68.355,52.41
scnomehic,scNH_GM_4plex_7_S6.TGACCA,5322666,2452243,71.726,56.305
scnomehic,scNH_GM_4plex_45_S44.CGATGT,5553060,2728370,76.484,64.481
scnomehic,scNH_GM_4plex_47_S46.CGATGT,3316947,1703678,73.343,60.765
scnomehic,scNH_GM_4plex_11_S10.ATCACG,4413183,2554573,67.37,55.604
scnomehic,scNH_GM_4plex_5_S4.TGACCA,2719452,1574798,66.662,54.759
scnomehic,scNH_GM_4plex_14_S13.ATCACG,7169794,2945963,72.813,55.31
scnomehic,scNH_GM_4plex_32_S31.CGATGT,5089403,2356861,79.638,67.512
scnomehic,scNH_GM_4plex_38_S37.CGATGT,2794948,1431905,72.073,58.782
scnomehic,scNH_GM_4plex_11_S10.TGACCA,5674342,3012759,75.891,65.375
scnomehic,scNH_GM_4plex_38_S37.GCCAAT,8095437,3954496,79.397,68.445
scnomehic,scNH_GM_4plex_10_S9.GCCAAT,6334363,2998047,69.477,53.326
scnomehic,scNH_GM_4plex_25_S24.TGACCA,5780170,2944313,80.105,70.041
scnomehic,scNH_GM_4plex_18_S17.TGACCA,6718843,3402676,73.29,60.506
scnomehic,scNH_GM_4plex_45_S44.ATCACG,4436431,2370912,68.865,55.291
scnomehic,scNH_GM_4plex_47_S46.GCCAAT,8696674,4263484,79.843,69.376
scnomehic,scNH_GM_4plex_19_S18.ATCACG,2788141,1621742,70.537,59.781
scnomehic,scNH_GM_4plex_35_S34.GCCAAT,6825218,3429854,76.116,64.122
scnomehic,scNH_GM_4plex_17_S16.GCCAAT,4853577,2532784,71.124,57.733
scnomehic,scNH_GM_4plex_28_S27.CGATGT,2280131,1303011,64.999,52.017
scnomehic,scNH_GM_4plex_18_S17.ATCACG,8346522,4190145,76.283,64.305
scnomehic,scNH_GM_4plex_44_S43.CGATGT,2237466,1249692,70.808,58.964
scnomehic,scNH_GM_4plex_32_S31.ATCACG,4301027,2195780,70.358,56.158
