dataset,cell,uniq_preDedup,uniq_postDedup,rate_preDedup,rate_postDedup
droplethic,BC287736,354740,354740,84.32203867621357,84.32203867621357
droplethic,BC464662,376650,376650,84.39240674366123,84.39240674366123
droplethic,BC609773,309040,309040,82.90641988092156,82.90641988092156
droplethic,BC170242,465938,465938,84.85635427889548,84.85635427889548
droplethic,BC352496,253946,253946,85.12360895623479,85.12360895623479
droplethic,BC367476,347898,347898,84.65009859211608,84.65009859211608
droplethic,BC435552,205790,205790,85.78065017736527,85.78065017736527
droplethic,BC373972,426886,426886,85.34784462362317,85.34784462362317
droplethic,BC6293,439420,439420,84.25287879477493,84.25287879477493
droplethic,BC79189,193550,193550,86.87884267631102,86.87884267631102
droplethic,BC652468,347762,347762,83.82169414714662,83.82169414714662
droplethic,BC157300,101750,101750,82.92088452088453,82.92088452088453
droplethic,BC176417,303032,303032,85.28076242773041,85.28076242773041
droplethic,BC58961,275594,275594,84.27396822862617,84.27396822862617
droplethic,BC603484,324198,324198,77.62601866760437,77.62601866760437
droplethic,BC162460,382322,382322,83.0540748374407,83.0540748374407
droplethic,BC451545,228870,228870,85.44938174509547,85.44938174509547
droplethic,BC518190,234958,234958,85.58380646753888,85.58380646753888
droplethic,BC322907,262042,262042,85.86562459453064,85.86562459453064
droplethic,BC376791,120254,120254,87.3467826434048,87.3467826434048
droplethic,BC432954,337220,337220,84.09524939208825,84.09524939208825
droplethic,BC569386,253456,253456,80.64595038192033,80.64595038192033
droplethic,BC459679,247260,247260,84.48839278492275,84.48839278492275
droplethic,BC59896,324148,324148,84.15230080086874,84.15230080086874
droplethic,BC596090,210570,210570,85.73111079451014,85.73111079451014
droplethic,BC424489,277404,277404,84.37946100272526,84.37946100272526
droplethic,BC482226,209474,209474,86.09469432960654,86.09469432960654
droplethic,BC494954,293570,293570,84.94055932145655,84.94055932145655
droplethic,BC341512,275124,275124,84.11552609005393,84.11552609005393
droplethic,BC707084,346984,346984,84.50418463099163,84.50418463099163
droplethic,BC186443,203372,203372,84.76093070825875,84.76093070825875
droplethic,BC454805,267496,267496,85.3052008254329,85.3052008254329
droplethic,BC669665,181104,181104,78.35939570633448,78.35939570633448
droplethic,BC146424,215678,215678,82.60462355919472,82.60462355919472
droplethic,BC309888,246658,246658,84.13025322511332,84.13025322511332
droplethic,BC665912,226390,226390,83.71129466849243,83.71129466849243
droplethic,BC176979,250638,250638,83.29622802607744,83.29622802607744
droplethic,BC665447,220018,220018,86.13931587415576,86.13931587415576
droplethic,BC223659,166072,166072,83.83713088299051,83.83713088299051
droplethic,BC723399,258434,258434,84.99810396464862,84.99810396464862
droplethic,BC180724,254144,254144,85.01400780659783,85.01400780659783
droplethic,BC349165,163898,163898,80.5574198586926,80.5574198586926
droplethic,BC698524,258124,258124,85.50774046582262,85.50774046582262
droplethic,BC243155,317500,317500,84.50141732283464,84.50141732283464
droplethic,BC311052,336666,336666,84.88709878633424,84.88709878633424
droplethic,BC121719,360202,360202,82.65362213424689,82.65362213424689
droplethic,BC331439,232018,232018,84.4106922738753,84.4106922738753
droplethic,BC714916,421780,421780,83.3235335957134,83.3235335957134
droplethic,BC360598,363732,363732,83.82985274872709,83.82985274872709
droplethic,BC607107,316936,316936,84.27758285584471,84.27758285584471
droplethic,BC378264,424432,424432,85.37197949259246,85.37197949259246
droplethic,BC372068,238730,238730,82.97574665940603,82.97574665940603
droplethic,BC555363,383356,383356,84.55221778190507,84.55221778190507
droplethic,BC73190,450650,450650,86.46088982580717,86.46088982580717
droplethic,BC138549,387080,387080,84.62488374496228,84.62488374496228
droplethic,BC345286,216152,216152,83.75124912098893,83.75124912098893
droplethic,BC423117,404758,404758,83.21120274336764,83.21120274336764
droplethic,BC672168,180074,180074,82.92146561968968,82.92146561968968
droplethic,BC231867,342018,342018,83.1991298703577,83.1991298703577
droplethic,BC44565,305900,305900,84.73291925465838,84.73291925465838
droplethic,BC499339,400116,400116,83.12989233122394,83.12989233122394
droplethic,BC699207,179480,179480,83.41653666146645,83.41653666146645
droplethic,BC235575,182352,182352,80.38628586470124,80.38628586470124
droplethic,BC367191,210840,210840,86.62303168279264,86.62303168279264
droplethic,BC498427,186920,186920,78.85298523432485,78.85298523432485
droplethic,BC132072,203554,203554,82.78589465203336,82.78589465203336
droplethic,BC473268,248864,248864,84.86643307187862,84.86643307187862
droplethic,BC593552,211184,211184,84.70812182741116,84.70812182741116
droplethic,BC44867,345290,345290,85.0091227663703,85.0091227663703
droplethic,BC310433,301196,301196,82.68967715374706,82.68967715374706
droplethic,BC216685,404336,404336,84.82747022278501,84.82747022278501
droplethic,BC239696,266246,266246,84.67507493070319,84.67507493070319
droplethic,BC520365,197558,197558,85.39568126828577,85.39568126828577
droplethic,BC355302,380688,380688,85.5587777917875,85.5587777917875
droplethic,BC374004,284120,284120,83.7554554413628,83.7554554413628
droplethic,BC174269,263592,263592,83.81969103766427,83.81969103766427
droplethic,BC205572,353746,353746,83.64532743833146,83.64532743833146
droplethic,BC67230,289048,289048,84.71188176358253,84.71188176358253
droplethic,BC400517,246058,246058,84.91819002023914,84.91819002023914
droplethic,BC412834,237646,237646,83.30710384353198,83.30710384353198
droplethic,BC517958,116808,116808,84.64831175946853,84.64831175946853
droplethic,BC330638,96146,96146,83.3170386703555,83.3170386703555
droplethic,BC576599,370714,370714,84.30596092944965,84.30596092944965
droplethic,BC570626,303996,303996,84.01228963538993,84.01228963538993
droplethic,BC143380,282840,282840,85.38254843727903,85.38254843727903
droplethic,BC183820,198632,198632,85.57130774497563,85.57130774497563
droplethic,BC536385,235198,235198,84.79748977457291,84.79748977457291
droplethic,BC686778,187820,187820,82.46938558194016,82.46938558194016
droplethic,BC5009,159484,159484,83.98961651325524,83.98961651325524
droplethic,BC71587,295888,295888,84.62931920186017,84.62931920186017
droplethic,BC95394,361222,361222,85.06181794021406,85.06181794021406
droplethic,BC695397,397308,397308,81.37817511854783,81.37817511854783
droplethic,BC243958,315884,315884,82.50940218561244,82.50940218561244
droplethic,BC611033,210416,210416,83.768344612577,83.768344612577
droplethic,BC398986,334426,334426,86.456794627212,86.456794627212
droplethic,BC11390,246416,246416,82.91344717875462,82.91344717875462
droplethic,BC145642,356200,356200,84.97641774284111,84.97641774284111
droplethic,BC147076,180944,180944,84.31006278185517,84.31006278185517
droplethic,BC23708,316306,316306,84.80395566318691,84.80395566318691
droplethic,BC36789,191376,191376,85.08903937797842,85.08903937797842
droplethic,BC268449,175328,175328,83.53143821865304,83.53143821865304
droplethic,BC646122,217062,217062,83.25271120693627,83.25271120693627
droplethic,BC626005,363926,363926,84.09291998922858,84.09291998922858
droplethic,BC219139,329548,329548,84.71300083751078,84.71300083751078
droplethic,BC711953,253278,253278,85.70503557355948,85.70503557355948
droplethic,BC520618,181116,181116,81.76417323704145,81.76417323704145
droplethic,BC525515,207920,207920,86.65448249326664,86.65448249326664
droplethic,BC563133,223474,223474,84.65772304608143,84.65772304608143
droplethic,BC553387,209458,209458,83.11737914044821,83.11737914044821
droplethic,BC130484,153458,153458,85.04346466134056,85.04346466134056
droplethic,BC457901,244510,244510,85.40264201873134,85.40264201873134
droplethic,BC729444,330460,330460,86.07758881559039,86.07758881559039
droplethic,BC465622,213640,213640,83.79891406103727,83.79891406103727
droplethic,BC481720,262086,262086,83.53746480163,83.53746480163
droplethic,BC248831,432650,432650,83.6135444354559,83.6135444354559
droplethic,BC219451,206720,206720,84.07604489164086,84.07604489164086
droplethic,BC334703,417026,417026,83.9060394315942,83.9060394315942
droplethic,BC444603,226136,226136,86.32150564262214,86.32150564262214
droplethic,BC540968,282558,282558,84.89301311589125,84.89301311589125
droplethic,BC663210,359388,359388,84.74462141195588,84.74462141195588
droplethic,BC69243,329276,329276,83.46918694347599,83.46918694347599
droplethic,BC172391,303794,303794,83.85419066867681,83.85419066867681
droplethic,BC390727,205844,205844,84.62330697032705,84.62330697032705
droplethic,BC463812,340566,340566,84.80294568453692,84.80294568453692
droplethic,BC97012,274230,274230,85.34223097399993,85.34223097399993
droplethic,BC96395,346736,346736,82.34218540907203,82.34218540907203
droplethic,BC467027,267858,267858,83.67045225455279,83.67045225455279
droplethic,BC585151,314596,314596,84.82053172958334,84.82053172958334
droplethic,BC273852,338414,338414,79.8134828937337,79.8134828937337
droplethic,BC467090,616778,616778,77.40807875767294,77.40807875767294
droplethic,BC671959,137346,137346,83.98934078895635,83.98934078895635
droplethic,BC141202,278636,278636,85.06007838183149,85.06007838183149
droplethic,BC128221,170056,170056,84.42277837888696,84.42277837888696
droplethic,BC347046,208676,208676,85.71565489083555,85.71565489083555
droplethic,BC546033,234334,234334,87.26262514189149,87.26262514189149
droplethic,BC285729,254942,254942,85.30489287759569,85.30489287759569
droplethic,BC60211,196526,196526,82.81855835869045,82.81855835869045
droplethic,BC605675,191918,191918,84.10466970268553,84.10466970268553
droplethic,BC228720,318716,318716,85.20563762095408,85.20563762095408
droplethic,BC561266,280922,280922,87.18007133652758,87.18007133652758
droplethic,BC73045,166906,166906,84.31332606377242,84.31332606377242
droplethic,BC380425,186794,186794,83.45021788708416,83.45021788708416
droplethic,BC84721,282246,282246,86.72788985494923,86.72788985494923
droplethic,BC227683,126430,126430,80.07276753934984,80.07276753934984
droplethic,BC114704,241264,241264,85.00978181577028,85.00978181577028
droplethic,BC736224,358160,358160,84.5711413893232,84.5711413893232
droplethic,BC73277,345188,345188,84.63851582326153,84.63851582326153
droplethic,BC654995,323194,323194,83.385830182491,83.385830182491
droplethic,BC530004,426274,426274,84.84824314877285,84.84824314877285
droplethic,BC330670,318872,318872,83.37577460548434,83.37577460548434
droplethic,BC195729,379592,379592,84.16088853295116,84.16088853295116
droplethic,BC240540,167084,167084,73.13806229202078,73.13806229202078
droplethic,BC461630,329128,329128,85.54483362096205,85.54483362096205
droplethic,BC609600,195234,195234,85.68999252179437,85.68999252179437
droplethic,BC153401,293642,293642,84.31627628200326,84.31627628200326
droplethic,BC671904,124020,124020,84.1170778906628,84.1170778906628
droplethic,BC287643,246262,246262,86.88307574859296,86.88307574859296
droplethic,BC627572,159012,159012,83.13083289311498,83.13083289311498
droplethic,BC478735,259250,259250,83.26171648987464,83.26171648987464
droplethic,BC270033,274416,274416,81.1257361086817,81.1257361086817
droplethic,BC327914,312310,312310,85.3907976049438,85.3907976049438
droplethic,BC103686,243752,243752,78.64140601923266,78.64140601923266
droplethic,BC593778,206356,206356,84.39686754928377,84.39686754928377
droplethic,BC51963,253620,253620,83.06600425833925,83.06600425833925
droplethic,BC599447,216156,216156,82.88365809878051,82.88365809878051
droplethic,BC488373,253764,253764,84.55651707886068,84.55651707886068
droplethic,BC580556,304556,304556,83.46445317117377,83.46445317117377
droplethic,BC88138,206676,206676,84.0194313805183,84.0194313805183
droplethic,BC551679,241578,241578,86.24874781644024,86.24874781644024
droplethic,BC703212,208710,208710,81.24287288582244,81.24287288582244
droplethic,BC674574,239020,239020,83.14450673583801,83.14450673583801
droplethic,BC469,465846,465846,83.12231939310416,83.12231939310416
droplethic,BC679621,177032,177032,82.37154864657236,82.37154864657236
droplethic,BC447765,173934,173934,81.53207538491611,81.53207538491611
droplethic,BC690865,380768,380768,84.90419362971679,84.90419362971679
droplethic,BC307523,355396,355396,84.23955249918401,84.23955249918401
droplethic,BC409648,326604,326604,84.98854882365188,84.98854882365188
droplethic,BC202478,305236,305236,82.71894534065444,82.71894534065444
droplethic,BC184541,94324,94324,84.85221152622874,84.85221152622874
droplethic,BC35911,168942,168942,84.20641403558618,84.20641403558618
droplethic,BC696632,198848,198848,86.24074670099775,86.24074670099775
droplethic,BC405203,220090,220090,78.08351129083557,78.08351129083557
droplethic,BC76339,213314,213314,83.51913142128505,83.51913142128505
droplethic,BC84847,149444,149444,82.12574609887315,82.12574609887315
droplethic,BC322011,270968,270968,84.45056242803578,84.45056242803578
droplethic,BC124028,173840,173840,83.01426599171653,83.01426599171653
droplethic,BC663810,193164,193164,84.68658756289992,84.68658756289992
droplethic,BC726617,263792,263792,84.44986959422576,84.44986959422576
droplethic,BC132611,263900,263900,84.10382720727549,84.10382720727549
droplethic,BC351393,389226,389226,84.56577926448901,84.56577926448901
droplethic,BC199325,404668,404668,85.21355778069923,85.21355778069923
droplethic,BC466279,278474,278474,85.97786507896608,85.97786507896608
droplethic,BC74130,352444,352444,83.23591833028793,83.23591833028793
droplethic,BC659085,273520,273520,87.01667154138637,87.01667154138637
droplethic,BC716167,391402,391402,85.63267433482712,85.63267433482712
droplethic,BC500420,180940,180940,85.01713275118824,85.01713275118824
droplethic,BC623437,226188,226188,83.1361522273507,83.1361522273507
droplethic,BC379569,102786,102786,85.04854746755395,85.04854746755395
droplethic,BC397694,398334,398334,84.97943936495504,84.97943936495504
droplethic,BC706272,253012,253012,82.39292997960571,82.39292997960571
droplethic,BC694006,377630,377630,83.21743505547758,83.21743505547758
droplethic,BC642363,272590,272590,84.65460948677502,84.65460948677502
droplethic,BC659995,297426,297426,83.0182969881584,83.0182969881584
droplethic,BC650771,337308,337308,84.76525905107498,84.76525905107498
droplethic,BC105014,241578,241578,82.0231974765914,82.0231974765914
droplethic,BC355203,297744,297744,85.40423988392713,85.40423988392713
droplethic,BC106201,238598,238598,84.86491923654012,84.86491923654012
droplethic,BC664468,255264,255264,86.61072458317663,86.61072458317663
droplethic,BC725756,137700,137700,88.3921568627451,88.3921568627451
droplethic,BC630595,396592,396592,84.77831121152217,84.77831121152217
droplethic,BC306911,359326,359326,82.34917595720877,82.34917595720877
droplethic,BC279949,246348,246348,86.24303830353809,86.24303830353809
droplethic,BC388808,270568,270568,86.22970935217764,86.22970935217764
droplethic,BC515860,344336,344336,84.30138004739557,84.30138004739557
droplethic,BC525488,194786,194786,82.4422699783352,82.4422699783352
droplethic,BC580442,249322,249322,83.21447766342321,83.21447766342321
droplethic,BC618434,246458,246458,83.13302875134912,83.13302875134912
droplethic,BC429402,239156,239156,84.15427587014334,84.15427587014334
droplethic,BC98579,378754,378754,82.87912470891396,82.87912470891396
droplethic,BC90653,199688,199688,78.51548415528224,78.51548415528224
droplethic,BC438181,159972,159972,83.82967019228364,83.82967019228364
droplethic,BC297078,395282,395282,84.73393678437166,84.73393678437166
droplethic,BC309267,361188,361188,84.32506063324362,84.32506063324362
droplethic,BC655535,247434,247434,83.63442372511457,83.63442372511457
droplethic,BC12408,307658,307658,84.34105402752407,84.34105402752407
droplethic,BC607083,219036,219036,84.17976953560145,84.17976953560145
droplethic,BC300329,258350,258350,86.35571898587187,86.35571898587187
droplethic,BC276092,214982,214982,84.2954293847857,84.2954293847857
droplethic,BC236966,256078,256078,85.10610048500847,85.10610048500847
droplethic,BC48904,111794,111794,85.40529903214842,85.40529903214842
droplethic,BC681211,145032,145032,85.40735837608251,85.40735837608251
droplethic,BC139742,430286,430286,85.2711917189962,85.2711917189962
droplethic,BC539978,215680,215680,84.85163204747775,84.85163204747775
droplethic,BC64321,238024,238024,84.55449870601284,84.55449870601284
droplethic,BC248598,236214,236214,82.41171141422608,82.41171141422608
droplethic,BC287082,226892,226892,82.65782839412584,82.65782839412584
droplethic,BC714575,217342,217342,82.88963937020917,82.88963937020917
droplethic,BC226564,272346,272346,85.24597387147232,85.24597387147232
droplethic,BC539724,214584,214584,84.9438914364538,84.9438914364538
droplethic,BC111179,346598,346598,83.45633846704251,83.45633846704251
droplethic,BC563532,199310,199310,83.56530028598665,83.56530028598665
droplethic,BC192226,187984,187984,85.48706272874287,85.48706272874287
droplethic,BC227724,103550,103550,86.40077257363592,86.40077257363592
droplethic,BC657735,292572,292572,83.79885976785202,83.79885976785202
droplethic,BC331999,354862,354862,84.1594760780247,84.1594760780247
droplethic,BC301302,233952,233952,83.13842155655861,83.13842155655861
droplethic,BC489715,240196,240196,86.06221585705008,86.06221585705008
droplethic,BC234348,308154,308154,85.14638784503852,85.14638784503852
droplethic,BC283165,151348,151348,82.10085366175966,82.10085366175966
droplethic,BC354743,482386,482386,85.35529638090658,85.35529638090658
droplethic,BC173411,354780,354780,83.19803822086926,83.19803822086926
droplethic,BC489925,408064,408064,84.52056540150565,84.52056540150565
droplethic,BC514923,297562,297562,85.85908146873592,85.85908146873592
droplethic,BC549950,160366,160366,86.00576181983712,86.00576181983712
droplethic,BC567036,252162,252162,82.76822042972375,82.76822042972375
droplethic,BC438530,344728,344728,85.58341649068251,85.58341649068251
droplethic,BC386957,295260,295260,83.76414007992955,83.76414007992955
droplethic,BC270148,223470,223470,83.3767396071061,83.3767396071061
droplethic,BC8358,250662,250662,82.04993178064485,82.04993178064485
droplethic,BC545654,308390,308390,83.8250267518402,83.8250267518402
droplethic,BC131541,283772,283772,85.82453519022313,85.82453519022313
droplethic,BC23937,334974,334974,82.9843510242586,82.9843510242586
droplethic,BC457029,82688,82688,86.05359907120743,86.05359907120743
droplethic,BC17928,251322,251322,83.87009493796802,83.87009493796802
droplethic,BC723409,171896,171896,84.28584725648066,84.28584725648066
droplethic,BC108634,211018,211018,82.25933332701476,82.25933332701476
droplethic,BC279383,323310,323310,83.73325910117225,83.73325910117225
droplethic,BC625573,294264,294264,84.88568088519153,84.88568088519153
droplethic,BC478007,344708,344708,85.08070598883693,85.08070598883693
droplethic,BC125052,233206,233206,85.48407845424217,85.48407845424217
droplethic,BC639371,161174,161174,84.29027014282701,84.29027014282701
droplethic,BC599319,244246,244246,84.25603694635736,84.25603694635736
droplethic,BC727550,216292,216292,84.4155123629168,84.4155123629168
droplethic,BC453361,308438,308438,85.0225977343907,85.0225977343907
droplethic,BC554306,157040,157040,85.8889454915945,85.8889454915945
droplethic,BC65474,361126,361126,84.42925737831118,84.42925737831118
droplethic,BC472274,257798,257798,85.12090861837562,85.12090861837562
droplethic,BC685760,341120,341120,84.36444652908068,84.36444652908068
droplethic,BC5876,299130,299130,84.91291411760773,84.91291411760773
droplethic,BC26866,137622,137622,83.16402900699016,83.16402900699016
droplethic,BC22532,380054,380054,84.05068753387677,84.05068753387677
droplethic,BC287149,220760,220760,85.07338285921362,85.07338285921362
droplethic,BC64399,235830,235830,82.05826230759445,82.05826230759445
droplethic,BC459316,231668,231668,85.83058514771137,85.83058514771137
droplethic,BC109120,344628,344628,83.9125085599545,83.9125085599545
droplethic,BC41524,200656,200656,84.71613109002472,84.71613109002472
droplethic,BC499516,260676,260676,86.5772069542267,86.5772069542267
droplethic,BC514484,412088,412088,85.49047776203142,85.49047776203142
droplethic,BC480962,189094,189094,83.37229102985816,83.37229102985816
droplethic,BC103286,410470,410470,83.11788924890979,83.11788924890979
droplethic,BC10062,256842,256842,82.46859937237679,82.46859937237679
droplethic,BC191501,230678,230678,82.06591005644232,82.06591005644232
droplethic,BC140539,343738,343738,82.64317590723167,82.64317590723167
droplethic,BC392397,273294,273294,85.5393824965056,85.5393824965056
droplethic,BC610570,302724,302724,84.16313209392054,84.16313209392054
droplethic,BC127885,207136,207136,85.7909779082342,85.7909779082342
droplethic,BC352770,213830,213830,76.56175466492073,76.56175466492073
droplethic,BC551210,221168,221168,85.90935397525863,85.90935397525863
droplethic,BC147256,228744,228744,78.87507431888923,78.87507431888923
droplethic,BC373741,267672,267672,85.50165874652559,85.50165874652559
droplethic,BC323756,276356,276356,84.46713659193215,84.46713659193215
droplethic,BC405816,202094,202094,83.32657080368541,83.32657080368541
droplethic,BC306322,190572,190572,84.2075436055664,84.2075436055664
droplethic,BC637282,148398,148398,84.30167522473349,84.30167522473349
droplethic,BC678355,321072,321072,82.97453530672247,82.97453530672247
droplethic,BC105847,193892,193892,85.12367709859097,85.12367709859097
droplethic,BC338898,492974,492974,85.13106167870922,85.13106167870922
droplethic,BC192349,414218,414218,84.70322390625226,84.70322390625226
droplethic,BC674767,420224,420224,84.38547060615291,84.38547060615291
droplethic,BC479570,444096,444096,83.94085963395302,83.94085963395302
droplethic,BC633374,191682,191682,83.16795525923143,83.16795525923143
droplethic,BC13548,251774,251774,84.05236442206106,84.05236442206106
droplethic,BC333036,238166,238166,82.83970004114776,82.83970004114776
droplethic,BC687201,167062,167062,82.57293699345153,82.57293699345153
droplethic,BC355902,230182,230182,85.68176486432475,85.68176486432475
droplethic,BC628386,270508,270508,84.14982181673001,84.14982181673001
droplethic,BC142869,366588,366588,85.46815498597881,85.46815498597881
droplethic,BC77854,381684,381684,83.47271564959495,83.47271564959495
droplethic,BC145124,321578,321578,82.78302620204119,82.78302620204119
droplethic,BC370876,198298,198298,84.01093304017186,84.01093304017186
droplethic,BC523321,135556,135556,85.8198825577621,85.8198825577621
droplethic,BC662371,237220,237220,85.06365399207486,85.06365399207486
droplethic,BC291534,280934,280934,83.29144923718738,83.29144923718738
droplethic,BC679004,238920,238920,84.78067972543111,84.78067972543111
droplethic,BC721059,238318,238318,83.84595372569424,83.84595372569424
droplethic,BC288133,253938,253938,85.57758192944735,85.57758192944735
droplethic,BC276950,365588,365588,85.79001498955108,85.79001498955108
droplethic,BC196943,214710,214710,85.46411438684737,85.46411438684737
droplethic,BC649756,223390,223390,82.16124266977036,82.16124266977036
droplethic,BC517836,369408,369408,84.56016112266113,84.56016112266113
droplethic,BC512306,330414,330414,85.39226546090661,85.39226546090661
droplethic,BC671868,418160,418160,85.73512531088579,85.73512531088579
droplethic,BC629967,313704,313704,83.8733328232984,83.8733328232984
droplethic,BC656944,353832,353832,85.22066969635307,85.22066969635307
droplethic,BC128832,381036,381036,84.05872411005784,84.05872411005784
droplethic,BC352468,195790,195790,81.92042494509424,81.92042494509424
droplethic,BC494433,346964,346964,83.41672334882006,83.41672334882006
droplethic,BC375813,302698,302698,84.61635028972772,84.61635028972772
droplethic,BC546112,371934,371934,86.03246812606538,86.03246812606538
droplethic,BC343264,283116,283116,84.90442080278049,84.90442080278049
droplethic,BC132297,333008,333008,82.50792773747177,82.50792773747177
droplethic,BC309261,329694,329694,83.83046097290215,83.83046097290215
droplethic,BC669768,535810,535810,82.33814225191766,82.33814225191766
droplethic,BC192132,290442,290442,83.06787585817479,83.06787585817479
droplethic,BC10351,424640,424640,83.69348153730219,83.69348153730219
droplethic,BC194844,314564,314564,84.0859093856894,84.0859093856894
droplethic,BC554464,97398,97398,83.10232242961868,83.10232242961868
droplethic,BC246316,246654,246654,85.49466053662215,85.49466053662215
droplethic,BC60583,227448,227448,85.20453026625866,85.20453026625866
droplethic,BC322874,390870,390870,84.17376621383069,84.17376621383069
droplethic,BC281331,336908,336908,83.12655086848635,83.12655086848635
droplethic,BC643817,296294,296294,82.41678873011266,82.41678873011266
droplethic,BC664918,297876,297876,84.1054667042662,84.1054667042662
droplethic,BC81830,220960,220960,82.71904417089065,82.71904417089065
droplethic,BC58654,454290,454290,84.6314028484008,84.6314028484008
droplethic,BC289413,191440,191440,80.23715002089428,80.23715002089428
droplethic,BC135966,326444,326444,84.70488046954455,84.70488046954455
droplethic,BC521961,275196,275196,85.92203375049056,85.92203375049056
droplethic,BC534475,90492,90492,85.7379657870309,85.7379657870309
droplethic,BC628809,281234,281234,84.45849363874923,84.45849363874923
droplethic,BC284250,220758,220758,85.27437284266028,85.27437284266028
droplethic,BC604814,312138,312138,84.43573035003749,84.43573035003749
droplethic,BC86088,265016,265016,84.6137591692577,84.6137591692577
droplethic,BC335169,283164,283164,86.25814015905976,86.25814015905976
droplethic,BC642099,321534,321534,83.93140383287616,83.93140383287616
droplethic,BC327267,381526,381526,83.46534705367392,83.46534705367392
droplethic,BC79806,207460,207460,82.61544394100068,82.61544394100068
droplethic,BC279962,377878,377878,83.61587602347848,83.61587602347848
droplethic,BC341907,343642,343642,83.38910843261301,83.38910843261301
droplethic,BC733531,506746,506746,84.96011808677325,84.96011808677325
droplethic,BC307759,252602,252602,84.47280702448911,84.47280702448911
droplethic,BC280321,275442,275442,83.64664793314019,83.64664793314019
droplethic,BC55841,354866,354866,83.41740262521628,83.41740262521628
droplethic,BC685789,192624,192624,84.91672896419968,84.91672896419968
droplethic,BC65704,193810,193810,86.88818946390795,86.88818946390795
droplethic,BC333289,248726,248726,84.7824513721927,84.7824513721927
droplethic,BC277309,219366,219366,84.21815595853505,84.21815595853505
droplethic,BC367356,163232,163232,82.4262399529504,82.4262399529504
droplethic,BC404118,101070,101070,85.9879291580093,85.9879291580093
droplethic,BC271222,193362,193362,83.58519254041641,83.58519254041641
droplethic,BC222638,204302,204302,85.41962389012345,85.41962389012345
droplethic,BC707414,445090,445090,85.05830281516099,85.05830281516099
droplethic,BC621763,188830,188830,83.51744955780332,83.51744955780332
droplethic,BC483084,290556,290556,86.541664945828,86.541664945828
droplethic,BC549535,402618,402618,84.62562528252587,84.62562528252587
droplethic,BC332282,259470,259470,85.52356727174624,85.52356727174624
droplethic,BC544157,286728,286728,84.63282274490109,84.63282274490109
droplethic,BC311054,192250,192250,86.59141742522756,86.59141742522756
droplethic,BC317023,463746,463746,84.64116132538071,84.64116132538071
droplethic,BC461650,102504,102504,85.79372512292203,85.79372512292203
droplethic,BC677940,282464,282464,83.43647332049395,83.43647332049395
droplethic,BC326056,331096,331096,82.40389494285645,82.40389494285645
droplethic,BC164115,208382,208382,83.63774222341661,83.63774222341661
droplethic,BC537181,379024,379024,83.88017645320613,83.88017645320613
droplethic,BC634297,79888,79888,88.82185059082715,88.82185059082715
droplethic,BC414025,292688,292688,83.11239271852621,83.11239271852621
droplethic,BC500468,277204,277204,83.23112220602877,83.23112220602877
droplethic,BC672943,248464,248464,83.69663210766952,83.69663210766952
droplethic,BC61431,197516,197516,86.11656777172482,86.11656777172482
droplethic,BC83075,204958,204958,84.76468349613091,84.76468349613091
droplethic,BC707466,411650,411650,83.39220211344589,83.39220211344589
droplethic,BC236841,190308,190308,84.77835929125418,84.77835929125418
droplethic,BC657083,327174,327174,84.36856229406982,84.36856229406982
droplethic,BC105606,210094,210094,83.24178700962426,83.24178700962426
droplethic,BC31724,252878,252878,84.17576855242449,84.17576855242449
droplethic,BC70950,287590,287590,86.23178830974652,86.23178830974652
droplethic,BC421797,281686,281686,85.22539281327435,85.22539281327435
droplethic,BC396428,320298,320298,81.5765318547103,81.5765318547103
droplethic,BC316857,312848,312848,85.0317086892037,85.0317086892037
droplethic,BC681020,190054,190054,86.42385848232608,86.42385848232608
droplethic,BC297629,290148,290148,86.35317148489736,86.35317148489736
droplethic,BC303597,234254,234254,86.57269459646366,86.57269459646366
droplethic,BC237012,289830,289830,81.32698478418384,81.32698478418384
droplethic,BC700170,275396,275396,84.28009121410624,84.28009121410624
droplethic,BC168549,270608,270608,84.22663040264885,84.22663040264885
droplethic,BC149639,364906,364906,82.54454571862343,82.54454571862343
droplethic,BC89742,295438,295438,86.40459250333403,86.40459250333403
droplethic,BC663549,129902,129902,83.45675971116688,83.45675971116688
droplethic,BC402431,335132,335132,82.84019431149517,82.84019431149517
droplethic,BC250989,297372,297372,84.60850382685659,84.60850382685659
droplethic,BC251113,305664,305664,85.5808992881072,85.5808992881072
droplethic,BC290656,285574,285574,76.31997310679543,76.31997310679543
droplethic,BC594031,237032,237032,86.86168956090317,86.86168956090317
droplethic,BC144950,289868,289868,84.92486235113914,84.92486235113914
droplethic,BC181457,402876,402876,83.29510817224158,83.29510817224158
droplethic,BC323528,265908,265908,85.25204205965973,85.25204205965973
droplethic,BC357620,209344,209344,86.43381228981963,86.43381228981963
droplethic,BC381652,290586,290586,84.6654690866043,84.6654690866043
droplethic,BC551361,163690,163690,86.37668764127314,86.37668764127314
droplethic,BC578554,234828,234828,85.20789684364726,85.20789684364726
droplethic,BC168664,216416,216416,84.98447434570457,84.98447434570457
droplethic,BC212071,109712,109712,84.95515531573574,84.95515531573574
droplethic,BC298592,245634,245634,81.44882223145004,81.44882223145004
droplethic,BC36237,342714,342714,83.75321696808417,83.75321696808417
droplethic,BC51131,478126,478126,84.22047744736743,84.22047744736743
droplethic,BC20509,159982,159982,84.45825155329975,84.45825155329975
