3	-1	21
0	-1	44
0	-1	44
2	-1	46
2	-1	46
1	-1	30
0	-1	21
0	-1	22
0	-1	28
0	-1	27
1	-1	26
2	-1	42
1	-1	30
0	-1	33
0	-1	26
2	-1	41
5	-1	40
3	-1	29
0	-1	86
1	-1	85
4	-1	31
1	-1	33
3	8	24
1	2	21
5	-1	44
4	-1	44
3	7	22
0	-1	28
3	-1	24
4	7	24
3	-1	24
5	-1	23
6	-1	40
7	-1	40
3	-1	26
1	-1	34
1	-1	34
4	-1	31
1	-1	51
0	7	86
0	9	85
0	-1	86
6	-1	35
2	-1	31
5	-1	31
2	-1	26
3	-1	48
3	-1	36
2	-1	36
3	-1	24
0	0	86
2	-1	26
3	-1	35
4	-1	35
4	-1	35
1	6	20
0	-1	30
1	-1	29
3	-1	33
3	-1	33
3	-1	28
2	-1	30
2	10	21
2	-1	31
4	-1	26
2	-1	23
3	-1	37
3	-1	24
6	-1	28
1	-1	31
3	-1	46
0	-1	85
1	-1	85
1	-1	28
3	-1	26
2	-1	36
0	0	86
1	-1	25
5	-1	47
5	-1	47
1	-1	24
2	-1	27
0	0	85
1	-1	24
2	6	21
1	-1	26
1	-1	27
2	5	20
0	11	84
2	-1	26
9	-1	56
0	0	86
3	6	22
2	-1	28
4	-1	28
3	-1	27
2	-1	27
5	-1	39
5	-1	39
3	7	21
0	12	86
0	-1	85
0	13	86
0	7	85
2	-1	36
1	-1	25
6	9	21
3	-1	54
4	-1	54
2	-1	29
5	7	23
3	6	21
0	-1	84
0	-1	22
0	-1	85
4	-1	45
5	-1	45
1	-1	25
3	-1	37
3	-1	37
4	10	23
5	-1	28
0	0	86
0	0	86
8	-1	79
9	-1	79
2	-1	28
1	-1	44
2	-1	28
2	-1	25
2	4	22
2	5	20
5	-1	27
3	8	22
3	-1	36
3	-1	41
2	-1	36
10	-1	72
1	-1	30
1	-1	29
1	-1	86
4	5	23
1	-1	35
0	-1	20
3	8	22
2	-1	29
2	-1	29
2	-1	23
2	-1	25
0	-1	21
2	3	20
0	7	85
1	-1	24
2	-1	22
3	-1	40
2	-1	29
3	-1	29
1	1	85
4	-1	28
3	-1	40
4	-1	40
0	-1	86
5	-1	36
0	0	86
2	-1	25
0	-1	28
4	7	20
1	-1	37
3	-1	47
3	-1	47
1	4	20
2	-1	42
2	-1	42
0	16	85
0	15	84
2	-1	36
0	11	85
3	-1	28
4	-1	26
1	-1	24
3	4	21
4	6	22
2	-1	36
1	1	68
6	-1	37
1	-1	45
3	-1	22
2	-1	51
5	-1	23
1	2	20
4	-1	33
4	-1	25
1	-1	25
5	8	25
3	-1	27
4	7	22
2	-1	49
0	-1	20
3	5	21
3	-1	86
2	-1	44
4	5	20
4	-1	30
5	-1	28
1	-1	23
2	-1	34
1	-1	22
5	-1	85
