-85	57	5518	1.03
-84	72	7741	0.93
-83	74	8598	0.86
-82	83	8738	0.95
-81	73	9149	0.80
-80	75	9009	0.83
-79	68	9313	0.73
-78	72	8944	0.81
-77	88	9086	0.97
-76	78	9087	0.86
-75	85	9100	0.93
-74	76	9229	0.82
-73	86	9085	0.95
-72	82	9131	0.90
-71	92	9170	1.00
-70	71	9338	0.76
-69	73	9038	0.81
-68	72	9271	0.78
-67	84	9125	0.92
-66	84	9219	0.91
-65	84	9231	0.91
-64	90	9082	0.99
-63	87	9130	0.95
-62	98	9131	1.07
-61	73	9153	0.80
-60	97	9132	1.06
-59	80	9165	0.87
-58	89	8991	0.99
-57	84	9042	0.93
-56	89	9055	0.98
-55	75	9032	0.83
-54	82	9076	0.90
-53	93	9149	1.02
-52	82	9230	0.89
-51	89	9122	0.98
-50	104	9002	1.16
-49	89	8986	0.99
-48	97	9007	1.08
-47	87	8985	0.97
-46	83	9076	0.91
-45	92	8991	1.02
-44	75	8841	0.85
-43	88	8975	0.98
-42	64	8735	0.73
-41	75	8753	0.86
-40	66	8962	0.74
-39	82	8977	0.91
-38	79	8866	0.89
-37	72	8863	0.81
-36	71	8921	0.80
-35	82	8996	0.91
-34	60	8960	0.67
-33	66	8791	0.75
-32	79	8675	0.91
-31	84	8764	0.96
-30	67	8841	0.76
-29	80	8611	0.93
-28	63	8728	0.72
-27	69	8661	0.80
-26	67	8607	0.78
-25	80	8668	0.92
-24	92	8850	1.04
-23	79	8682	0.91
-22	70	8744	0.80
-21	92	8740	1.05
-20	122	8802	1.39
-19	95	8793	1.08
-18	107	8636	1.24
-17	111	8620	1.29
-16	84	8554	0.98
-15	109	8671	1.26
-14	111	8587	1.29
-13	91	8444	1.08
-12	89	8495	1.05
-11	91	8516	1.07
-10	90	8570	1.05
-9	104	8615	1.21
-8	100	8502	1.18
-7	113	8673	1.30
-6	115	8674	1.33
-5	108	8969	1.20
-4	121	9174	1.32
-3	136	8936	1.52
-2	253	8831	2.86
2	95	8872	1.07
3	83	9003	0.92
4	108	9037	1.20
5	86	8880	0.97
6	97	8993	1.08
7	108	9021	1.20
8	105	8801	1.19
9	87	8732	1.00
10	114	8892	1.28
11	108	8868	1.22
12	96	8830	1.09
13	103	8889	1.16
14	96	8877	1.08
15	113	8811	1.28
16	85	8779	0.97
17	96	8809	1.09
18	96	8686	1.11
19	101	8880	1.14
20	100	8654	1.16
21	63	8784	0.72
22	78	8827	0.88
23	68	8461	0.80
24	56	8679	0.65
25	83	8714	0.95
26	63	8497	0.74
27	78	8602	0.91
28	64	8611	0.74
29	66	8698	0.76
30	73	8454	0.86
31	54	8645	0.62
32	74	8467	0.87
33	66	8655	0.76
34	66	8441	0.78
35	65	8391	0.77
36	77	8601	0.90
37	56	8488	0.66
38	76	8505	0.89
39	91	8376	1.09
40	71	8545	0.83
41	68	8445	0.81
42	64	8486	0.75
43	70	8578	0.82
44	64	8371	0.76
45	61	8430	0.72
46	72	8138	0.88
47	78	8347	0.93
48	69	8284	0.83
49	77	8368	0.92
50	72	8407	0.86
51	70	8158	0.86
52	67	8250	0.81
53	81	8199	0.99
54	69	8120	0.85
55	68	8063	0.84
56	66	8104	0.81
57	73	8114	0.90
58	75	8025	0.93
59	82	8213	1.00
60	61	8127	0.75
61	87	8106	1.07
62	55	8103	0.68
63	71	8162	0.87
64	86	8048	1.07
65	84	8023	1.05
66	79	8059	0.98
67	71	8136	0.87
68	67	8012	0.84
69	67	8280	0.81
70	83	8292	1.00
71	74	8164	0.91
72	77	8111	0.95
73	66	8040	0.82
74	53	8144	0.65
75	62	8431	0.74
76	58	8542	0.68
77	53	8645	0.61
78	47	8401	0.56
79	78	8001	0.97
80	134	6677	2.01
81	314	5219	6.02
82	295	4919	6.00
83	278	4781	5.81
84	264	3807	6.93
85	68	838	8.11
