0	5	91
0	11	91
6	10	30
5	8	23
8	7	31
3	6	24
1	3	23
6	6	27
2	6	20
2	9	22
7	11	31
4	11	31
3	6	24
4	6	22
4	9	26
0	12	87
0	15	90
0	3	20
10	10	31
8	9	27
7	10	31
8	10	31
2	4	20
2	5	22
6	10	22
8	14	30
5	9	28
3	7	22
4	7	23
0	4	21
0	19	85
0	12	85
2	5	22
9	14	34
7	13	28
8	12	34
10	10	33
11	13	34
2	3	21
0	10	91
0	7	91
0	3	48
4	9	24
0	8	91
5	9	26
0	10	90
0	12	90
4	9	25
5	7	25
10	14	41
2	6	21
2	5	22
3	7	22
8	12	34
6	8	25
3	8	23
3	8	23
5	8	24
0	13	90
5	7	25
4	6	25
4	10	26
4	9	22
3	8	22
3	9	24
7	10	27
13	13	89
6	6	91
3	9	21
3	10	24
4	8	23
0	13	91
0	11	91
7	12	31
5	10	27
9	11	32
5	10	28
1	6	22
2	7	22
6	8	28
6	9	25
3	6	22
4	12	30
3	35	91
3	8	23
9	13	33
7	8	28
10	10	32
9	10	32
0	14	90
2	8	91
0	5	88
0	11	91
0	8	90
0	7	90
0	7	87
3	6	22
7	11	31
6	8	25
0	8	90
0	9	90
8	10	33
3	6	21
5	9	26
2	5	21
3	7	27
0	20	91
7	10	31
10	12	31
1	6	20
9	9	27
0	9	90
0	9	91
0	13	90
6	11	25
2	10	28
3	8	21
7	7	24
6	9	27
3	8	23
9	10	27
3	6	24
7	10	28
0	6	89
0	10	91
4	10	91
0	-1	90
0	39	90
0	9	91
5	8	23
5	11	32
0	13	89
1	2	21
9	11	30
8	12	29
8	11	31
8	11	28
5	13	28
7	9	30
4	7	22
3	7	22
9	14	32
4	12	91
0	10	91
2	4	21
7	8	23
0	9	91
2	4	21
2	5	21
6	14	30
4	9	30
2	5	24
2	6	21
2	5	22
3	7	22
3	8	22
5	8	24
0	7	91
0	-1	91
3	5	23
0	11	90
0	10	90
9	11	32
11	11	30
0	18	91
7	8	32
1	5	22
10	10	35
2	8	32
1	7	22
9	11	29
0	16	91
0	15	90
2	6	21
2	5	20
6	10	27
0	4	91
0	19	89
4	6	24
7	9	28
4	5	22
5	9	24
6	12	30
4	8	24
4	6	24
4	6	24
3	5	24
6	7	25
1	6	21
3	6	22
3	6	24
3	7	23
0	4	21
0	3	23
5	7	26
4	6	23
3	6	21
0	11	91
0	10	91
3	9	22
3	5	24
20	23	54
1	3	21
3	10	24
4	5	21
2	4	21
1	3	21
1	5	22
0	19	90
0	22	90
3	7	30
1	10	91
1	4	22
0	5	20
0	6	21
4	6	22
5	10	26
0	1	20
0	47	90
0	11	90
0	10	91
7	14	31
0	13	91
4	8	23
2	6	21
2	5	20
2	7	21
7	8	26
2	5	23
2	4	21
2	5	22
1	5	21
3	6	22
7	9	30
5	11	30
3	9	24
0	-1	90
1	12	91
0	4	31
6	7	26
0	3	22
6	9	27
2	7	20
1	9	22
2	9	22
6	7	24
6	9	30
5	6	30
0	6	90
0	6	89
7	9	31
8	10	33
4	8	25
8	10	30
6	8	24
6	9	24
4	9	25
2	5	20
2	7	21
4	22	90
5	10	30
8	15	31
0	12	91
0	10	90
2	7	23
3	7	25
1	8	21
2	4	22
0	15	90
7	9	32
